,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2020-01-02,24.81,24.9,24.54,24.71,21.6443294212022,2875989,0.0000,1.0,Communications_Equipment
2020-01-03,24.26,24.51,24.17,24.34,21.3202338369916,3041810,0.0000,1.0,Communications_Equipment
2020-01-06,24.16,24.41,24.14,24.29,21.2764371364226,4139411,0.0000,1.0,Communications_Equipment
2020-01-07,24.4,24.4,24.06,24.19,21.1888437352846,1909726,0.0000,1.0,Communications_Equipment
2020-01-08,24.13,24.32,24.02,24.11,21.1187690143741,2143028,0.0000,1.0,Communications_Equipment
2020-01-09,24.23,24.38,24.05,24.37,21.346511857333,2349439,0.0000,1.0,Communications_Equipment
2020-01-10,24.37,24.39,24.06,24.16,21.1625657149432,1714112,0.0000,1.0,Communications_Equipment
2020-01-13,24.29,24.61,24.15,24.54,21.4954206392676,1752907,0.0000,1.0,Communications_Equipment
2020-01-14,24.48,24.54,24.35,24.46,21.4253459183572,2006200,0.0000,1.0,Communications_Equipment
2020-01-15,24.47,24.62,24.35,24.48,21.4428645985848,1277276,0.0000,1.0,Communications_Equipment
2020-01-16,24.66,24.94,24.6,24.9,21.8107568833644,2135978,0.0000,1.0,Communications_Equipment
2020-01-17,24.99,25.0,24.49,24.7,21.6355700810884,3974010,0.0000,1.0,Communications_Equipment
2020-01-21,24.63,24.76,24.51,24.52,21.47790195904,3497086,0.0000,1.0,Communications_Equipment
2020-01-22,24.59,24.7,24.37,24.42,21.390308557902,2453976,0.0000,1.0,Communications_Equipment
2020-01-23,24.39,24.58,24.09,24.49,21.4516239386986,2025055,0.0000,1.0,Communications_Equipment
2020-01-24,24.57,24.69,24.41,24.58,21.5304579997228,3254269,0.0000,1.0,Communications_Equipment
2020-01-27,24.21,24.68,23.78,24.47,21.434105258471,8705021,0.0000,1.0,Communications_Equipment
2020-01-28,22.73,23.92,22.67,23.26,20.3742251047011,10404802,0.0000,1.0,Communications_Equipment
2020-01-29,23.36,23.46,22.71,22.76,19.936258099011,4582782,0.0000,1.0,Communications_Equipment
2020-01-30,22.51,22.985,22.4,22.92,20.0764075408318,4234465,0.0000,1.0,Communications_Equipment
2020-01-31,22.75,23.04,22.38,22.94,20.0939262210594,6329499,0.0000,1.0,Communications_Equipment
2020-02-03,22.89,23.31,22.83,23.15,20.2778723634493,5588211,0.0000,1.0,Communications_Equipment
2020-02-04,23.51,23.57,23.16,23.34,20.4442998256115,4932047,0.0000,1.0,Communications_Equipment
2020-02-05,23.56,23.64,23.27,23.35,20.4530591657253,4900295,0.0000,1.0,Communications_Equipment
2020-02-06,23.37,23.43,23.11,23.12,20.2515943431079,4738526,0.0000,1.0,Communications_Equipment
2020-02-07,23.13,23.88,23.12,23.76,20.8121921103911,6273048,0.0000,1.0,Communications_Equipment
2020-02-10,23.67,24.33,23.63,24.18,21.1800843951708,4878280,0.0000,1.0,Communications_Equipment
2020-02-11,24.44,24.62,24.25,24.47,21.434105258471,4263530,0.0000,1.0,Communications_Equipment
2020-02-12,24.59,24.97,24.35,24.43,21.3990678980158,3729662,0.0000,1.0,Communications_Equipment
2020-02-13,24.16,24.97,24.01,24.94,21.8457942438196,5018052,0.0000,1.0,Communications_Equipment
2020-02-14,24.92,24.95,24.2,24.24,21.2326404358536,6793379,0.0000,1.0,Communications_Equipment
2020-02-18,24.12,24.27,23.96,24.07,21.0837316539189,2813637,0.0000,1.0,Communications_Equipment
2020-02-19,24.13,24.35,23.87,24.0,21.0224162731223,3052709,0.0000,1.0,Communications_Equipment
2020-02-20,23.97,24.38,23.95,24.32,21.302715156764,2926912,0.0000,1.0,Communications_Equipment
2020-02-21,24.26,24.49,24.11,24.14,21.1450470347156,2929975,0.0000,1.0,Communications_Equipment
2020-02-24,23.67,23.71,23.27,23.29,20.4005031250425,4400575,0.0000,1.0,Communications_Equipment
2020-02-25,23.37,23.4,22.4,22.65,19.8399053577592,3699963,0.0000,1.0,Communications_Equipment
2020-02-26,22.81,22.81,22.01,22.38,19.6034031746866,5739385,0.0000,1.0,Communications_Equipment
2020-02-27,22.02,22.62,21.54,21.74,19.0428054074033,5565261,0.0000,1.0,Communications_Equipment
2020-02-28,20.95,21.49,20.71,21.22,18.7625065237617,7056867,0.2000,1.0,Communications_Equipment
2020-03-02,21.24,21.89,20.87,21.88,19.3460717596563,5470521,0.0000,1.0,Communications_Equipment
2020-03-03,21.84,22.67,21.48,21.79,19.2664946820343,5379915,0.0000,1.0,Communications_Equipment
2020-03-04,22.0,22.59,21.67,22.57,19.9561626880915,3614331,0.0000,1.0,Communications_Equipment
2020-03-05,22.0,22.25,21.39,21.59,19.0896567317632,3698002,0.0000,1.0,Communications_Equipment
2020-03-06,20.92,21.46,20.85,21.38,18.9039768839786,3199073,0.0000,1.0,Communications_Equipment
2020-03-09,20.37,20.6,19.71,19.94,17.6307436420268,3925794,0.0000,1.0,Communications_Equipment
2020-03-10,20.39,21.38,20.12,21.35,18.8774511914379,6641214,0.0000,1.0,Communications_Equipment
2020-03-11,20.83,20.88,20.0,20.29,17.9402100550012,4586789,0.0000,1.0,Communications_Equipment
2020-03-12,19.11,19.66,17.79,19.2,16.9764432260238,5657516,0.0000,1.0,Communications_Equipment
2020-03-13,20.13,20.58,18.64,20.3,17.9490519525147,4838076,0.0000,1.0,Communications_Equipment
2020-03-16,16.79,19.82,15.2,18.49,16.3486685025614,7224207,0.0000,1.0,Communications_Equipment
2020-03-17,18.44,19.28,17.34,18.52,16.3751941951021,5958860,0.0000,1.0,Communications_Equipment
2020-03-18,16.96,18.45,16.77,18.36,16.2337238348852,5466243,0.0000,1.0,Communications_Equipment
2020-03-19,18.19,18.68,17.39,18.17,16.0657277821277,6661703,0.0000,1.0,Communications_Equipment
2020-03-20,18.29,18.65,17.52,17.64,15.5971072139093,3491656,0.0000,1.0,Communications_Equipment
2020-03-23,17.58,17.96,16.87,17.28,15.2787989034214,4383092,0.0000,1.0,Communications_Equipment
2020-03-24,18.02,19.58,17.82,19.45,17.1974906638626,5243633,0.0000,1.0,Communications_Equipment
2020-03-25,19.6,20.22,19.31,19.42,17.170964971322,5323225,0.0000,1.0,Communications_Equipment
2020-03-26,19.46,20.53,19.22,20.41,18.0463128251638,4179145,0.0000,1.0,Communications_Equipment
2020-03-27,19.88,20.46,19.43,19.94,17.6307436420268,4103511,0.0000,1.0,Communications_Equipment
2020-03-30,20.04,20.32,19.51,20.25,17.9048424649469,2334427,0.0000,1.0,Communications_Equipment
2020-03-31,20.13,20.36,19.03,19.14,16.9233918409424,6755942,0.0000,1.0,Communications_Equipment
2020-04-01,18.61,19.31,18.45,19.22,16.9941270210509,3723342,0.0000,1.0,Communications_Equipment
2020-04-02,18.52,19.71,18.52,19.66,17.3831705116473,4387913,0.0000,1.0,Communications_Equipment
2020-04-03,19.59,20.22,19.44,20.11,17.7810558997572,4753471,0.0000,1.0,Communications_Equipment
2020-04-06,20.68,21.53,20.41,21.34,18.8686092939243,4517218,0.0000,1.0,Communications_Equipment
2020-04-07,21.83,22.33,21.68,21.83,19.3018622720885,3620442,0.0000,1.0,Communications_Equipment
2020-04-08,22.11,22.38,21.9,22.25,19.6732219676578,3374965,0.0000,1.0,Communications_Equipment
2020-04-09,22.36,22.52,21.47,21.67,19.1603919118716,3933988,0.0000,1.0,Communications_Equipment
2020-04-13,21.66,21.91,21.5,21.84,19.310704169602,2364909,0.0000,1.0,Communications_Equipment
2020-04-14,22.14,22.61,22.0,22.48,19.8765856104695,3552934,0.0000,1.0,Communications_Equipment
2020-04-15,22.16,22.41,21.62,21.89,19.3549136571698,3200621,0.0000,1.0,Communications_Equipment
2020-04-16,21.94,22.05,21.36,21.94,19.3991231447376,2935807,0.0000,1.0,Communications_Equipment
2020-04-17,22.32,22.62,22.08,22.57,19.9561626880915,3477267,0.0000,1.0,Communications_Equipment
2020-04-20,22.97,23.56,22.66,23.1,20.4247832563098,4260557,0.0000,1.0,Communications_Equipment
2020-04-21,22.94,23.0,22.46,22.61,19.9915302781457,4281855,0.0000,1.0,Communications_Equipment
2020-04-22,23.01,23.36,22.83,23.2,20.5132022314454,5316784,0.0000,1.0,Communications_Equipment
2020-04-23,23.25,23.42,22.94,23.13,20.4513089488505,2688778,0.0000,1.0,Communications_Equipment
2020-04-24,23.26,23.32,23.0,23.29,20.5927793090674,3729245,0.0000,1.0,Communications_Equipment
2020-04-27,23.47,23.81,23.35,23.74,20.9906646971773,2950156,0.0000,1.0,Communications_Equipment
2020-04-28,24.0,24.36,23.78,23.94,21.1675026474484,4236739,0.0000,1.0,Communications_Equipment
2020-04-29,24.79,25.23,22.98,23.07,20.3982575637692,9336505,0.0000,1.0,Communications_Equipment
2020-04-30,22.86,22.93,21.53,21.6,19.0984986292767,10018133,0.0000,1.0,Communications_Equipment
2020-05-01,21.4,22.29,21.28,21.82,19.2930203745749,6448213,0.0000,1.0,Communications_Equipment
2020-05-04,21.93,21.96,21.31,21.56,19.0631310392225,3352171,0.0000,1.0,Communications_Equipment
2020-05-05,21.65,22.39,21.49,22.14,19.5759610950087,3902594,0.0000,1.0,Communications_Equipment
2020-05-06,22.31,22.69,22.09,22.59,19.9738464831186,4148198,0.0000,1.0,Communications_Equipment
2020-05-07,22.84,23.13,22.49,23.12,20.442467051337,5534983,0.0000,1.0,Communications_Equipment
2020-05-08,23.28,23.71,23.22,23.68,20.937613312096,4010406,0.0000,1.0,Communications_Equipment
