,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-01-02,234.0,234.25,228.29,231.56,231.56,1409213,0.0000,1.0,Communications_Equipment
2024-01-03,229.44,232.902,228.22,229.4,229.4,1201884,0.0000,1.0,Communications_Equipment
2024-01-04,229.25,232.305,226.6,230.56,230.56,1326669,0.0000,1.0,Communications_Equipment
2024-01-05,231.58,232.03,229.75,230.92,230.92,1135877,0.0000,1.0,Communications_Equipment
2024-01-08,235.0,245.89,235.0,245.85,245.85,2230350,0.0000,1.0,Communications_Equipment
2024-01-09,245.0,247.54,241.5689,245.2,245.2,1353317,0.0000,1.0,Communications_Equipment
2024-01-10,247.5,251.25,246.0785,249.23,249.23,1677190,0.0000,1.0,Communications_Equipment
2024-01-11,249.95,252.15,247.677,251.74,251.74,1256845,0.0000,1.0,Communications_Equipment
2024-01-12,252.0,254.73,251.24,252.03,252.03,1232299,0.0000,1.0,Communications_Equipment
2024-01-16,252.44,257.21,251.35,253.26,253.26,1938962,0.0000,1.0,Communications_Equipment
2024-01-17,250.9,250.9,245.22,248.99,248.99,1418510,0.0000,1.0,Communications_Equipment
2024-01-18,254.99,258.62,252.176,257.56,257.56,1861360,0.0000,1.0,Communications_Equipment
2024-01-19,260.61,265.0,259.995,263.51,263.51,1901743,0.0000,1.0,Communications_Equipment
2024-01-22,267.67,270.63,265.0001,266.6,266.6,1470643,0.0000,1.0,Communications_Equipment
2024-01-23,265.71,265.9999,260.68,262.04,262.04,1776957,0.0000,1.0,Communications_Equipment
2024-01-24,263.35,266.13,261.4625,262.47,262.47,2328582,0.0000,1.0,Communications_Equipment
2024-01-25,265.75,270.02,263.0,264.42,264.42,1615789,0.0000,1.0,Communications_Equipment
2024-01-26,261.94,266.63,261.795,264.4,264.4,1359282,0.0000,1.0,Communications_Equipment
2024-01-29,265.11,269.78,265.11,269.58,269.58,1920061,0.0000,1.0,Communications_Equipment
2024-01-30,270.3,272.9,269.6,271.96,271.96,1704452,0.0000,1.0,Communications_Equipment
2024-01-31,264.53,267.49,257.31,258.68,258.68,3058415,0.0000,1.0,Communications_Equipment
2024-02-01,262.0,263.73,260.64,262.98,262.98,2236867,0.0000,1.0,Communications_Equipment
2024-02-02,274.64,276.9899,269.1201,273.1,273.1,3251701,0.0000,1.0,Communications_Equipment
2024-02-05,275.0,276.4,269.03,272.97,272.97,1980042,0.0000,1.0,Communications_Equipment
2024-02-06,272.98,273.27,262.13,264.89,264.89,2510001,0.0000,1.0,Communications_Equipment
2024-02-07,266.08,270.155,264.7579,267.05,267.05,2358391,0.0000,1.0,Communications_Equipment
2024-02-08,270.0,278.88,269.0,275.89,275.89,2446349,0.0000,1.0,Communications_Equipment
2024-02-09,282.0,284.82,278.59,282.45,282.45,3182579,0.0000,1.0,Communications_Equipment
2024-02-12,292.66,292.66,280.18,280.88,280.88,9451351,0.0000,1.0,Communications_Equipment
2024-02-13,257.89,270.74,255.94,265.51,265.51,7021557,0.0000,1.0,Communications_Equipment
2024-02-14,270.0,271.4,263.81,265.67,265.67,3342123,0.0000,1.0,Communications_Equipment
2024-02-15,266.22,267.7299,260.33,266.5,266.5,2564383,0.0000,1.0,Communications_Equipment
2024-02-16,265.33,268.39,261.66,261.75,261.75,2433242,0.0000,1.0,Communications_Equipment
2024-02-20,258.07,260.41,254.391,259.61,259.61,2717542,0.0000,1.0,Communications_Equipment
2024-02-21,256.91,258.8,253.08,254.49,254.49,2577332,0.0000,1.0,Communications_Equipment
2024-02-22,261.36,270.18,261.36,268.76,268.76,3635096,0.0000,1.0,Communications_Equipment
2024-02-23,269.53,273.7439,264.0,267.66,267.66,1788609,0.0000,1.0,Communications_Equipment
2024-02-26,270.0,277.215,268.6,273.74,273.74,2336539,0.0000,1.0,Communications_Equipment
2024-02-27,274.08,276.3,271.2,271.91,271.91,1351086,0.0000,1.0,Communications_Equipment
2024-02-28,270.6,275.54,270.14,273.17,273.17,1189903,0.0000,1.0,Communications_Equipment
2024-02-29,275.0,278.17,274.26,277.54,277.54,2355204,0.0000,1.0,Communications_Equipment
2024-03-01,281.6,288.3999,281.0,287.74,287.74,2654871,0.0000,1.0,Communications_Equipment
2024-03-04,288.0,291.29,286.4957,287.94,287.94,2003196,0.0000,1.0,Communications_Equipment
2024-03-05,284.03,284.08,275.1,280.47,280.47,2377477,0.0000,1.0,Communications_Equipment
2024-03-06,284.31,286.78,280.5,284.5,284.5,1971536,0.0000,1.0,Communications_Equipment
2024-03-07,286.0,288.86,282.2,286.48,286.48,2338658,0.0000,1.0,Communications_Equipment
2024-03-08,286.48,287.31,272.27,273.11,273.11,3235025,0.0000,1.0,Communications_Equipment
2024-03-11,269.32,271.78,263.6,271.02,271.02,1992257,0.0000,1.0,Communications_Equipment
2024-03-12,273.0,281.95,270.6924,281.86,281.86,2232781,0.0000,1.0,Communications_Equipment
2024-03-13,279.97,282.25,276.83,280.71,280.71,2780088,0.0000,1.0,Communications_Equipment
2024-03-14,281.61,285.75,280.17,284.02,284.02,3076483,0.0000,1.0,Communications_Equipment
2024-03-15,279.18,281.81,276.08,277.73,277.73,3819906,0.0000,1.0,Communications_Equipment
2024-03-18,282.41,289.7,281.0453,289.32,289.32,3872898,0.0000,1.0,Communications_Equipment
2024-03-19,284.0,288.24,272.61,286.92,286.92,5270721,0.0000,1.0,Communications_Equipment
2024-03-20,289.03,296.76,285.75,296.58,296.58,3302003,0.0000,1.0,Communications_Equipment
2024-03-21,299.0,305.63,295.01,304.6,304.6,2924281,0.0000,1.0,Communications_Equipment
2024-03-22,303.0,307.74,302.0,306.42,306.42,2380533,0.0000,1.0,Communications_Equipment
2024-03-25,302.47,307.37,300.46,305.5,305.5,2012494,0.0000,1.0,Communications_Equipment
2024-03-26,300.48,305.5,297.19,297.83,297.83,2462585,0.0000,1.0,Communications_Equipment
2024-03-27,296.24,297.3499,284.07,288.41,288.41,3203341,0.0000,1.0,Communications_Equipment
