,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-01-02,50.49,50.86,50.25,50.51,49.2923300452319,20242939,0.0000,1.0,Communications_Equipment
2024-01-03,50.17,50.68,49.941,50.51,49.6729281192299,20303875,0.3900,1.0,Communications_Equipment
2024-01-04,50.44,50.51,49.99,50.08,49.2500542508619,18134121,0.0000,1.0,Communications_Equipment
2024-01-05,50.18,50.365,49.865,50.09,49.2598885268705,13508774,0.0000,1.0,Communications_Equipment
2024-01-08,49.75,50.5,49.69,50.46,49.6237567391871,18070293,0.0000,1.0,Communications_Equipment
2024-01-09,49.96,50.035,49.43,49.91,49.0828715587164,20489210,0.0000,1.0,Communications_Equipment
2024-01-10,50.0,50.32,49.82,50.24,49.4074026669988,15174185,0.0000,1.0,Communications_Equipment
2024-01-11,50.45,50.5,50.04,50.44,49.60408818717,16458252,0.0000,1.0,Communications_Equipment
2024-01-12,50.5,50.815,50.295,50.34,49.5057454270844,18785708,0.0000,1.0,Communications_Equipment
2024-01-16,50.25,50.59,50.07,50.59,49.7516023272984,17015925,0.0000,1.0,Communications_Equipment
2024-01-17,50.24,50.43,49.91,50.3,49.4664083230502,17370635,0.0000,1.0,Communications_Equipment
2024-01-18,50.3,50.8,50.28,50.75,49.9089507434353,18487542,0.0000,1.0,Communications_Equipment
2024-01-19,50.75,51.385,50.73,51.27,50.4203330958804,23015258,0.0000,1.0,Communications_Equipment
2024-01-22,51.55,51.78,51.41,51.57,50.7153613761371,20298721,0.0000,1.0,Communications_Equipment
2024-01-23,51.39,51.82,51.3,51.76,50.9022126202998,15044327,0.0000,1.0,Communications_Equipment
2024-01-24,52.0,52.0,51.205,51.31,50.4596701999146,18914491,0.0000,1.0,Communications_Equipment
2024-01-25,51.75,52.56,51.75,52.33,51.4627663527876,18936642,0.0000,1.0,Communications_Equipment
2024-01-26,52.42,52.62,51.99,52.14,51.275915108625,13160315,0.0000,1.0,Communications_Equipment
2024-01-29,51.842,52.385,51.83,52.29,51.4234292487534,13492409,0.0000,1.0,Communications_Equipment
2024-01-30,52.3,52.415,51.995,52.24,51.3742578687106,14322137,0.0000,1.0,Communications_Equipment
2024-01-31,51.85,51.94,50.07,50.18,49.3483970109475,29311787,0.0000,1.0,Communications_Equipment
2024-02-01,50.23,50.46,49.82,50.18,49.3483970109475,20635673,0.0000,1.0,Communications_Equipment
2024-02-02,50.14,50.38,49.615,50.18,49.3483970109475,20533102,0.0000,1.0,Communications_Equipment
2024-02-05,49.94,50.15,49.26,49.51,48.6895005183741,19601985,0.0000,1.0,Communications_Equipment
2024-02-06,50.31,50.61,49.785,49.98,49.1517114907763,19265797,0.0000,1.0,Communications_Equipment
2024-02-07,50.3,50.35,49.46,49.77,48.9451916945966,16794364,0.0000,1.0,Communications_Equipment
2024-02-08,49.9,49.99,49.55,49.95,49.1222086627506,19598985,0.0000,1.0,Communications_Equipment
2024-02-09,49.93,50.26,49.63,50.13,49.2992256309047,24076857,0.0000,1.0,Communications_Equipment
2024-02-12,50.03,50.2,49.525,49.99,49.1615457667849,19046333,0.0000,1.0,Communications_Equipment
2024-02-13,49.62,49.94,49.14,49.64,48.8173461064853,23633712,0.0000,1.0,Communications_Equipment
2024-02-14,49.57,50.34,49.5518,50.28,49.4467397710331,31176442,0.0000,1.0,Communications_Equipment
2024-02-15,48.255,49.685,48.19,49.06,48.2469580979889,42766544,0.0000,1.0,Communications_Equipment
2024-02-16,48.75,49.075,48.39,48.44,47.6372329854583,24912312,0.0000,1.0,Communications_Equipment
2024-02-20,47.97,48.47,47.85,48.28,47.4798845693213,26402463,0.0000,1.0,Communications_Equipment
2024-02-21,48.45,48.52,47.9,48.48,47.6765700894925,15999174,0.0000,1.0,Communications_Equipment
2024-02-22,48.27,48.7,48.154,48.57,47.7650785735695,22020346,0.0000,1.0,Communications_Equipment
2024-02-23,48.62,49.14,48.5,48.86,48.0502725778177,13141857,0.0000,1.0,Communications_Equipment
2024-02-26,48.85,48.9,48.36,48.4,47.597895881424,13018741,0.0000,1.0,Communications_Equipment
2024-02-27,48.15,48.45,48.02,48.31,47.509387397347,12515381,0.0000,1.0,Communications_Equipment
2024-02-28,48.2,48.48,48.01,48.06,47.263530497133,14635130,0.0000,1.0,Communications_Equipment
2024-02-29,48.19,48.48,48.13,48.37,47.5683930533984,22962460,0.0000,1.0,Communications_Equipment
2024-03-01,48.11,48.42,47.66,48.4,47.597895881424,18508070,0.0000,1.0,Communications_Equipment
2024-03-04,48.37,49.465,48.225,49.13,48.3157980300488,25214521,0.0000,1.0,Communications_Equipment
2024-03-05,49.04,49.07,48.57,48.95,48.1387810618948,18101297,0.0000,1.0,Communications_Equipment
2024-03-06,48.98,49.405,48.965,49.17,48.3551351340831,20903553,0.0000,1.0,Communications_Equipment
2024-03-07,49.44,49.48,48.825,48.9,48.089609681852,21224701,0.0000,1.0,Communications_Equipment
2024-03-08,48.87,49.78,48.85,49.5,48.6796662423655,19316209,0.0000,1.0,Communications_Equipment
2024-03-11,49.72,50.3,49.58,50.22,49.3877341149817,17097689,0.0000,1.0,Communications_Equipment
2024-03-12,50.544,50.55,49.885,50.07,49.2402199748533,17530043,0.0000,1.0,Communications_Equipment
2024-03-13,50.03,50.15,49.825,50.11,49.2795570788876,16465718,0.0000,1.0,Communications_Equipment
2024-03-14,50.27,50.345,49.6,49.79,48.9648602466137,16862831,0.0000,1.0,Communications_Equipment
2024-03-15,49.79,49.96,48.904,48.93,48.1191125098777,57049238,0.0000,1.0,Communications_Equipment
2024-03-18,49.22,49.66,48.98,49.27,48.4534778941686,17406663,0.0000,1.0,Communications_Equipment
2024-03-19,49.12,49.595,48.97,49.14,48.3256323060574,19601131,0.0000,1.0,Communications_Equipment
2024-03-20,49.04,49.58,48.94,49.55,48.7288376224083,18554114,0.0000,1.0,Communications_Equipment
2024-03-21,49.71,50.19,49.56,49.88,49.0533687306907,26102850,0.0000,1.0,Communications_Equipment
2024-03-22,50.05,50.1,49.72,49.78,48.9550259706051,15022861,0.0000,1.0,Communications_Equipment
2024-03-25,49.56,49.76,49.29,49.68,48.8566832105196,16191164,0.0000,1.0,Communications_Equipment
2024-03-26,49.55,49.81,49.48,49.55,48.7288376224083,13842923,0.0000,1.0,Communications_Equipment
2024-03-27,49.77,49.9,49.41,49.77,48.9451916945966,17230958,0.0000,1.0,Communications_Equipment
2024-03-28,49.89,50.195,49.81,49.91,49.0828715587164,18139735,0.0000,1.0,Communications_Equipment
2024-04-01,49.96,50.2,49.865,50.04,49.2107171468277,14935492,0.0000,1.0,Communications_Equipment
2024-04-02,49.96,50.09,49.145,49.36,48.5419863782457,15944124,0.0000,1.0,Communications_Equipment
2024-04-03,48.8,49.22,48.66,48.74,48.3256323060574,19001444,0.4000,1.0,Communications_Equipment
2024-04-04,49.09,49.55,48.0431,48.11,47.7009883103082,17094415,0.0000,1.0,Communications_Equipment
2024-04-05,47.96,48.67,47.89,48.55,48.1372476089267,17181323,0.0000,1.0,Communications_Equipment
2024-04-08,48.19,48.66,48.16,48.24,47.8298831030818,14156476,0.0000,1.0,Communications_Equipment
2024-04-09,48.84,50.2,48.515,50.01,49.5848352816153,25885091,0.0000,1.0,Communications_Equipment
2024-04-10,49.73,49.77,48.81,49.21,48.7916365568544,20026353,0.0000,1.0,Communications_Equipment
2024-04-11,49.32,49.59,49.0,49.53,49.1089160467588,15703887,0.0000,1.0,Communications_Equipment
2024-04-12,49.21,49.23,48.44,48.49,48.0777577045696,16418052,0.0000,1.0,Communications_Equipment
2024-04-15,49.72,49.79,48.2,48.24,47.8298831030818,20310808,0.0000,1.0,Communications_Equipment
2024-04-16,48.47,48.51,47.84,47.92,47.5126036131775,14233427,0.0000,1.0,Communications_Equipment
2024-04-17,48.0,48.28,47.7101,47.79,47.3837088204038,14407572,0.0000,1.0,Communications_Equipment
2024-04-18,48.41,48.41,47.88,48.11,47.7009883103082,13080916,0.0000,1.0,Communications_Equipment
2024-04-19,48.39,48.43,48.03,48.32,47.9092029755579,20964433,0.0000,1.0,Communications_Equipment
2024-04-22,48.49,48.59,48.0,48.14,47.7307332624867,20135728,0.0000,1.0,Communications_Equipment
2024-04-23,48.14,48.46,48.055,48.32,47.9092029755579,16261695,0.0000,1.0,Communications_Equipment
2024-04-24,48.05,48.38,47.92,48.35,47.9389479277365,14828461,0.0000,1.0,Communications_Equipment
2024-04-25,48.78,48.93,47.85,48.1,47.6910733262487,18790892,0.0000,1.0,Communications_Equipment
