,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2020-01-02,97.62,98.47,97.38,98.34,88.0945586991102,828006,0.0000,1.0,Consumer_Electronics
2020-01-03,97.27,98.17,97.27,97.71,87.5301945341677,503810,0.0000,1.0,Consumer_Electronics
2020-01-06,97.4,98.06,96.76,97.69,87.5122782114712,686499,0.0000,1.0,Consumer_Electronics
2020-01-07,97.75,98.05,97.22,97.54,87.3779057912468,781317,0.0000,1.0,Consumer_Electronics
2020-01-08,97.47,98.03,96.96,97.0,86.894165078439,1079994,0.0000,1.0,Consumer_Electronics
2020-01-09,97.67,97.79,96.88,97.4,87.2524915323707,750085,0.0000,1.0,Consumer_Electronics
2020-01-10,97.53,97.58,96.41,96.5,86.4462570110243,387882,0.0000,1.0,Consumer_Electronics
2020-01-13,96.97,97.6,96.7,97.59,87.4226965979882,554539,0.0000,1.0,Consumer_Electronics
2020-01-14,97.4,97.62,96.91,97.29,87.1539517575395,788754,0.0000,1.0,Consumer_Electronics
2020-01-15,97.82,97.87,96.96,97.19,87.0643701440565,736409,0.0000,1.0,Consumer_Electronics
2020-01-16,97.75,98.73,97.64,98.47,88.211014796638,699832,0.0000,1.0,Consumer_Electronics
2020-01-17,98.4,99.24,98.06,99.04,88.7216299934907,1855145,0.0000,1.0,Consumer_Electronics
2020-01-21,99.15,101.15,98.96,100.59,90.110145002476,1099192,0.0000,1.0,Consumer_Electronics
2020-01-22,100.97,101.31,100.08,100.22,89.7786930325892,502797,0.0000,1.0,Consumer_Electronics
2020-01-23,100.11,100.81,99.64,100.56,90.0832705184312,500164,0.0000,1.0,Consumer_Electronics
2020-01-24,100.62,100.97,99.15,99.59,89.2143288676468,423385,0.0000,1.0,Consumer_Electronics
2020-01-27,98.26,99.12,97.51,98.43,88.1751821512448,923708,0.0000,1.0,Consumer_Electronics
2020-01-28,99.74,102.42,99.02,101.92,91.301580461799,826250,0.0000,1.0,Consumer_Electronics
2020-01-29,102.35,102.35,100.51,100.53,90.0563960343863,568120,0.0000,1.0,Consumer_Electronics
2020-01-30,99.87,100.17,98.18,99.32,88.9724585112429,516509,0.0000,1.0,Consumer_Electronics
2020-01-31,98.97,99.2,96.84,96.95,86.8493742716975,618598,0.0000,1.0,Consumer_Electronics
2020-02-03,97.52,98.91,97.4,98.12,87.8974791494477,708952,0.0000,1.0,Consumer_Electronics
2020-02-04,99.29,99.75,98.71,98.85,88.5514249278731,585256,0.0000,1.0,Consumer_Electronics
2020-02-05,99.21,99.98,97.7,98.04,87.8258138586614,775793,0.0000,1.0,Consumer_Electronics
2020-02-06,98.46,98.73,97.78,97.85,87.6556087930438,615513,0.0000,1.0,Consumer_Electronics
2020-02-07,97.67,97.98,95.92,96.2,86.1775121705756,734375,0.0000,1.0,Consumer_Electronics
2020-02-10,96.02,98.1,95.85,97.71,87.5301945341677,591187,0.0000,1.0,Consumer_Electronics
2020-02-11,97.58,98.26,97.39,98.04,87.8258138586614,463375,0.0000,1.0,Consumer_Electronics
2020-02-12,98.1,99.0,96.94,97.81,87.6197761476507,391332,0.0000,1.0,Consumer_Electronics
2020-02-13,97.55,98.5,97.2,98.3,88.058726053717,474355,0.0000,1.0,Consumer_Electronics
2020-02-14,98.14,98.45,97.57,98.18,87.9512281175375,373927,0.0000,1.0,Consumer_Electronics
2020-02-18,98.44,98.72,96.84,97.12,87.0016630146185,1224479,0.0000,1.0,Consumer_Electronics
2020-02-19,103.87,105.58,101.78,103.67,92.8692586977502,2959082,0.0000,1.0,Consumer_Electronics
2020-02-20,103.5,103.95,98.41,99.81,89.4114084173092,1307874,0.0000,1.0,Consumer_Electronics
2020-02-21,99.33,99.62,96.5,96.58,86.5179223018107,943983,0.0000,1.0,Consumer_Electronics
2020-02-24,94.47,95.7,92.82,95.36,85.425026617319,1044276,0.0000,1.0,Consumer_Electronics
2020-02-25,95.46,96.54,91.23,92.0,82.4150844042926,1183706,0.0000,1.0,Consumer_Electronics
2020-02-26,91.45,93.54,90.32,90.38,80.9638622658692,971010,0.0000,1.0,Consumer_Electronics
2020-02-27,89.59,91.26,88.51,89.28,79.978464517557,1346213,0.0000,1.0,Consumer_Electronics
2020-02-28,87.73,88.86,85.44,88.39,79.181188157559,2043517,0.0000,1.0,Consumer_Electronics
2020-03-02,90.0,93.55,89.4,93.47,83.7319341224917,1474985,0.0000,1.0,Consumer_Electronics
2020-03-03,93.61,94.94,89.39,90.07,80.6861592640721,1399596,0.0000,1.0,Consumer_Electronics
2020-03-04,91.43,93.52,90.1,93.41,83.6781851544019,881611,0.0000,1.0,Consumer_Electronics
2020-03-05,91.13,91.44,87.13,89.38,80.0680461310399,1512778,0.0000,1.0,Consumer_Electronics
2020-03-06,86.83,87.98,84.96,87.52,78.4018281202575,1114694,0.0000,1.0,Consumer_Electronics
2020-03-09,81.84,83.66,79.56,81.16,72.7044375027434,1173805,0.0000,1.0,Consumer_Electronics
2020-03-10,83.36,84.78,81.03,84.42,75.6247981022868,1289428,0.0000,1.0,Consumer_Electronics
2020-03-11,82.35,83.04,79.47,80.51,72.1221570151043,1122964,0.0000,1.0,Consumer_Electronics
2020-03-12,75.95,77.86,72.38,72.88,65.287079906357,1602943,0.0000,1.0,Consumer_Electronics
2020-03-13,75.07,77.72,73.25,77.34,69.7930350645482,1430157,0.5700,1.0,Consumer_Electronics
2020-03-16,69.0,73.5,67.5,70.85,63.9363399834916,1940521,0.0000,1.0,Consumer_Electronics
2020-03-17,71.73,75.73,70.65,73.93,66.7157884965354,1600275,0.0000,1.0,Consumer_Electronics
2020-03-18,70.39,71.96,65.62,71.71,64.7124197631077,1270456,0.0000,1.0,Consumer_Electronics
2020-03-19,71.39,73.53,68.84,70.11,63.2685504056824,1091234,0.0000,1.0,Consumer_Electronics
2020-03-20,70.85,70.85,65.71,66.03,59.5866835442477,1709033,0.0000,1.0,Consumer_Electronics
2020-03-23,65.91,65.91,61.04,63.63,57.4208795081097,1658794,0.0000,1.0,Consumer_Electronics
2020-03-24,66.64,70.81,65.22,70.37,63.503179176264,1219945,0.0000,1.0,Consumer_Electronics
2020-03-25,70.45,73.79,66.47,71.71,64.7124197631077,1551400,0.0000,1.0,Consumer_Electronics
2020-03-26,72.16,74.95,71.08,74.23,66.9865140010527,1469938,0.0000,1.0,Consumer_Electronics
2020-03-27,72.04,76.18,70.26,73.53,66.3548211571791,1260675,0.0000,1.0,Consumer_Electronics
2020-03-30,73.87,77.23,72.41,76.69,69.2064631380942,1117689,0.0000,1.0,Consumer_Electronics
2020-03-31,76.04,76.98,74.57,74.96,67.645279395378,1023334,0.0000,1.0,Consumer_Electronics
2020-04-01,71.99,74.48,70.21,71.41,64.4416942585905,1244298,0.0000,1.0,Consumer_Electronics
2020-04-02,70.91,73.66,70.63,73.46,66.2916518727917,1345885,0.0000,1.0,Consumer_Electronics
2020-04-03,73.35,74.1,70.65,71.56,64.5770570108491,1112379,0.0000,1.0,Consumer_Electronics
2020-04-06,74.35,76.18,74.11,75.44,68.0784402026056,1387893,0.0000,1.0,Consumer_Electronics
2020-04-07,77.52,78.48,73.63,74.23,66.9865140010527,1484161,0.0000,1.0,Consumer_Electronics
2020-04-08,74.69,77.73,74.05,77.36,69.8110834315161,1106122,0.0000,1.0,Consumer_Electronics
