,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,177.83,182.88,177.71,182.01,179.279020006905,104701220,0.0000,1.0,Consumer_Electronics
2022-01-04,182.63,182.94,179.12,179.7,177.003680540853,99310438,0.0000,1.0,Consumer_Electronics
2022-01-05,179.61,180.17,174.64,174.92,172.295402338376,94537602,0.0000,1.0,Consumer_Electronics
2022-01-06,172.7,175.3,171.64,172.0,169.419215654017,96903955,0.0000,1.0,Consumer_Electronics
2022-01-07,172.89,174.14,171.03,172.17,169.586664878791,86709147,0.0000,1.0,Consumer_Electronics
2022-01-10,169.08,172.5,168.17,172.19,169.606364787588,106765552,0.0000,1.0,Consumer_Electronics
2022-01-11,172.32,175.18,170.82,175.08,172.453001608751,75937685,0.0000,1.0,Consumer_Electronics
2022-01-12,176.12,177.18,174.82,175.53,172.896249556683,74805173,0.0000,1.0,Consumer_Electronics
2022-01-13,175.78,176.62,171.79,172.19,169.606364787588,84505760,0.0000,1.0,Consumer_Electronics
2022-01-14,171.34,173.78,171.09,173.07,170.473160774655,80440780,0.0000,1.0,Consumer_Electronics
2022-01-18,171.51,172.54,169.405,169.8,167.252225686349,90500236,0.0000,1.0,Consumer_Electronics
2022-01-19,170.0,171.08,165.94,166.23,163.735791966088,92914792,0.0000,1.0,Consumer_Electronics
2022-01-20,166.98,169.68,164.18,164.51,162.041599809548,91420515,0.0000,1.0,Consumer_Electronics
2022-01-21,164.415,166.33,162.3,162.41,159.973109385865,122848858,0.0000,1.0,Consumer_Electronics
2022-01-24,160.02,162.3,154.7,161.62,159.194962988385,162706686,0.0000,1.0,Consumer_Electronics
2022-01-25,158.98,162.76,157.02,159.78,157.382571379063,115798367,0.0000,1.0,Consumer_Electronics
2022-01-26,163.5,164.3894,157.82,159.69,157.293921789476,108275308,0.0000,1.0,Consumer_Electronics
2022-01-27,162.45,163.84,158.28,159.22,156.830973932747,121954638,0.0000,1.0,Consumer_Electronics
2022-01-28,165.71,170.35,162.8,170.33,167.774273269469,179935660,0.0000,1.0,Consumer_Electronics
2022-01-31,170.16,175.0,169.51,174.78,172.157502976797,115541590,0.0000,1.0,Consumer_Electronics
2022-02-01,174.01,174.84,172.31,174.61,171.990053752022,86213911,0.0000,1.0,Consumer_Electronics
2022-02-02,174.745,175.88,173.33,175.84,173.201598143037,84914256,0.0000,1.0,Consumer_Electronics
2022-02-03,174.48,176.2399,172.12,172.9,170.305711549881,89418074,0.0000,1.0,Consumer_Electronics
2022-02-04,171.68,174.1,170.68,172.39,170.020062872325,82465400,0.2200,1.0,Consumer_Electronics
2022-02-07,172.86,173.9458,170.95,171.66,169.30009857105,77251204,0.0000,1.0,Consumer_Electronics
2022-02-08,171.73,175.35,171.43,174.83,172.426518893025,74829217,0.0000,1.0,Consumer_Electronics
2022-02-09,176.05,176.65,174.9,176.28,173.8565849709,71285038,0.0000,1.0,Consumer_Electronics
2022-02-10,174.14,175.48,171.55,172.12,169.7537747061,90865899,0.0000,1.0,Consumer_Electronics
2022-02-11,172.33,173.08,168.04,168.64,166.3216161192,98670687,0.0000,1.0,Consumer_Electronics
2022-02-14,167.37,169.58,166.56,168.88,166.5583167114,86185530,0.0000,1.0,Consumer_Electronics
2022-02-15,170.97,172.95,170.25,172.79,170.414563859325,64286320,0.0000,1.0,Consumer_Electronics
2022-02-16,171.85,173.34,170.05,172.55,170.177863267125,61177398,0.0000,1.0,Consumer_Electronics
2022-02-17,171.03,171.91,168.47,168.88,166.5583167114,69589344,0.0000,1.0,Consumer_Electronics
2022-02-18,169.82,170.5413,166.19,167.3,165.00003781275,82772674,0.0000,1.0,Consumer_Electronics
2022-02-22,164.98,166.69,162.15,164.32,162.0610054596,90457637,0.0000,1.0,Consumer_Electronics
2022-02-23,165.54,166.15,159.75,160.07,157.869432472725,90009247,0.0000,1.0,Consumer_Electronics
2022-02-24,152.58,162.85,152.0,162.74,160.50272656095,141147540,0.0000,1.0,Consumer_Electronics
2022-02-25,163.84,165.12,160.8738,164.85,162.583719267375,91974222,0.0000,1.0,Consumer_Electronics
2022-02-28,163.06,165.42,162.43,165.12,162.8500074336,95056629,0.0000,1.0,Consumer_Electronics
2022-03-01,164.695,166.6,161.97,163.2,160.956402696,83474425,0.0000,1.0,Consumer_Electronics
2022-03-02,164.39,167.36,162.95,166.56,164.2702109868,79724750,0.0000,1.0,Consumer_Electronics
2022-03-03,168.47,168.91,165.55,166.23,163.944747672525,76678441,0.0000,1.0,Consumer_Electronics
2022-03-04,164.49,165.55,162.1,163.17,160.926815121975,83819592,0.0000,1.0,Consumer_Electronics
2022-03-07,163.36,165.02,159.04,159.3,157.11001807275,96418845,0.0000,1.0,Consumer_Electronics
2022-03-08,158.82,162.88,155.8,157.44,155.2755884832,131148280,0.0000,1.0,Consumer_Electronics
2022-03-09,161.475,163.41,159.41,162.95,160.709839579125,91454905,0.0000,1.0,Consumer_Electronics
2022-03-10,160.2,160.39,155.98,158.52,156.3407411481,105342033,0.0000,1.0,Consumer_Electronics
2022-03-11,158.93,159.28,154.5,154.73,152.602844296275,96970102,0.0000,1.0,Consumer_Electronics
2022-03-14,151.45,154.12,150.1,150.62,148.54934665485,108732111,0.0000,1.0,Consumer_Electronics
2022-03-15,150.9,155.57,150.38,155.09,152.957895184575,92964302,0.0000,1.0,Consumer_Electronics
2022-03-16,157.05,160.0,154.46,159.59,157.396031288325,102300157,0.0000,1.0,Consumer_Electronics
2022-03-17,158.61,161.0,157.63,160.62,158.41187132985,75615376,0.0000,1.0,Consumer_Electronics
2022-03-18,160.51,164.48,159.76,163.98,161.72567962065,122055535,0.0000,1.0,Consumer_Electronics
2022-03-21,163.51,166.35,163.015,165.38,163.10643307515,89029269,0.0000,1.0,Consumer_Electronics
2022-03-22,165.51,169.42,164.91,168.82,166.49914156335,80979755,0.0000,1.0,Consumer_Electronics
2022-03-23,167.99,172.64,167.65,170.21,167.870032493175,98062674,0.0000,1.0,Consumer_Electronics
2022-03-24,171.06,174.14,170.21,174.07,171.676967017725,90131418,0.0000,1.0,Consumer_Electronics
2022-03-25,173.88,175.28,172.75,174.72,172.3180311216,80281664,0.0000,1.0,Consumer_Electronics
2022-03-28,172.17,175.73,172.0,175.6,173.185933293,90371916,0.0000,1.0,Consumer_Electronics
2022-03-29,176.69,179.01,176.34,178.96,176.4997415838,100589440,0.0000,1.0,Consumer_Electronics
2022-03-30,178.55,179.61,176.7,177.77,175.326101147475,92633154,0.0000,1.0,Consumer_Electronics
2022-03-31,177.84,178.03,174.4,174.61,172.209543350175,103049285,0.0000,1.0,Consumer_Electronics
2022-04-01,174.03,174.88,171.94,174.31,171.913667609925,78751328,0.0000,1.0,Consumer_Electronics
2022-04-04,174.57,178.49,174.44,178.44,175.9868903007,76545983,0.0000,1.0,Consumer_Electronics
2022-04-05,177.5,178.3,174.415,175.06,172.65335696055,70902999,0.0000,1.0,Consumer_Electronics
2022-04-06,172.36,173.63,170.13,171.83,169.467761490525,89058782,0.0000,1.0,Consumer_Electronics
2022-04-07,171.16,173.36,169.85,172.14,169.77349975545,77594650,0.0000,1.0,Consumer_Electronics
2022-04-08,171.78,171.78,169.2,170.09,167.751682197075,76575508,0.0000,1.0,Consumer_Electronics
2022-04-11,168.71,169.03,165.5,165.75,163.471346488125,72246706,0.0000,1.0,Consumer_Electronics
2022-04-12,168.02,169.87,166.64,167.66,165.35508870105,79265181,0.0000,1.0,Consumer_Electronics
2022-04-13,167.39,171.04,166.77,170.4,168.057420462,70618925,0.0000,1.0,Consumer_Electronics
2022-04-14,170.62,171.27,165.04,165.29,163.017670353075,75329376,0.0000,1.0,Consumer_Electronics
2022-04-18,163.92,166.5984,163.57,165.07,162.800694810225,69023941,0.0000,1.0,Consumer_Electronics
2022-04-19,165.02,167.82,163.91,167.4,165.0986630595,67723833,0.0000,1.0,Consumer_Electronics
2022-04-20,168.76,168.88,166.1,167.23,164.931000140025,67718110,0.0000,1.0,Consumer_Electronics
2022-04-21,168.91,171.53,165.91,166.42,164.13213564135,87227768,0.0000,1.0,Consumer_Electronics
2022-04-22,166.46,167.8699,161.5,161.79,159.565786716825,84882424,0.0000,1.0,Consumer_Electronics
2022-04-25,161.12,163.17,158.46,162.88,160.6408019064,96046376,0.0000,1.0,Consumer_Electronics
2022-04-26,162.25,162.34,156.72,156.8,154.644386904,94008394,0.0000,1.0,Consumer_Electronics
2022-04-27,155.91,159.79,155.38,156.57,154.417548836475,88063191,0.0000,1.0,Consumer_Electronics
2022-04-28,159.25,164.515,158.93,163.64,161.3903537817,130216792,0.0000,1.0,Consumer_Electronics
2022-04-29,161.84,166.2,157.25,157.65,155.482701501375,131747571,0.0000,1.0,Consumer_Electronics
2022-05-02,156.71,158.23,153.27,157.96,155.7884397663,123055265,0.0000,1.0,Consumer_Electronics
2022-05-03,158.15,160.71,156.32,159.48,157.2875435169,88966526,0.0000,1.0,Consumer_Electronics
2022-05-04,159.67,166.48,159.26,166.02,163.73763465435,107521649,0.0000,1.0,Consumer_Electronics
2022-05-05,163.85,164.08,154.95,156.77,154.614799329975,130525275,0.0000,1.0,Consumer_Electronics
2022-05-06,156.01,159.44,154.18,157.28,155.344626155925,116124647,0.2300,1.0,Consumer_Electronics
2022-05-09,154.925,155.83,151.49,152.06,150.188859697799,131577921,0.0000,1.0,Consumer_Electronics
2022-05-10,155.52,156.74,152.93,154.51,152.608711771057,115366736,0.0000,1.0,Consumer_Electronics
2022-05-11,153.5,155.45,145.81,146.5,144.697277033589,142689825,0.0000,1.0,Consumer_Electronics
2022-05-12,142.77,146.2,138.8,142.56,140.805759821901,182602041,0.0000,1.0,Consumer_Electronics
2022-05-13,144.59,148.105,143.11,147.11,145.299770815094,113990852,0.0000,1.0,Consumer_Electronics
2022-05-16,145.55,147.5199,144.18,145.54,143.749090098762,86643781,0.0000,1.0,Consumer_Electronics
2022-05-17,148.86,149.77,146.68,149.24,147.403560576743,78336254,0.0000,1.0,Consumer_Electronics
2022-05-18,146.85,147.3601,139.9,140.82,139.087171002526,109742890,0.0000,1.0,Consumer_Electronics
2022-05-19,139.88,141.66,136.6,137.35,135.659870311014,136095640,0.0000,1.0,Consumer_Electronics
2022-05-20,139.09,140.7,132.61,137.59,135.896917044721,137426125,0.0000,1.0,Consumer_Electronics
2022-05-23,137.79,143.26,137.65,143.11,141.348991919979,117726265,0.0000,1.0,Consumer_Electronics
2022-05-24,140.805,141.97,137.33,140.36,138.632831429588,104132746,0.0000,1.0,Consumer_Electronics
2022-05-25,138.43,141.785,138.34,140.52,138.790862585392,92482696,0.0000,1.0,Consumer_Electronics
2022-05-26,137.39,144.34,137.14,143.78,142.010747384911,90601548,0.0000,1.0,Consumer_Electronics
2022-05-27,145.39,149.68,145.26,149.64,147.798638466255,90978503,0.0000,1.0,Consumer_Electronics
2022-05-31,149.07,150.66,146.84,148.84,147.008482687232,103718416,0.0000,1.0,Consumer_Electronics
2022-06-01,149.9,151.74,147.68,148.71,146.880082373141,74286635,0.0000,1.0,Consumer_Electronics
2022-06-02,147.83,151.27,146.86,151.21,149.349319182587,72348055,0.0000,1.0,Consumer_Electronics
2022-06-03,146.9,147.97,144.46,145.38,143.591058942957,88570289,0.0000,1.0,Consumer_Electronics
2022-06-06,147.03,148.5689,144.9,146.14,144.341706933029,71598380,0.0000,1.0,Consumer_Electronics
2022-06-07,144.345,149.0,144.1,148.71,146.880082373141,67808150,0.0000,1.0,Consumer_Electronics
2022-06-08,148.58,149.8697,147.46,147.96,146.139311330306,53950201,0.0000,1.0,Consumer_Electronics
2022-06-09,147.08,147.95,142.53,142.64,140.884775399803,69472976,0.0000,1.0,Consumer_Electronics
2022-06-10,140.28,140.76,137.06,137.13,135.442577471782,91566637,0.0000,1.0,Consumer_Electronics
2022-06-13,132.87,135.2,131.44,131.88,130.257180171944,122207099,0.0000,1.0,Consumer_Electronics
2022-06-14,133.13,133.89,131.48,132.76,131.126351528869,84784326,0.0000,1.0,Consumer_Electronics
2022-06-15,134.29,137.34,132.16,135.43,133.763496441358,91532972,0.0000,1.0,Consumer_Electronics
2022-06-16,132.08,132.39,129.04,130.06,128.459575774666,107961508,0.0000,1.0,Consumer_Electronics
2022-06-17,130.065,133.079,129.81,131.56,129.941117860335,134520290,0.0000,1.0,Consumer_Electronics
2022-06-21,133.42,137.06,133.32,135.87,134.198082119821,81000488,0.0000,1.0,Consumer_Electronics
2022-06-22,134.79,137.76,133.91,135.35,133.684480863456,73409234,0.0000,1.0,Consumer_Electronics
2022-06-23,136.82,138.59,135.63,138.27,136.56854945689,72433768,0.0000,1.0,Consumer_Electronics
2022-06-24,139.9,141.91,139.77,141.66,139.9168345705,89116837,0.0000,1.0,Consumer_Electronics
2022-06-27,142.695,143.49,140.965,141.66,139.9168345705,70207908,0.0000,1.0,Consumer_Electronics
2022-06-28,142.13,143.422,137.325,137.44,135.748762836154,67315328,0.0000,1.0,Consumer_Electronics
2022-06-29,137.46,140.67,136.67,139.23,137.516736391718,66242411,0.0000,1.0,Consumer_Electronics
2022-06-30,137.25,138.37,133.7737,136.72,135.037622635033,98964467,0.0000,1.0,Consumer_Electronics
2022-07-01,136.04,139.04,135.66,138.93,137.220427974584,71051552,0.0000,1.0,Consumer_Electronics
2022-07-05,137.77,141.61,136.93,141.56,139.818065098122,73429641,0.0000,1.0,Consumer_Electronics
2022-07-06,141.355,144.12,141.08,142.92,141.161329922461,74064254,0.0000,1.0,Consumer_Electronics
2022-07-07,143.29,146.55,143.28,146.35,144.549122825023,66253709,0.0000,1.0,Consumer_Electronics
2022-07-08,145.265,147.55,145.0,147.04,145.23063218443,64547798,0.0000,1.0,Consumer_Electronics
2022-07-11,145.67,146.64,143.78,144.87,143.08733463383,63305113,0.0000,1.0,Consumer_Electronics
2022-07-12,145.76,148.45,145.05,145.86,144.065152410371,77588759,0.0000,1.0,Consumer_Electronics
2022-07-13,142.99,146.45,142.1201,145.49,143.699705362573,71185560,0.0000,1.0,Consumer_Electronics
2022-07-14,144.08,148.95,143.25,148.47,146.643035639434,78140744,0.0000,1.0,Consumer_Electronics
2022-07-15,149.78,150.86,148.2,150.17,148.322116669858,76259931,0.0000,1.0,Consumer_Electronics
2022-07-18,150.74,151.57,146.7,147.07,145.260263026143,81420868,0.0000,1.0,Consumer_Electronics
2022-07-19,147.92,151.23,146.91,151.0,149.141903290594,82982367,0.0000,1.0,Consumer_Electronics
2022-07-20,151.12,153.72,150.37,153.04,151.156800527103,64823413,0.0000,1.0,Consumer_Electronics
2022-07-21,154.5,155.57,151.94,155.35,153.438375339032,65086636,0.0000,1.0,Consumer_Electronics
2022-07-22,155.39,156.28,153.41,154.09,152.19387998707,66675408,0.0000,1.0,Consumer_Electronics
2022-07-25,154.01,155.04,152.28,152.95,151.067908001962,53623945,0.0000,1.0,Consumer_Electronics
2022-07-26,152.265,153.085,150.8,151.6,149.734520124861,55138691,0.0000,1.0,Consumer_Electronics
2022-07-27,152.58,157.33,152.16,156.79,154.860655741273,78620688,0.0000,1.0,Consumer_Electronics
2022-07-28,156.98,157.64,154.41,157.35,155.413764786589,81378731,0.0000,1.0,Consumer_Electronics
2022-07-29,161.24,163.63,159.5,162.51,160.510269561287,101786860,0.0000,1.0,Consumer_Electronics
2022-08-01,161.01,163.59,160.89,161.51,159.522574837509,67829379,0.0000,1.0,Consumer_Electronics
2022-08-02,160.1,162.41,159.63,160.01,158.041032751841,59907025,0.0000,1.0,Consumer_Electronics
2022-08-03,160.84,166.59,160.75,166.13,164.085724461367,82507488,0.0000,1.0,Consumer_Electronics
2022-08-04,166.005,167.19,164.43,165.81,163.769662149757,55474144,0.0000,1.0,Consumer_Electronics
2022-08-05,163.21,165.85,163.0,165.35,163.542492363288,56696985,0.2300,1.0,Consumer_Electronics
2022-08-08,166.37,167.81,164.2,164.87,163.067739437166,60362338,0.0000,1.0,Consumer_Electronics
2022-08-09,164.02,165.82,163.25,164.92,163.11719286697,63135503,0.0000,1.0,Consumer_Electronics
2022-08-10,167.68,169.34,166.9,169.24,167.389969202074,70170540,0.0000,1.0,Consumer_Electronics
2022-08-11,170.06,170.99,168.19,168.49,166.648167755007,57149159,0.0000,1.0,Consumer_Electronics
2022-08-12,169.82,172.17,169.4,172.1,170.218705386888,68039382,0.0000,1.0,Consumer_Electronics
2022-08-15,171.52,173.39,171.345,173.19,171.296790156625,54091694,0.0000,1.0,Consumer_Electronics
