,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-01-02,93.5,94.0,92.96,93.3,92.9921373545602,667527,0.0000,1.0,Consumer_Electronics
2024-01-03,92.6,92.8009,92.21,92.38,92.0751730848261,569806,0.0000,1.0,Consumer_Electronics
2024-01-04,90.97,91.83,90.72,91.05,90.7495616948843,910968,0.0000,1.0,Consumer_Electronics
2024-01-05,90.95,92.3,90.83,91.22,90.9190007447265,720893,0.0000,1.0,Consumer_Electronics
2024-01-08,91.21,92.5,91.21,92.4,92.0951070906899,415435,0.0000,1.0,Consumer_Electronics
2024-01-09,92.13,92.38,91.85,92.11,91.806064005665,529418,0.0000,1.0,Consumer_Electronics
2024-01-10,95.11,96.35,95.07,96.15,95.8327331901497,1096175,0.0000,1.0,Consumer_Electronics
2024-01-11,98.3,98.55,96.37,97.31,96.9889055302493,1223330,0.0000,1.0,Consumer_Electronics
2024-01-12,99.77,100.88,99.45,99.75,99.4208542456311,1522860,0.0000,1.0,Consumer_Electronics
2024-01-16,98.59,99.03,98.12,98.16,97.8361007794602,853410,0.0000,1.0,Consumer_Electronics
2024-01-17,97.06,97.68,97.0239,97.41,97.0885755595682,809384,0.0000,1.0,Consumer_Electronics
2024-01-18,97.08,97.935,97.0,97.85,97.5271236885715,660116,0.0000,1.0,Consumer_Electronics
2024-01-19,98.18,99.1,97.94,99.02,98.693263031603,435994,0.0000,1.0,Consumer_Electronics
2024-01-22,99.82,100.33,99.34,99.59,99.2613821987209,574429,0.0000,1.0,Consumer_Electronics
2024-01-23,98.88,99.0,98.23,98.75,98.4241539524419,541864,0.0000,1.0,Consumer_Electronics
2024-01-24,98.84,99.77,97.79,97.95,97.6267937178904,585142,0.0000,1.0,Consumer_Electronics
2024-01-25,97.25,97.67,96.76,97.02,96.6998624452244,549254,0.0000,1.0,Consumer_Electronics
2024-01-26,95.3,95.81,94.87,95.39,95.0752409673259,898075,0.0000,1.0,Consumer_Electronics
