,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2020-01-02,300.46,303.53,299.5,303.39,295.476501734309,3272308,0.0000,1.0,Data_Processing
2020-01-03,299.46,302.42,298.6,300.43,292.593709140178,2501256,0.0000,1.0,Data_Processing
2020-01-06,297.36,301.33,296.02,301.23,293.372842273727,3306110,0.0000,1.0,Data_Processing
2020-01-07,301.74,303.38,299.88,300.21,292.379447528451,3188065,0.0000,1.0,Data_Processing
2020-01-08,300.78,306.95,300.51,305.1,297.531465374045,3224335,0.4000,1.0,Data_Processing
2020-01-09,308.28,310.94,308.02,309.1,301.432238436962,3292591,0.0000,1.0,Data_Processing
2020-01-10,311.58,311.95,308.74,311.17,303.450888497022,2948001,0.0000,1.0,Data_Processing
2020-01-13,313.26,315.64,312.9,315.21,307.390669290569,3236341,0.0000,1.0,Data_Processing
2020-01-14,316.18,316.42,309.86,310.64,302.934036066186,4951131,0.0000,1.0,Data_Processing
2020-01-15,312.19,315.73,311.04,314.25,306.454483755469,4661913,0.0000,1.0,Data_Processing
2020-01-16,317.5,320.33,314.99,320.3,312.354403013132,3322471,0.0000,1.0,Data_Processing
2020-01-17,321.43,324.03,319.24,323.66,315.631052385983,4819605,0.0000,1.0,Data_Processing
2020-01-21,322.41,325.66,321.49,321.93,313.943968036271,5996593,0.0000,1.0,Data_Processing
2020-01-22,324.95,326.79,324.12,324.31,316.264928008707,3516741,0.0000,1.0,Data_Processing
2020-01-23,325.0,325.25,322.32,324.98,316.918307496745,4188292,0.0000,1.0,Data_Processing
2020-01-24,326.57,327.09,321.66,323.67,315.64080431864,3633379,0.0000,1.0,Data_Processing
2020-01-27,315.1,319.36,312.5,315.77,307.936777519377,4364127,0.0000,1.0,Data_Processing
2020-01-28,315.8,321.52,315.46,320.27,312.32514721516,3479616,0.0000,1.0,Data_Processing
2020-01-29,323.0,324.44,316.77,320.32,312.373906878446,4391984,0.0000,1.0,Data_Processing
2020-01-30,319.0,324.7,318.01,324.46,316.411206998566,3511336,0.0000,1.0,Data_Processing
2020-01-31,323.14,324.46,314.5,315.94,308.102560374551,5585527,0.0000,1.0,Data_Processing
2020-02-03,318.8,325.48,318.43,324.52,316.46971859451,4237586,0.0000,1.0,Data_Processing
2020-02-04,328.24,331.74,326.29,329.12,320.955607616865,4157495,0.0000,1.0,Data_Processing
2020-02-05,335.0,335.0,324.17,328.32,320.175453004282,3867269,0.0000,1.0,Data_Processing
2020-02-06,329.32,331.23,327.68,329.3,321.131142404696,3421962,0.0000,1.0,Data_Processing
2020-02-07,328.0,329.85,325.87,327.0,318.888197893519,2582937,0.0000,1.0,Data_Processing
2020-02-10,325.62,330.28,325.51,330.28,322.086831805111,3846694,0.0000,1.0,Data_Processing
2020-02-11,335.0,335.52,329.66,330.92,322.710955495178,3449308,0.0000,1.0,Data_Processing
2020-02-12,330.82,334.45,329.22,334.16,325.870581676141,2447340,0.0000,1.0,Data_Processing
2020-02-13,332.31,337.83,332.13,335.84,327.508906362567,3000969,0.0000,1.0,Data_Processing
2020-02-14,337.46,341.04,337.03,340.95,332.492143950444,2713909,0.0000,1.0,Data_Processing
2020-02-18,341.62,343.1,340.39,341.24,332.774949997506,3596853,0.0000,1.0,Data_Processing
2020-02-19,343.99,347.24,342.63,344.56,336.012591639727,3040295,0.0000,1.0,Data_Processing
2020-02-20,345.74,347.25,338.17,344.45,335.905320380497,4310603,0.0000,1.0,Data_Processing
2020-02-21,342.55,343.89,335.61,339.7,331.273152368282,4997037,0.0000,1.0,Data_Processing
2020-02-24,317.51,329.34,313.84,324.67,316.615997584369,7784208,0.0000,1.0,Data_Processing
2020-02-25,321.34,323.23,300.76,302.89,295.376288256783,12704024,0.0000,1.0,Data_Processing
2020-02-26,302.0,307.89,297.89,298.04,290.646600917995,9402744,0.0000,1.0,Data_Processing
2020-02-27,285.03,297.45,280.94,285.82,278.729739210781,13805429,0.0000,1.0,Data_Processing
2020-02-28,274.89,290.39,273.55,290.25,283.049845377963,12845443,0.0000,1.0,Data_Processing
2020-03-02,298.89,306.96,289.44,306.74,299.130782329841,9683269,0.0000,1.0,Data_Processing
2020-03-03,314.59,314.59,290.83,292.0,284.756433592989,8045109,0.0000,1.0,Data_Processing
2020-03-04,299.11,302.8,292.75,302.36,294.859435825946,6458598,0.0000,1.0,Data_Processing
2020-03-05,295.71,298.71,288.24,290.73,283.517938145513,6617924,0.0000,1.0,Data_Processing
2020-03-06,282.69,288.85,278.62,287.01,279.890219196999,7056370,0.0000,1.0,Data_Processing
2020-03-09,265.0,279.24,261.18,262.01,255.510387553764,8489058,0.0000,1.0,Data_Processing
2020-03-10,276.42,280.87,262.86,280.57,273.609974565702,8126913,0.0000,1.0,Data_Processing
2020-03-11,272.95,274.04,263.31,269.76,263.068135363167,8362774,0.0000,1.0,Data_Processing
2020-03-12,244.53,262.49,240.93,241.5,235.509173673654,14878984,0.0000,1.0,Data_Processing
2020-03-13,258.78,270.03,245.5,270.01,263.311933679599,9929316,0.0000,1.0,Data_Processing
2020-03-16,234.49,257.73,229.26,235.65,229.804293069137,12104129,0.0000,1.0,Data_Processing
2020-03-17,240.48,250.5,231.96,237.88,231.978974051713,12655907,0.0000,1.0,Data_Processing
2020-03-18,222.34,229.1,213.22,227.93,222.275801057706,11288441,0.0000,1.0,Data_Processing
2020-03-19,224.01,238.5,211.55,227.15,221.515150310437,9122844,0.0000,1.0,Data_Processing
2020-03-20,236.02,236.02,210.0,211.42,206.175360240513,10497376,0.0000,1.0,Data_Processing
2020-03-23,203.28,215.68,199.99,203.3,198.25679092279,11583409,0.0000,1.0,Data_Processing
2020-03-24,215.92,238.44,215.0,237.07,231.189067506472,11646868,0.0000,1.0,Data_Processing
2020-03-25,247.9,266.3,240.36,256.48,250.11756879428,12640742,0.0000,1.0,Data_Processing
2020-03-26,257.9,265.81,252.62,263.18,256.651363674667,9956432,0.0000,1.0,Data_Processing
2020-03-27,250.24,256.07,244.7,247.65,241.50661225789,7816713,0.0000,1.0,Data_Processing
2020-03-30,245.85,254.25,244.65,253.25,246.967694545974,5764171,0.0000,1.0,Data_Processing
2020-03-31,252.46,253.42,241.08,241.56,235.567685269598,10367003,0.0000,1.0,Data_Processing
2020-04-01,230.94,237.1,227.1,228.61,222.938932478402,6639011,0.0000,1.0,Data_Processing
2020-04-02,228.39,239.37,227.35,238.88,232.954167317443,6444181,0.0000,1.0,Data_Processing
2020-04-03,236.98,239.88,230.31,237.03,231.150059775843,4160869,0.0000,1.0,Data_Processing
2020-04-06,252.0,267.11,250.01,265.94,259.342897088081,8630269,0.0000,1.0,Data_Processing
2020-04-07,281.61,282.87,258.48,259.08,252.653071285177,8622349,0.0000,1.0,Data_Processing
2020-04-08,262.51,271.88,258.91,270.95,264.618692655677,5686636,0.4000,1.0,Data_Processing
2020-04-09,275.13,276.0,267.72,269.4,263.10491161262,6661224,0.0000,1.0,Data_Processing
2020-04-13,268.2,268.7,255.75,263.34,257.186516050732,7109609,0.0000,1.0,Data_Processing
2020-04-14,269.88,275.64,269.2,270.72,264.394067081546,6352219,0.0000,1.0,Data_Processing
2020-04-15,260.51,262.95,255.62,257.14,251.131391878504,10231745,0.0000,1.0,Data_Processing
2020-04-16,258.39,258.39,244.71,246.76,240.993942054677,11401116,0.0000,1.0,Data_Processing
2020-04-17,258.25,260.7,251.51,259.97,253.895263073247,10406616,0.0000,1.0,Data_Processing
2020-04-20,254.51,256.63,249.67,251.73,245.84780772177,6036654,0.0000,1.0,Data_Processing
2020-04-21,246.65,249.39,244.1,245.35,239.616889621961,5962709,0.0000,1.0,Data_Processing
2020-04-22,251.46,258.6,251.0,256.91,250.906766304373,5082043,0.0000,1.0,Data_Processing
2020-04-23,259.39,262.42,255.27,255.86,249.881301726818,4267023,0.0000,1.0,Data_Processing
2020-04-24,258.43,259.83,252.83,258.76,252.713537226732,3824186,0.0000,1.0,Data_Processing
2020-04-27,260.22,265.72,259.51,265.12,258.92492266792,4099301,0.0000,1.0,Data_Processing
2020-04-28,270.4,272.65,262.96,264.6,258.417073543798,4341362,0.0000,1.0,Data_Processing
2020-04-29,278.45,285.0,276.26,283.69,277.060996196674,8500102,0.0000,1.0,Data_Processing
2020-04-30,278.43,281.63,273.41,274.97,268.544757038315,5887671,0.0000,1.0,Data_Processing
2020-05-01,268.7,273.99,267.21,268.74,262.460333878157,5066031,0.0000,1.0,Data_Processing
2020-05-04,265.5,270.07,263.01,269.26,262.968183002279,3747049,0.0000,1.0,Data_Processing
2020-05-05,276.84,277.85,273.3,273.98,267.577890436621,3925424,0.0000,1.0,Data_Processing
2020-05-06,276.96,276.96,271.55,272.44,266.073875722874,3258415,0.0000,1.0,Data_Processing
2020-05-07,277.81,282.45,277.24,278.47,271.962972296831,4370566,0.0000,1.0,Data_Processing
2020-05-08,283.4,283.42,279.5,282.44,275.840205032919,3215357,0.0000,1.0,Data_Processing
2020-05-11,279.5,282.81,277.63,281.23,274.658479186403,4056227,0.0000,1.0,Data_Processing
2020-05-12,280.45,282.33,272.11,272.11,265.751586855642,4019569,0.0000,1.0,Data_Processing
2020-05-13,272.3,276.07,264.19,269.16,262.870519709179,4793369,0.0000,1.0,Data_Processing
2020-05-14,270.2,277.56,263.96,277.31,270.830078096866,6291035,0.0000,1.0,Data_Processing
2020-05-15,276.04,279.14,273.29,278.94,272.421989774403,3810793,0.0000,1.0,Data_Processing
2020-05-18,285.46,292.09,285.0,289.9,283.125886698213,6037679,0.0000,1.0,Data_Processing
2020-05-19,289.17,297.82,287.49,290.73,283.936492030946,5210362,0.0000,1.0,Data_Processing
2020-05-20,295.75,301.15,295.39,298.8,291.817919784153,4589806,0.0000,1.0,Data_Processing
2020-05-21,299.37,299.93,292.75,294.26,287.384006277392,3942024,0.0000,1.0,Data_Processing
2020-05-22,295.06,296.8,293.01,294.91,288.018817682545,2895923,0.0000,1.0,Data_Processing
2020-05-26,304.62,305.0,301.94,303.33,296.242066961603,5244576,0.0000,1.0,Data_Processing
2020-05-27,304.0,304.73,292.12,299.77,292.765253727227,5147670,0.0000,1.0,Data_Processing
