,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,237.8,237.9969,227.5348,231.92,231.92,8148695,0.0000,1.0,Data_Processing
2021-01-05,230.47,235.64,229.8,234.91,234.91,5047831,0.0000,1.0,Data_Processing
2021-01-06,228.94,232.49,225.7021,226.83,226.83,9211701,0.0000,1.0,Data_Processing
2021-01-07,229.46,235.6,229.22,235.04,235.04,7107892,0.0000,1.0,Data_Processing
2021-01-08,237.43,242.91,236.0687,242.46,242.46,6767739,0.0000,1.0,Data_Processing
2021-01-11,238.04,240.84,234.09,237.5,237.5,5073071,0.0000,1.0,Data_Processing
2021-01-12,237.62,238.8,233.83,237.64,237.64,4125884,0.0000,1.0,Data_Processing
2021-01-13,236.57,247.44,236.54,244.9,244.9,7354936,0.0000,1.0,Data_Processing
2021-01-14,246.87,249.85,241.54,242.06,242.06,6976718,0.0000,1.0,Data_Processing
2021-01-15,242.25,244.5632,235.0341,239.79,239.79,8373333,0.0000,1.0,Data_Processing
2021-01-19,243.3,248.74,241.0,247.25,247.25,7436752,0.0000,1.0,Data_Processing
2021-01-20,248.85,249.65,244.14,244.26,244.26,5803248,0.0000,1.0,Data_Processing
2021-01-21,246.67,250.37,243.58,248.64,248.64,10336554,0.0000,1.0,Data_Processing
2021-01-22,246.65,254.39,246.2,252.0,252.0,7800506,0.0000,1.0,Data_Processing
2021-01-25,253.8,254.39,242.22,247.75,247.75,8499384,0.0000,1.0,Data_Processing
2021-01-26,246.9,248.76,240.03,241.0,241.0,7882985,0.0000,1.0,Data_Processing
2021-01-27,234.7,235.4,225.0,229.94,229.94,11787024,0.0000,1.0,Data_Processing
2021-01-28,235.0,241.555,232.21,237.79,237.79,8295538,0.0000,1.0,Data_Processing
2021-01-29,238.65,240.87,232.66,234.31,234.31,9805849,0.0000,1.0,Data_Processing
2021-02-01,238.37,244.14,235.4,241.85,241.85,7788173,0.0000,1.0,Data_Processing
2021-02-02,243.61,250.19,240.53,249.1,249.1,7079667,0.0000,1.0,Data_Processing
2021-02-03,253.96,254.315,247.39,251.9,251.9,13545704,0.0000,1.0,Data_Processing
2021-02-04,265.34,274.94,260.85,270.43,270.43,23840855,0.0000,1.0,Data_Processing
2021-02-05,268.61,270.0,264.71,269.44,269.44,7978598,0.0000,1.0,Data_Processing
2021-02-08,276.88,282.6989,274.6235,282.17,282.17,10084303,0.0000,1.0,Data_Processing
2021-02-09,280.38,286.89,276.51,284.2,284.2,8649664,0.0000,1.0,Data_Processing
2021-02-10,285.1,286.08,278.401,283.18,283.18,9303342,0.0000,1.0,Data_Processing
2021-02-11,287.33,302.1,281.6,285.03,285.03,21371109,0.0000,1.0,Data_Processing
2021-02-12,292.64,299.34,289.32,298.37,298.37,11882184,0.0000,1.0,Data_Processing
2021-02-16,306.4,309.14,298.18,304.79,304.79,13597698,0.0000,1.0,Data_Processing
2021-02-17,297.63,301.5,290.56,297.2,297.2,9779659,0.0000,1.0,Data_Processing
2021-02-18,291.13,292.97,285.03,290.81,290.81,9715481,0.0000,1.0,Data_Processing
2021-02-19,292.12,293.94,285.46,286.92,286.92,9413810,0.0000,1.0,Data_Processing
2021-02-22,281.42,285.0,273.29,273.85,273.85,13030682,0.0000,1.0,Data_Processing
2021-02-23,259.69,267.25,252.56,265.0,265.0,20440281,0.0000,1.0,Data_Processing
2021-02-24,266.105,268.6662,259.1001,266.07,266.07,10839984,0.0000,1.0,Data_Processing
2021-02-25,262.76,266.0,251.42,253.94,253.94,13178859,0.0000,1.0,Data_Processing
2021-02-26,257.45,261.86,253.1142,259.85,259.85,11424463,0.0000,1.0,Data_Processing
2021-03-01,268.895,274.54,265.72,273.63,273.63,10558514,0.0000,1.0,Data_Processing
2021-03-02,275.96,277.5,268.91,269.19,269.19,8484874,0.0000,1.0,Data_Processing
2021-03-03,265.02,267.6599,253.25,255.06,255.06,10841763,0.0000,1.0,Data_Processing
2021-03-04,251.76,254.8,232.27,239.07,239.07,18878783,0.0000,1.0,Data_Processing
2021-03-05,243.12,243.748,223.09,239.05,239.05,16830228,0.0000,1.0,Data_Processing
2021-03-08,239.0,241.33,225.65,226.09,226.09,13340269,0.0000,1.0,Data_Processing
2021-03-09,240.98,244.44,236.04,241.76,241.76,12071203,0.0000,1.0,Data_Processing
2021-03-10,249.31,249.96,241.27,242.07,242.07,9507992,0.0000,1.0,Data_Processing
2021-03-11,247.12,254.92,246.53,253.83,253.83,9234249,0.0000,1.0,Data_Processing
2021-03-12,249.49,251.548,244.3026,250.35,250.35,7609684,0.0000,1.0,Data_Processing
