,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,217.52,222.06,217.0101,221.43,216.756246110302,7696504,0.0000,1.0,Data_Processing
2022-01-04,222.0,226.79,221.81,222.46,217.764505756663,10629274,0.0000,1.0,Data_Processing
2022-01-05,222.64,225.27,219.92,220.0,215.356429319724,9594587,0.0000,1.0,Data_Processing
2022-01-06,217.8,221.91,217.55,219.75,215.111706104588,7877498,0.0000,1.0,Data_Processing
2022-01-07,217.31,220.2,215.64,216.96,212.38059502367,10702084,0.0000,1.0,Data_Processing
2022-01-10,213.975,214.2,206.5,211.97,207.495919649554,11978564,0.0000,1.0,Data_Processing
2022-01-11,211.42,214.945,208.74,214.38,209.855051443466,8797140,0.0000,1.0,Data_Processing
2022-01-12,214.48,217.58,213.8101,215.71,211.15697894799,6923316,0.0000,1.0,Data_Processing
2022-01-13,216.85,220.48,214.655,215.0,210.461965017003,8867716,0.0000,1.0,Data_Processing
2022-01-14,214.17,218.245,213.71,214.67,210.138930373024,8838059,0.0000,1.0,Data_Processing
2022-01-18,215.88,216.905,214.33,215.71,211.15697894799,9066661,0.0000,1.0,Data_Processing
2022-01-19,213.0,218.23,212.105,214.68,210.148719301629,9105809,0.0000,1.0,Data_Processing
2022-01-20,214.72,219.603,213.94,214.35,209.82568465765,8532719,0.0000,1.0,Data_Processing
2022-01-21,215.46,215.5998,205.82,205.93,201.583406771867,16200186,0.0000,1.0,Data_Processing
2022-01-24,202.18,202.72,195.65,201.85,197.589523900847,16071162,0.0000,1.0,Data_Processing
2022-01-25,199.62,205.38,196.99,202.0,197.736357829929,12125533,0.0000,1.0,Data_Processing
2022-01-26,204.28,210.86,203.67,205.87,201.524673200235,10817631,0.0000,1.0,Data_Processing
2022-01-27,209.5,210.96,205.85,206.15,201.798763201187,12009810,0.0000,1.0,Data_Processing
2022-01-28,220.64,228.12,216.1,228.0,223.187572204078,26425262,0.0000,1.0,Data_Processing
2022-01-31,225.55,226.38,222.05,226.17,221.396198269282,12380639,0.0000,1.0,Data_Processing
2022-02-01,226.9,234.6101,226.42,232.36,227.455545076051,12247202,0.0000,1.0,Data_Processing
2022-02-02,231.3,235.85,230.01,235.42,230.450957229316,10590512,0.0000,1.0,Data_Processing
2022-02-03,233.04,233.49,230.55,231.54,226.652852930404,9968000,0.0000,1.0,Data_Processing
2022-02-04,228.5,230.22,224.95,228.39,223.56934041969,10848120,0.0000,1.0,Data_Processing
2022-02-07,228.0,229.92,226.01,227.16,222.365302201221,5984549,0.0000,1.0,Data_Processing
2022-02-08,226.26,228.5,224.75,227.94,223.128838632445,7542245,0.0000,1.0,Data_Processing
2022-02-09,230.13,233.15,230.12,230.87,225.99699471384,7772795,0.0000,1.0,Data_Processing
2022-02-10,228.03,229.95,224.87,225.59,221.19552523287,6794620,0.3750,1.0,Data_Processing
2022-02-11,227.25,229.1,223.54,224.69,220.313057159332,7535206,0.0000,1.0,Data_Processing
