,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,132.42,132.75,129.317,131.18,131.18,1466609,0.0000,1.0,Electronic_Equipment
2021-01-05,131.5,134.0,131.2,133.84,133.84,1171249,0.0000,1.0,Electronic_Equipment
2021-01-06,133.6,137.377,133.19,136.11,136.11,1976197,0.0000,1.0,Electronic_Equipment
2021-01-07,137.15,141.03,136.61,141.0,141.0,1824667,0.0000,1.0,Electronic_Equipment
2021-01-08,140.91,147.02,140.91,146.8,146.8,2190323,0.0000,1.0,Electronic_Equipment
2021-01-11,145.0,151.16,144.98,150.15,150.15,1854282,0.0000,1.0,Electronic_Equipment
2021-01-12,149.6,150.552,146.6,146.82,146.82,1855859,0.0000,1.0,Electronic_Equipment
2021-01-13,147.6,148.58,146.02,146.61,146.61,1203464,0.0000,1.0,Electronic_Equipment
2021-01-14,147.38,148.69,146.85,147.03,147.03,1043221,0.0000,1.0,Electronic_Equipment
2021-01-15,148.39,148.6,145.34,146.29,146.29,3089699,0.0000,1.0,Electronic_Equipment
2021-01-19,147.14,148.4,145.23,147.07,147.07,1328224,0.0000,1.0,Electronic_Equipment
2021-01-20,148.71,150.62,147.2,147.53,147.53,1191534,0.0000,1.0,Electronic_Equipment
2021-01-21,148.08,148.82,146.45,146.68,146.68,835540,0.0000,1.0,Electronic_Equipment
2021-01-22,146.29,147.95,145.15,145.16,145.16,1289196,0.0000,1.0,Electronic_Equipment
2021-01-25,145.94,148.525,145.17,146.05,146.05,2632235,0.0000,1.0,Electronic_Equipment
2021-01-26,146.05,147.06,145.195,146.88,146.88,1432663,0.0000,1.0,Electronic_Equipment
2021-01-27,144.88,152.35,144.23,151.12,151.12,2673001,0.0000,1.0,Electronic_Equipment
2021-01-28,152.0,153.2099,145.24,145.42,145.42,2931845,0.0000,1.0,Electronic_Equipment
2021-01-29,145.5,146.855,140.76,141.59,141.59,2065283,0.0000,1.0,Electronic_Equipment
2021-02-01,142.88,143.645,140.82,142.81,142.81,1296542,0.0000,1.0,Electronic_Equipment
2021-02-02,143.97,144.868,141.51,141.54,141.54,2375853,0.0000,1.0,Electronic_Equipment
2021-02-03,142.46,142.93,141.05,141.46,141.46,1183439,0.0000,1.0,Electronic_Equipment
2021-02-04,142.28,142.56,139.7,140.59,140.59,1107730,0.0000,1.0,Electronic_Equipment
2021-02-05,141.17,143.2,141.17,142.95,142.95,1114054,0.0000,1.0,Electronic_Equipment
2021-02-08,144.0,144.96,143.345,144.7,144.7,1004922,0.0000,1.0,Electronic_Equipment
2021-02-09,144.38,146.91,144.325,146.4,146.4,857087,0.0000,1.0,Electronic_Equipment
2021-02-10,147.39,148.76,146.115,148.45,148.45,1004686,0.0000,1.0,Electronic_Equipment
2021-02-11,149.49,150.43,148.1,150.35,150.35,871188,0.0000,1.0,Electronic_Equipment
2021-02-12,150.78,153.69,150.42,153.48,153.48,1349832,0.0000,1.0,Electronic_Equipment
