,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2023-01-03,32.14,32.55,31.94,32.54,30.9042547937878,3548802,0.0000,1.0,Electronic_Equipment
2023-01-04,33.52,34.19,33.19,34.11,32.3953328523694,5799226,0.0000,1.0,Electronic_Equipment
2023-01-05,33.88,34.51,33.65,34.39,32.6612576016706,5257061,0.0000,1.0,Electronic_Equipment
2023-01-06,34.85,35.63,34.8,35.38,33.6014915366998,5306207,0.0000,1.0,Electronic_Equipment
2023-01-09,35.57,35.755,35.28,35.42,33.6394807865999,6845502,0.0000,1.0,Electronic_Equipment
2023-01-10,35.42,35.98,35.38,35.84,34.0383679105517,3129886,0.0000,1.0,Electronic_Equipment
2023-01-11,36.0,36.42,35.75,36.41,34.5797147216291,3592944,0.0000,1.0,Electronic_Equipment
2023-01-12,36.54,36.94,36.31,36.54,34.7031797838047,4315521,0.0000,1.0,Electronic_Equipment
2023-01-13,36.34,36.37,36.04,36.07,34.2568060974777,3643373,0.0000,1.0,Electronic_Equipment
2023-01-17,36.085,36.43,35.95,35.95,34.1428383477772,4565513,0.0000,1.0,Electronic_Equipment
2023-01-18,36.08,36.58,35.85,35.94,34.1333410353021,3013628,0.0000,1.0,Electronic_Equipment
2023-01-19,35.54,35.975,35.425,35.75,33.9528920982763,3311104,0.0000,1.0,Electronic_Equipment
2023-01-20,35.78,36.0,35.045,35.84,34.0383679105517,5978154,0.0000,1.0,Electronic_Equipment
2023-01-23,35.97,36.525,35.872,36.11,34.2947953473779,4697536,0.0000,1.0,Electronic_Equipment
2023-01-24,36.05,36.205,35.48,35.81,34.0098759731266,3469967,0.0000,1.0,Electronic_Equipment
2023-01-25,35.49,35.64,35.025,35.56,33.7724431612505,4334809,0.0000,1.0,Electronic_Equipment
2023-01-26,35.72,36.44,35.72,36.43,34.5987093465792,4777904,0.0000,1.0,Electronic_Equipment
2023-01-27,36.33,37.04,36.295,36.8,34.9501099081558,4588693,0.0000,1.0,Electronic_Equipment
2023-01-30,36.62,37.1,36.33,36.39,34.5607200966791,6646356,0.0000,1.0,Electronic_Equipment
2023-01-31,36.39,36.39,34.42,34.61,32.8701984761215,14063381,0.0000,1.0,Electronic_Equipment
2023-02-01,34.52,35.59,34.22,35.28,33.5065184119494,6855265,0.0000,1.0,Electronic_Equipment
2023-02-02,35.49,36.335,34.98,36.29,34.4657469719286,4848807,0.0000,1.0,Electronic_Equipment
2023-02-03,35.9,36.44,35.64,35.74,33.9433947858013,3572644,0.0000,1.0,Electronic_Equipment
2023-02-06,35.27,35.41,35.01,35.02,33.2595882875983,4514611,0.0000,1.0,Electronic_Equipment
2023-02-07,34.81,35.35,34.7025,35.19,33.421042599674,5692601,0.0000,1.0,Electronic_Equipment
2023-02-08,34.94,35.43,34.82,35.14,33.3735560372988,4396486,0.0000,1.0,Electronic_Equipment
2023-02-09,35.48,35.91,34.88,35.0,33.2405936626482,3346152,0.0000,1.0,Electronic_Equipment
2023-02-10,34.79,35.29,34.71,35.25,33.4780264745242,3656866,0.0000,1.0,Electronic_Equipment
2023-02-13,35.14,35.745,35.14,35.67,33.876913598476,3596626,0.0000,1.0,Electronic_Equipment
2023-02-14,35.5,35.62,35.05,35.39,33.6109888491748,2868543,0.0000,1.0,Electronic_Equipment
2023-02-15,35.12,35.64,35.07,35.63,33.8389243485758,2745971,0.0000,1.0,Electronic_Equipment
2023-02-16,35.3,35.61,35.23,35.35,33.5729995992747,1976996,0.0000,1.0,Electronic_Equipment
2023-02-17,35.18,35.595,34.88,35.58,33.7914377862006,4389151,0.0000,1.0,Electronic_Equipment
2023-02-21,35.1,35.29,34.49,34.61,32.8701984761215,6262865,0.0000,1.0,Electronic_Equipment
2023-02-22,34.61,34.75,34.32,34.42,32.6897495390957,2746205,0.0000,1.0,Electronic_Equipment
2023-02-23,34.7,34.805,34.275,34.7,32.9556742883969,2688700,0.0000,1.0,Electronic_Equipment
2023-02-24,34.22,34.43,34.135,34.31,32.5852791018702,3243617,0.0000,1.0,Electronic_Equipment
2023-02-27,34.46,34.81,34.255,34.31,32.8512038511714,3472194,0.2800,1.0,Electronic_Equipment
2023-02-28,34.25,34.37,33.901,33.95,32.5065103686176,4687377,0.0000,1.0,Electronic_Equipment
2023-03-01,33.93,34.445,33.81,34.33,32.8703534890911,3563937,0.0000,1.0,Electronic_Equipment
2023-03-02,34.04,34.605,33.96,34.51,33.042700230368,3849660,0.0000,1.0,Electronic_Equipment
2023-03-03,34.8,35.405,34.56,35.27,33.770386471315,5187234,0.0000,1.0,Electronic_Equipment
2023-03-06,35.46,36.01,35.25,35.47,33.9618828505115,5976498,0.0000,1.0,Electronic_Equipment
2023-03-07,35.56,35.56,33.92,34.44,32.9756764976492,5688973,0.0000,1.0,Electronic_Equipment
2023-03-08,34.53,34.83,34.15,34.38,32.9182275838902,3901154,0.0000,1.0,Electronic_Equipment
2023-03-09,34.49,34.67,33.835,33.95,32.5065103686176,3406443,0.0000,1.0,Electronic_Equipment
