,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2023-01-03,116.0,116.525,113.46,114.66,111.185027430456,1700806,0.0000,1.0,Electronic_Equipment
2023-01-04,116.37,118.2,115.94,117.62,114.055319434591,1644018,0.0000,1.0,Electronic_Equipment
2023-01-05,116.37,117.17,115.4952,116.26,112.73653662188,1209673,0.0000,1.0,Electronic_Equipment
2023-01-06,117.84,120.79,117.04,120.4,116.751066654691,1981938,0.0000,1.0,Electronic_Equipment
2023-01-09,121.6,123.36,120.81,121.41,117.730456831778,1951275,0.0000,1.0,Electronic_Equipment
2023-01-10,121.58,123.18,121.5,122.7,118.981361117364,1932207,0.0000,1.0,Electronic_Equipment
2023-01-11,122.91,123.955,122.145,123.75,119.999539024236,2543445,0.0000,1.0,Electronic_Equipment
2023-01-12,124.71,125.02,123.01,124.13,120.368022457199,1659541,0.0000,1.0,Electronic_Equipment
2023-01-13,123.07,124.63,122.47,124.24,120.47468871411,1864823,0.0000,1.0,Electronic_Equipment
2023-01-17,124.89,125.18,123.26,124.21,120.445597916771,1673133,0.0000,1.0,Electronic_Equipment
2023-01-18,125.23,125.755,123.17,123.29,119.553480131702,1903373,0.0000,1.0,Electronic_Equipment
2023-01-19,121.71,122.12,119.94,121.34,117.662578304653,2279719,0.0000,1.0,Electronic_Equipment
2023-01-20,122.16,122.37,120.54,122.22,118.515908359936,2270799,0.0000,1.0,Electronic_Equipment
2023-01-23,122.99,125.5753,122.625,124.77,120.988626133769,1977013,0.0000,1.0,Electronic_Equipment
2023-01-24,124.39,125.57,124.06,124.65,120.872262944412,2977707,0.0000,1.0,Electronic_Equipment
2023-01-25,121.0,124.44,121.0,123.57,119.824994240201,2556671,0.0000,1.0,Electronic_Equipment
2023-01-26,123.39,124.3,121.2,124.27,120.503779511449,2080899,0.0000,1.0,Electronic_Equipment
2023-01-27,123.71,126.26,123.335,125.35,121.551048215661,1443508,0.0000,1.0,Electronic_Equipment
2023-01-30,123.82,126.14,123.791,125.5,121.696502202357,1832864,0.0000,1.0,Electronic_Equipment
2023-01-31,126.06,127.458,126.0,127.15,123.296496056013,1635833,0.0000,1.0,Electronic_Equipment
2023-02-01,127.0,131.0,126.9554,130.2,126.254060452166,2138485,0.0000,1.0,Electronic_Equipment
2023-02-02,131.36,135.035,131.36,134.95,130.860103364207,2555438,0.0000,1.0,Electronic_Equipment
2023-02-03,133.16,135.05,132.96,133.89,129.832228524889,2669994,0.0000,1.0,Electronic_Equipment
2023-02-06,132.98,133.635,132.1,133.1,129.066170861623,2507331,0.0000,1.0,Electronic_Equipment
2023-02-07,132.77,134.333,131.64,134.0,129.938894781799,1792356,0.0000,1.0,Electronic_Equipment
2023-02-08,133.31,134.15,131.05,131.55,127.56314633243,1598042,0.0000,1.0,Electronic_Equipment
2023-02-09,132.32,133.21,130.8,131.82,127.824963508483,2064402,0.0000,1.0,Electronic_Equipment
2023-02-10,130.64,130.92,128.9,129.79,125.856486221863,1864204,0.0000,1.0,Electronic_Equipment
2023-02-13,130.27,132.23,130.05,132.21,128.203143873893,1240328,0.0000,1.0,Electronic_Equipment
2023-02-14,131.6,133.05,130.91,132.7,128.678293563767,1601637,0.0000,1.0,Electronic_Equipment
2023-02-15,131.76,133.31,131.64,133.08,129.04677699673,2038547,0.0000,1.0,Electronic_Equipment
2023-02-16,130.22,132.8219,130.19,132.0,128.542536509517,1688364,0.5600,1.0,Electronic_Equipment
2023-02-17,130.8,132.3,130.21,131.85,128.396465445302,1557044,0.0000,1.0,Electronic_Equipment
2023-02-21,130.05,131.12,126.43,126.68,123.361882765346,1917505,0.0000,1.0,Electronic_Equipment
2023-02-22,126.37,128.035,125.9425,126.72,123.400835049136,1292755,0.0000,1.0,Electronic_Equipment
2023-02-23,127.86,128.01,125.27,127.54,124.199356866847,1488118,0.0000,1.0,Electronic_Equipment
2023-02-24,125.52,125.95,124.47,125.47,122.183576180675,1788997,0.0000,1.0,Electronic_Equipment
2023-02-27,126.69,127.83,126.28,127.2,123.868262454626,1612487,0.0000,1.0,Electronic_Equipment
2023-02-28,126.79,128.54,126.61,127.32,123.985119305998,1735659,0.0000,1.0,Electronic_Equipment
2023-03-01,127.02,128.11,126.07,127.83,124.48176092433,2003278,0.0000,1.0,Electronic_Equipment
2023-03-02,127.36,129.25,126.92,129.14,125.757448218478,1757205,0.0000,1.0,Electronic_Equipment
2023-03-03,129.93,130.77,129.5,130.48,127.062349725468,1150421,0.0000,1.0,Electronic_Equipment
2023-03-06,131.12,132.14,130.11,130.62,127.198682718736,1508513,0.0000,1.0,Electronic_Equipment
2023-03-07,130.89,131.23,128.045,128.86,125.484782231942,1386670,0.0000,1.0,Electronic_Equipment
2023-03-08,129.34,129.62,128.25,129.61,126.215137553019,1286396,0.0000,1.0,Electronic_Equipment
2023-03-09,130.1,130.44,127.5,128.06,124.705736556127,2061786,0.0000,1.0,Electronic_Equipment
2023-03-10,128.34,128.3813,123.92,124.53,121.268197511592,2565434,0.0000,1.0,Electronic_Equipment
2023-03-13,122.86,125.205,121.67,124.02,120.77155589326,2141090,0.0000,1.0,Electronic_Equipment
2023-03-14,126.41,128.14,125.12,126.51,123.196335559235,1634131,0.0000,1.0,Electronic_Equipment
2023-03-15,123.61,124.44,121.785,123.93,120.683913254731,2373257,0.0000,1.0,Electronic_Equipment
2023-03-16,122.46,125.28,121.2,124.91,121.638244207604,2301481,0.0000,1.0,Electronic_Equipment
2023-03-17,124.71,124.99,122.4,123.23,120.002248288392,3185119,0.0000,1.0,Electronic_Equipment
2023-03-20,123.95,125.21,123.6,124.57,121.307149795383,1605738,0.0000,1.0,Electronic_Equipment
2023-03-21,126.14,126.4,124.75,125.42,122.134885825937,1688042,0.0000,1.0,Electronic_Equipment
2023-03-22,125.12,126.455,123.74,123.81,120.567056403358,1799125,0.0000,1.0,Electronic_Equipment
2023-03-23,124.56,127.02,123.76,125.15,121.871957910349,1616338,0.0000,1.0,Electronic_Equipment
2023-03-24,124.65,124.88,123.18,124.68,121.414268575808,1263761,0.0000,1.0,Electronic_Equipment
2023-03-27,125.49,126.05,124.43,125.18,121.901172123192,1231035,0.0000,1.0,Electronic_Equipment
2023-03-28,124.96,125.39,123.99,124.44,121.180554873063,1162580,0.0000,1.0,Electronic_Equipment
2023-03-29,125.94,127.52,125.54,127.36,124.024071589789,1102526,0.0000,1.0,Electronic_Equipment
2023-03-30,128.61,129.49,128.485,129.14,125.757448218478,1121750,0.0000,1.0,Electronic_Equipment
2023-03-31,129.89,131.32,129.86,131.15,127.714800478963,1361861,0.0000,1.0,Electronic_Equipment
2023-04-03,130.63,131.57,130.17,130.89,127.461610634323,1345833,0.0000,1.0,Electronic_Equipment
2023-04-04,130.37,130.99,125.6,126.27,122.96262185649,1342271,0.0000,1.0,Electronic_Equipment
2023-04-05,125.39,125.77,123.42,124.49,121.229245227801,1688090,0.0000,1.0,Electronic_Equipment
2023-04-06,123.72,124.585,122.365,123.96,120.713127467574,1559008,0.0000,1.0,Electronic_Equipment
2023-04-10,123.24,125.32,122.75,125.29,122.008290903617,1016790,0.0000,1.0,Electronic_Equipment
2023-04-11,125.345,126.55,125.115,125.73,122.436766025315,820073,0.0000,1.0,Electronic_Equipment
2023-04-12,126.92,127.62,125.19,125.38,122.095933542146,1051150,0.0000,1.0,Electronic_Equipment
2023-04-13,126.09,126.39,124.475,126.0,122.699693940903,1125341,0.0000,1.0,Electronic_Equipment
2023-04-14,126.39,127.69,125.22,125.92,122.621789373321,923569,0.0000,1.0,Electronic_Equipment
2023-04-17,125.6,126.85,125.41,126.74,123.420311191032,1121089,0.0000,1.0,Electronic_Equipment
2023-04-18,127.65,128.25,126.6993,127.75,124.403856356749,1585867,0.0000,1.0,Electronic_Equipment
2023-04-19,126.67,128.635,126.39,128.25,124.890759904133,1430315,0.0000,1.0,Electronic_Equipment
2023-04-20,126.67,127.89,125.43,127.61,124.267523363481,1575339,0.0000,1.0,Electronic_Equipment
2023-04-21,127.76,128.57,127.055,128.4,125.036830968348,1464406,0.0000,1.0,Electronic_Equipment
2023-04-24,128.38,128.65,127.68,128.26,124.900497975081,864144,0.0000,1.0,Electronic_Equipment
2023-04-25,127.63,127.63,124.17,124.18,120.927365028423,1998310,0.0000,1.0,Electronic_Equipment
2023-04-26,121.65,122.59,119.34,120.2,117.051612791242,3314943,0.0000,1.0,Electronic_Equipment
2023-04-27,119.96,121.61,119.0,121.39,118.210443234017,2003451,0.0000,1.0,Electronic_Equipment
2023-04-28,121.1,122.5,120.945,122.37,119.164774186891,1313961,0.0000,1.0,Electronic_Equipment
2023-05-01,122.41,124.03,122.41,123.2,119.973034075549,886014,0.0000,1.0,Electronic_Equipment
2023-05-02,122.3,123.03,120.31,122.63,119.417964031531,1246140,0.0000,1.0,Electronic_Equipment
2023-05-03,122.79,123.85,121.37,121.41,118.229919375913,1307822,0.0000,1.0,Electronic_Equipment
2023-05-04,120.67,121.11,119.125,119.33,116.204400618793,2227195,0.0000,1.0,Electronic_Equipment
2023-05-05,121.43,123.83,121.43,122.94,119.719844230909,1661380,0.0000,1.0,Electronic_Equipment
