,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2020-01-02,1875.0,1898.01,1864.15,1898.01,94.9005,4035910,0.0000,1.0,Internet_Services
2020-01-03,1864.5,1886.2,1864.5,1874.97,93.7485,3766604,0.0000,1.0,Internet_Services
2020-01-06,1860.0,1903.69,1860.0,1902.88,95.144,4065698,0.0000,1.0,Internet_Services
2020-01-07,1904.5,1913.89,1892.04,1906.86,95.343,4134010,0.0000,1.0,Internet_Services
2020-01-08,1898.04,1911.0,1886.44,1891.97,94.5985,3511966,0.0000,1.0,Internet_Services
2020-01-09,1909.89,1917.82,1895.8,1901.05,95.0525,3174962,0.0000,1.0,Internet_Services
2020-01-10,1905.37,1906.94,1880.0,1883.16,94.158,2856959,0.0000,1.0,Internet_Services
2020-01-13,1891.31,1898.0,1880.8,1891.3,94.565,2753903,0.0000,1.0,Internet_Services
2020-01-14,1885.88,1887.11,1858.55,1869.44,93.472,3446381,0.0000,1.0,Internet_Services
2020-01-15,1872.25,1878.86,1855.09,1862.02,93.101,2896592,0.0000,1.0,Internet_Services
2020-01-16,1882.99,1885.59,1866.02,1877.94,93.897,2659493,0.0000,1.0,Internet_Services
2020-01-17,1885.89,1886.64,1857.25,1864.72,93.236,3997340,0.0000,1.0,Internet_Services
2020-01-21,1865.0,1894.27,1860.0,1892.0,94.6,3643771,0.0000,1.0,Internet_Services
2020-01-22,1896.09,1902.5,1883.34,1887.46,94.373,3216257,0.0000,1.0,Internet_Services
2020-01-23,1885.11,1889.98,1872.76,1884.58,94.229,2484613,0.0000,1.0,Internet_Services
2020-01-24,1891.37,1894.99,1847.44,1861.64,93.082,3766181,0.0000,1.0,Internet_Services
2020-01-27,1820.0,1841.0,1815.34,1828.34,91.417,3528509,0.0000,1.0,Internet_Services
2020-01-28,1840.5,1858.11,1830.02,1853.25,92.6625,2808040,0.0000,1.0,Internet_Services
2020-01-29,1864.0,1874.75,1855.02,1858.0,92.9,2101390,0.0000,1.0,Internet_Services
2020-01-30,1858.0,1872.87,1850.61,1870.68,93.534,6327438,0.0000,1.0,Internet_Services
2020-01-31,2051.47,2055.72,2002.27,2008.72,100.436,15567283,0.0000,1.0,Internet_Services
2020-02-03,2010.6,2048.5,2000.25,2004.2,100.21,5899094,0.0000,1.0,Internet_Services
2020-02-04,2029.88,2059.8,2015.37,2049.67,102.4835,5289338,0.0000,1.0,Internet_Services
2020-02-05,2071.02,2071.02,2032.0,2039.87,101.9935,4376174,0.0000,1.0,Internet_Services
2020-02-06,2041.02,2056.3,2024.8,2050.23,102.5115,3182954,0.0000,1.0,Internet_Services
2020-02-07,2041.99,2098.53,2038.1,2079.28,103.964,5095347,0.0000,1.0,Internet_Services
2020-02-10,2085.01,2135.6,2084.96,2133.91,106.6955,5056235,0.0000,1.0,Internet_Services
2020-02-11,2150.9,2185.95,2136.0,2150.8,107.54,5746011,0.0000,1.0,Internet_Services
2020-02-12,2163.2,2180.25,2155.29,2160.0,108.0,3334264,0.0000,1.0,Internet_Services
2020-02-13,2144.99,2170.28,2142.0,2149.87,107.4935,3031791,0.0000,1.0,Internet_Services
2020-02-14,2155.68,2159.04,2125.89,2134.87,106.7435,2606169,0.0000,1.0,Internet_Services
2020-02-18,2125.02,2166.07,2124.11,2155.67,107.7835,2951070,0.0000,1.0,Internet_Services
2020-02-19,2167.8,2185.1,2161.12,2170.22,108.511,2561165,0.0000,1.0,Internet_Services
2020-02-20,2173.07,2176.79,2127.45,2153.1,107.655,3131342,0.0000,1.0,Internet_Services
2020-02-21,2142.15,2144.55,2088.0,2095.97,104.7985,4650740,0.0000,1.0,Internet_Services
2020-02-24,2003.18,2039.3,1987.97,2009.29,100.4645,6546997,0.0000,1.0,Internet_Services
2020-02-25,2026.42,2034.6,1958.42,1972.74,98.637,6219094,0.0000,1.0,Internet_Services
2020-02-26,1970.28,2014.67,1960.45,1979.59,98.9795,5240402,0.0000,1.0,Internet_Services
2020-02-27,1934.38,1975.0,1882.76,1884.3,94.215,8143993,0.0000,1.0,Internet_Services
2020-02-28,1814.63,1889.76,1811.13,1883.75,94.1875,9493797,0.0000,1.0,Internet_Services
2020-03-02,1906.49,1954.51,1870.0,1953.95,97.6975,6761651,0.0000,1.0,Internet_Services
2020-03-03,1975.37,1996.33,1888.09,1908.99,95.4495,7534491,0.0000,1.0,Internet_Services
2020-03-04,1946.57,1978.0,1922.0,1975.83,98.7915,4772919,0.0000,1.0,Internet_Services
2020-03-05,1933.0,1960.72,1910.0,1924.03,96.2015,4748210,0.0000,1.0,Internet_Services
2020-03-06,1875.0,1910.87,1869.5,1901.09,95.0545,5273580,0.0000,1.0,Internet_Services
2020-03-09,1773.86,1862.77,1761.29,1800.61,90.0305,7813232,0.0000,1.0,Internet_Services
2020-03-10,1870.88,1894.27,1818.17,1891.82,94.591,7133310,0.0000,1.0,Internet_Services
2020-03-11,1857.85,1871.32,1801.5,1820.86,91.043,5646831,0.0000,1.0,Internet_Services
2020-03-12,1721.98,1765.0,1675.0,1676.61,83.8305,11346214,0.0000,1.0,Internet_Services
2020-03-13,1755.0,1786.31,1680.62,1785.0,89.25,8809725,0.0000,1.0,Internet_Services
2020-03-16,1641.51,1759.45,1626.03,1689.15,84.4575,8917265,0.0000,1.0,Internet_Services
2020-03-17,1775.47,1857.78,1689.24,1807.84,90.392,10917129,0.0000,1.0,Internet_Services
2020-03-18,1750.0,1841.66,1745.0,1830.0,91.5,9596297,0.0000,1.0,Internet_Services
2020-03-19,1860.0,1945.0,1832.65,1880.93,94.0465,10399943,0.0000,1.0,Internet_Services
2020-03-20,1926.31,1957.0,1820.73,1846.09,92.3045,9817850,0.0000,1.0,Internet_Services
2020-03-23,1827.75,1919.4,1812.0,1902.83,95.1415,7808489,0.0000,1.0,Internet_Services
2020-03-24,1951.5,1955.0,1900.34,1940.1,97.005,7147080,0.0000,1.0,Internet_Services
2020-03-25,1920.69,1950.26,1885.78,1885.84,94.292,6479073,0.0000,1.0,Internet_Services
2020-03-26,1902.0,1956.49,1889.29,1955.49,97.7745,6235118,0.0000,1.0,Internet_Services
2020-03-27,1930.86,1939.79,1899.92,1900.1,95.005,5387897,0.0000,1.0,Internet_Services
2020-03-30,1922.83,1973.63,1912.34,1963.95,98.1975,6126087,0.0000,1.0,Internet_Services
2020-03-31,1964.35,1993.02,1944.01,1949.72,97.486,5123626,0.0000,1.0,Internet_Services
2020-04-01,1932.97,1944.96,1893.0,1907.7,95.385,4121875,0.0000,1.0,Internet_Services
2020-04-02,1901.64,1927.53,1890.0,1918.83,95.9415,4335985,0.0000,1.0,Internet_Services
2020-04-03,1911.15,1926.33,1889.15,1906.59,95.3295,3609870,0.0000,1.0,Internet_Services
2020-04-06,1936.0,1998.52,1930.02,1997.59,99.8795,5773181,0.0000,1.0,Internet_Services
2020-04-07,2017.11,2035.72,1997.62,2011.6,100.58,5113983,0.0000,1.0,Internet_Services
2020-04-08,2021.0,2044.0,2011.15,2043.0,102.15,3977313,0.0000,1.0,Internet_Services
2020-04-09,2044.3,2053.0,2017.66,2042.76,102.138,4655617,0.0000,1.0,Internet_Services
2020-04-13,2040.0,2180.0,2038.0,2168.87,108.4435,6716709,0.0000,1.0,Internet_Services
2020-04-14,2200.47,2292.0,2186.21,2283.32,114.166,8087193,0.0000,1.0,Internet_Services
2020-04-15,2257.68,2333.37,2245.0,2307.68,115.384,6866567,0.0000,1.0,Internet_Services
2020-04-16,2346.0,2461.0,2335.0,2408.19,120.4095,12038201,0.0000,1.0,Internet_Services
2020-04-17,2372.33,2400.0,2316.02,2375.0,118.75,7930010,0.0000,1.0,Internet_Services
2020-04-20,2389.95,2444.98,2386.05,2393.61,119.6805,5770694,0.0000,1.0,Internet_Services
2020-04-21,2416.61,2428.31,2279.66,2328.12,116.406,7476679,0.0000,1.0,Internet_Services
2020-04-22,2369.0,2394.0,2351.0,2363.49,118.1745,4218295,0.0000,1.0,Internet_Services
2020-04-23,2399.98,2424.22,2382.08,2399.45,119.9725,5066552,0.0000,1.0,Internet_Services
2020-04-24,2417.0,2420.43,2382.0,2410.22,120.511,3831797,0.0000,1.0,Internet_Services
2020-04-27,2443.2,2444.88,2363.0,2376.0,118.8,5645645,0.0000,1.0,Internet_Services
2020-04-28,2372.1,2373.5,2306.0,2314.08,115.704,5269446,0.0000,1.0,Internet_Services
2020-04-29,2330.01,2391.89,2310.0,2372.71,118.6355,4591593,0.0000,1.0,Internet_Services
2020-04-30,2419.84,2475.0,2396.01,2474.0,123.7,9534611,0.0000,1.0,Internet_Services
2020-05-01,2336.8,2362.44,2258.19,2286.04,114.302,9772605,0.0000,1.0,Internet_Services
2020-05-04,2256.38,2326.98,2256.38,2315.99,115.7995,4865926,0.0000,1.0,Internet_Services
2020-05-05,2340.0,2351.0,2307.13,2317.8,115.89,3242496,0.0000,1.0,Internet_Services
2020-05-06,2329.44,2357.45,2320.0,2351.26,117.563,3117814,0.0000,1.0,Internet_Services
2020-05-07,2374.78,2376.0,2343.11,2367.61,118.3805,3396411,0.0000,1.0,Internet_Services
2020-05-08,2372.14,2387.24,2357.0,2379.61,118.9805,3211228,0.0000,1.0,Internet_Services
2020-05-11,2374.7,2419.67,2372.11,2409.0,120.45,3259231,0.0000,1.0,Internet_Services
2020-05-12,2411.85,2419.0,2355.0,2356.95,117.8475,3074916,0.0000,1.0,Internet_Services
2020-05-13,2366.8,2407.7,2337.8,2367.92,118.396,4782919,0.0000,1.0,Internet_Services
2020-05-14,2361.01,2391.37,2353.21,2388.85,119.4425,3648128,0.0000,1.0,Internet_Services
2020-05-15,2368.52,2411.0,2356.37,2409.78,120.489,4234951,0.0000,1.0,Internet_Services
2020-05-18,2404.35,2433.0,2384.01,2426.26,121.313,4366572,0.0000,1.0,Internet_Services
2020-05-19,2429.83,2485.0,2428.97,2449.33,122.4665,4320498,0.0000,1.0,Internet_Services
2020-05-20,2477.87,2500.01,2467.27,2497.94,124.897,3998143,0.0000,1.0,Internet_Services
2020-05-21,2500.0,2525.45,2442.54,2446.74,122.337,5114403,0.0000,1.0,Internet_Services
2020-05-22,2455.01,2469.85,2430.13,2436.88,121.844,2867079,0.0000,1.0,Internet_Services
2020-05-26,2458.0,2462.0,2414.06,2421.86,121.093,3568153,0.0000,1.0,Internet_Services
2020-05-27,2404.99,2413.58,2330.0,2410.39,120.5195,5056945,0.0000,1.0,Internet_Services
2020-05-28,2384.33,2436.97,2378.23,2401.1,120.055,3193136,0.0000,1.0,Internet_Services
2020-05-29,2415.94,2442.37,2398.2,2442.37,122.1185,3529329,0.0000,1.0,Internet_Services
2020-06-01,2448.0,2476.93,2444.17,2471.04,123.552,2938032,0.0000,1.0,Internet_Services
2020-06-02,2467.0,2473.53,2445.31,2472.41,123.6205,2529903,0.0000,1.0,Internet_Services
2020-06-03,2468.01,2488.0,2461.17,2478.4,123.92,2671024,0.0000,1.0,Internet_Services
2020-06-04,2477.43,2507.54,2450.01,2460.6,123.03,2948710,0.0000,1.0,Internet_Services
2020-06-05,2444.51,2488.65,2437.13,2483.0,124.15,3306445,0.0000,1.0,Internet_Services
2020-06-08,2500.2,2530.0,2487.34,2524.06,126.203,3970654,0.0000,1.0,Internet_Services
2020-06-09,2529.44,2626.43,2525.0,2600.86,130.043,5175950,0.0000,1.0,Internet_Services
2020-06-10,2645.0,2722.35,2626.26,2647.45,132.3725,4946031,0.0000,1.0,Internet_Services
2020-06-11,2603.5,2671.38,2536.23,2557.96,127.898,5800107,0.0000,1.0,Internet_Services
2020-06-12,2601.21,2621.48,2503.35,2545.02,127.251,5436127,0.0000,1.0,Internet_Services
2020-06-15,2526.6,2584.0,2508.0,2572.68,128.634,3873335,0.0000,1.0,Internet_Services
2020-06-16,2620.0,2620.0,2576.0,2615.27,130.7635,3595649,0.0000,1.0,Internet_Services
2020-06-17,2647.5,2655.0,2631.82,2640.98,132.049,2959316,0.0000,1.0,Internet_Services
2020-06-18,2647.01,2659.64,2636.11,2653.98,132.699,2487774,0.0000,1.0,Internet_Services
2020-06-19,2678.08,2697.43,2659.0,2675.01,133.7505,5776963,0.0000,1.0,Internet_Services
2020-06-22,2684.5,2715.0,2669.0,2713.82,135.691,3208780,0.0000,1.0,Internet_Services
2020-06-23,2726.02,2783.11,2718.04,2764.41,138.2205,4231707,0.0000,1.0,Internet_Services
2020-06-24,2780.0,2796.0,2721.0,2734.4,136.72,4526605,0.0000,1.0,Internet_Services
2020-06-25,2739.55,2756.23,2712.14,2754.58,137.729,2968657,0.0000,1.0,Internet_Services
2020-06-26,2775.06,2782.57,2688.0,2692.87,134.6435,6500784,0.0000,1.0,Internet_Services
2020-06-29,2690.01,2696.8,2630.08,2680.38,134.019,4223422,0.0000,1.0,Internet_Services
2020-06-30,2685.07,2769.63,2675.03,2758.82,137.941,3769686,0.0000,1.0,Internet_Services
2020-07-01,2757.99,2895.0,2754.0,2878.7,143.935,6364355,0.0000,1.0,Internet_Services
2020-07-02,2912.01,2955.56,2871.1,2890.3,144.515,6593735,0.0000,1.0,Internet_Services
2020-07-06,2934.97,3059.88,2930.0,3057.04,152.852,6880340,0.0000,1.0,Internet_Services
2020-07-07,3058.55,3069.55,2990.0,3000.12,150.006,5257688,0.0000,1.0,Internet_Services
2020-07-08,3022.61,3083.97,3012.43,3081.11,154.0555,5037856,0.0000,1.0,Internet_Services
2020-07-09,3115.99,3193.88,3074.0,3182.63,159.1315,6388971,0.0000,1.0,Internet_Services
2020-07-10,3191.76,3215.0,3135.7,3200.0,160.0,5486005,0.0000,1.0,Internet_Services
2020-07-13,3251.06,3344.29,3068.39,3104.0,155.2,7722519,0.0000,1.0,Internet_Services
2020-07-14,3089.0,3127.38,2950.0,3084.0,154.2,7231956,0.0000,1.0,Internet_Services
2020-07-15,3080.23,3098.35,2973.18,3008.87,150.4435,5789358,0.0000,1.0,Internet_Services
2020-07-16,2971.06,3032.0,2918.23,2999.9,149.995,6394284,0.0000,1.0,Internet_Services
2020-07-17,3009.0,3024.0,2948.45,2961.97,148.0985,4716329,0.0000,1.0,Internet_Services
2020-07-20,3000.2,3201.36,2994.02,3196.84,159.842,7488703,0.0000,1.0,Internet_Services
2020-07-21,3232.49,3240.58,3105.72,3138.29,156.9145,6075758,0.0000,1.0,Internet_Services
2020-07-22,3125.0,3149.9999,3065.26,3099.91,154.9955,4104225,0.0000,1.0,Internet_Services
2020-07-23,3098.2713,3098.2713,2970.0,2986.55,149.3275,5656906,0.0000,1.0,Internet_Services
2020-07-24,2930.0,3031.58,2888.0,3008.91,150.4455,5632413,0.0000,1.0,Internet_Services
2020-07-27,3062.0,3098.0,3015.77,3055.21,152.7605,4170492,0.0000,1.0,Internet_Services
2020-07-28,3054.27,3077.0926,2995.76,3000.33,150.0165,3126651,0.0000,1.0,Internet_Services
2020-07-29,3030.99,3039.1592,2996.77,3033.53,151.6765,2974060,0.0000,1.0,Internet_Services
2020-07-30,3014.0,3092.0,3005.0,3051.88,152.594,6128265,0.0000,1.0,Internet_Services
2020-07-31,3244.0,3246.82,3151.0,3164.68,158.234,8083369,0.0000,1.0,Internet_Services
