,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2023-01-03,85.0,85.68,84.11,84.97,84.97,1308083,0.0000,1.0,Internet_Services
2023-01-04,85.77,86.21,84.93,85.86,85.86,1182354,0.0000,1.0,Internet_Services
2023-01-05,85.36,85.5,84.27,84.62,84.62,1013335,0.0000,1.0,Internet_Services
2023-01-06,85.34,86.21,84.52,85.85,85.85,926710,0.0000,1.0,Internet_Services
2023-01-09,86.51,87.62,86.365,86.88,86.88,1566876,0.0000,1.0,Internet_Services
2023-01-10,86.42,87.78,86.381,87.39,87.39,1101793,0.0000,1.0,Internet_Services
2023-01-11,88.0,88.885,87.6,88.73,88.73,1019352,0.0000,1.0,Internet_Services
2023-01-12,88.87,89.0742,87.8,88.64,88.64,1084342,0.0000,1.0,Internet_Services
2023-01-13,88.01,89.28,87.77,88.7,88.7,786321,0.0000,1.0,Internet_Services
2023-01-17,88.86,89.205,88.45,88.88,88.88,1746807,0.0000,1.0,Internet_Services
2023-01-18,88.94,89.7499,87.72,87.8,87.8,1318091,0.0000,1.0,Internet_Services
2023-01-19,87.24,87.98,86.54,86.59,86.59,1403621,0.0000,1.0,Internet_Services
2023-01-20,86.69,88.3,86.375,88.13,88.13,1506580,0.0000,1.0,Internet_Services
2023-01-23,87.985,89.29,87.8369,89.19,89.19,1102919,0.0000,1.0,Internet_Services
2023-01-24,87.51,88.55,87.11,87.75,87.75,1154099,0.0000,1.0,Internet_Services
2023-01-25,87.14,87.2,85.66,86.62,86.62,1544841,0.0000,1.0,Internet_Services
2023-01-26,87.4,87.74,86.72,87.46,87.46,792834,0.0000,1.0,Internet_Services
2023-01-27,87.42,87.81,86.92,87.42,87.42,771434,0.0000,1.0,Internet_Services
2023-01-30,87.15,87.71,86.96,87.34,87.34,1187241,0.0000,1.0,Internet_Services
2023-01-31,87.47,89.04,87.2907,88.95,88.95,1177933,0.0000,1.0,Internet_Services
2023-02-01,88.28,89.99,87.85,89.58,89.58,1006796,0.0000,1.0,Internet_Services
2023-02-02,90.0,91.77,89.82,91.28,91.28,1057821,0.0000,1.0,Internet_Services
2023-02-03,89.52,90.36,89.035,89.33,89.33,775519,0.0000,1.0,Internet_Services
2023-02-06,88.505,88.73,87.06,87.49,87.49,920053,0.0000,1.0,Internet_Services
2023-02-07,87.16,88.29,86.64,88.16,88.16,1092193,0.0000,1.0,Internet_Services
2023-02-08,88.12,88.31,85.995,86.23,86.23,1454136,0.0000,1.0,Internet_Services
2023-02-09,87.07,87.49,85.48,85.71,85.71,1211736,0.0000,1.0,Internet_Services
2023-02-10,85.13,86.315,84.73,85.5,85.5,1246596,0.0000,1.0,Internet_Services
2023-02-13,85.63,88.01,85.5201,87.97,87.97,1977251,0.0000,1.0,Internet_Services
2023-02-14,87.99,88.89,87.26,87.79,87.79,1945047,0.0000,1.0,Internet_Services
2023-02-15,81.53,81.53,78.32,78.655,78.655,7749385,0.0000,1.0,Internet_Services
2023-02-16,78.025,78.9,76.73,77.07,77.07,3690329,0.0000,1.0,Internet_Services
2023-02-17,76.68,77.42,75.61,77.3,77.3,2232934,0.0000,1.0,Internet_Services
2023-02-21,76.73,77.06,75.65,76.4,76.4,2015145,0.0000,1.0,Internet_Services
2023-02-22,76.77,77.35,75.98,76.85,76.85,1617197,0.0000,1.0,Internet_Services
2023-02-23,76.74,76.9,74.47,75.15,75.15,2059002,0.0000,1.0,Internet_Services
2023-02-24,74.21,74.2899,72.555,72.71,72.71,2059481,0.0000,1.0,Internet_Services
2023-02-27,73.15,74.42,73.07,73.3,73.3,2099013,0.0000,1.0,Internet_Services
2023-02-28,72.95,73.7299,72.55,72.6,72.6,2348148,0.0000,1.0,Internet_Services
2023-03-01,72.36,73.3,72.14,73.05,73.05,1497580,0.0000,1.0,Internet_Services
2023-03-02,72.63,73.925,72.63,73.51,73.51,1379503,0.0000,1.0,Internet_Services
2023-03-03,74.06,75.88,74.01,75.65,75.65,2319957,0.0000,1.0,Internet_Services
2023-03-06,76.0,76.4,74.665,74.94,74.94,1693551,0.0000,1.0,Internet_Services
2023-03-07,75.28,75.78,74.3666,74.72,74.72,1457064,0.0000,1.0,Internet_Services
2023-03-08,74.91,75.4048,74.22,74.41,74.41,1224740,0.0000,1.0,Internet_Services
2023-03-09,74.42,75.02,73.625,73.7,73.7,2155251,0.0000,1.0,Internet_Services
