,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2020-01-02,135.0,135.92,134.77,135.42,103.308714678629,3148461,0.0000,1.0,IT_Services
2020-01-03,133.57,134.86,133.56,134.34,102.484808225721,2373470,0.0000,1.0,IT_Services
2020-01-06,133.42,134.24,133.2,134.1,102.301717902852,2421128,0.0000,1.0,IT_Services
2020-01-07,133.69,134.96,133.4,134.19,102.370376773928,3267592,0.0000,1.0,IT_Services
2020-01-08,134.51,135.86,133.92,135.31,103.224798280648,4345952,0.0000,1.0,IT_Services
2020-01-09,135.74,136.79,135.31,136.74,104.315711454407,3730549,0.0000,1.0,IT_Services
2020-01-10,137.0,137.87,136.31,136.69,104.277567637143,3255398,0.0000,1.0,IT_Services
2020-01-13,135.48,136.64,135.07,136.6,104.208908766067,3162843,0.0000,1.0,IT_Services
2020-01-14,136.28,137.14,135.55,135.82,103.613865216744,3680958,0.0000,1.0,IT_Services
2020-01-15,136.0,138.06,135.71,136.62,104.224166292973,4045591,0.0000,1.0,IT_Services
2020-01-16,137.32,138.19,137.01,137.98,105.261678122562,4319896,0.0000,1.0,IT_Services
2020-01-17,136.54,138.33,136.16,138.31,105.513427316506,5622251,0.0000,1.0,IT_Services
2020-01-21,137.81,139.35,137.6,139.17,106.169500973452,7130819,0.0000,1.0,IT_Services
2020-01-22,143.32,145.79,142.55,143.89,109.770277323202,16464948,0.0000,1.0,IT_Services
2020-01-23,144.2,144.41,142.15,142.87,108.99214345101,5654308,0.0000,1.0,IT_Services
2020-01-24,143.39,143.92,140.46,140.56,107.229899093399,5579292,0.0000,1.0,IT_Services
2020-01-27,138.5,140.07,138.1,138.62,105.749918983545,4165146,0.0000,1.0,IT_Services
2020-01-28,139.5,140.47,138.75,139.55,106.459393984661,3449000,0.0000,1.0,IT_Services
2020-01-29,139.17,139.58,137.6,137.69,105.040443982429,3053189,0.0000,1.0,IT_Services
2020-01-30,136.76,136.97,134.97,136.77,104.338597744766,5007038,0.0000,1.0,IT_Services
2020-01-31,142.9,144.05,140.79,143.73,109.648217107956,18987138,0.0000,1.0,IT_Services
2020-02-03,144.25,147.28,143.9,146.27,111.585923024982,8886414,0.0000,1.0,IT_Services
2020-02-04,147.78,149.38,146.88,149.11,113.752491845595,5619700,0.0000,1.0,IT_Services
2020-02-05,150.21,157.44,150.15,156.33,119.26045905856,14379714,0.0000,1.0,IT_Services
2020-02-06,156.82,158.75,155.42,156.76,119.588495887033,8394374,0.0000,1.0,IT_Services
2020-02-07,154.55,155.54,152.92,153.41,118.268719809688,6414553,1.6200,1.0,IT_Services
2020-02-10,152.97,154.44,151.58,154.43,119.055070726876,5237553,0.0000,1.0,IT_Services
2020-02-11,155.12,155.22,152.73,153.48,118.322685068711,3833574,0.0000,1.0,IT_Services
2020-02-12,153.75,155.6,153.52,155.31,119.733491126019,4437792,0.0000,1.0,IT_Services
2020-02-13,154.37,154.83,153.41,154.31,118.962558854266,3819757,0.0000,1.0,IT_Services
2020-02-14,154.42,154.56,149.77,150.7,116.179493353236,6095081,0.0000,1.0,IT_Services
2020-02-18,149.79,151.38,149.64,151.1,116.487866261937,3343038,0.0000,1.0,IT_Services
2020-02-19,151.54,151.89,150.31,150.86,116.302842516717,2732905,0.0000,1.0,IT_Services
2020-02-20,150.81,151.62,149.51,151.22,116.580378134548,2880483,0.0000,1.0,IT_Services
2020-02-21,151.04,151.04,148.84,149.84,115.516491599528,3536740,0.0000,1.0,IT_Services
2020-02-24,145.51,148.05,145.38,146.43,112.887612552849,5447948,0.0000,1.0,IT_Services
2020-02-25,146.51,147.07,141.26,141.71,109.248812230173,6210878,0.0000,1.0,IT_Services
2020-02-26,142.9,144.06,139.6,139.75,107.737784977536,5407690,0.0000,1.0,IT_Services
2020-02-27,137.24,138.69,133.01,133.11,102.618794693094,8404903,0.0000,1.0,IT_Services
2020-02-28,129.98,131.09,126.36,130.15,100.336835168704,13009236,0.0000,1.0,IT_Services
2020-03-02,130.75,134.44,127.95,134.3,103.53620409648,8528971,0.0000,1.0,IT_Services
2020-03-03,134.48,136.1,127.8,128.9,99.3731698290122,7893390,0.0000,1.0,IT_Services
2020-03-04,131.58,134.28,129.0,134.22,103.47452951474,4994682,0.0000,1.0,IT_Services
2020-03-05,130.5,132.29,128.45,129.55,99.8742758056519,5445193,0.0000,1.0,IT_Services
2020-03-06,126.7,128.33,124.52,127.73,98.4711790710607,8192525,0.0000,1.0,IT_Services
2020-03-09,120.16,122.41,117.28,117.81,90.8235309352671,10750357,0.0000,1.0,IT_Services
2020-03-10,122.78,124.88,115.76,124.77,96.1892195466707,11403865,0.0000,1.0,IT_Services
2020-03-11,121.01,122.58,116.38,117.97,90.9468800987476,8446480,0.0000,1.0,IT_Services
2020-03-12,109.65,109.8,102.28,102.81,79.2595468589662,12485925,0.0000,1.0,IT_Services
2020-03-13,108.68,109.16,100.81,107.95,83.2221387357786,12493419,0.0000,1.0,IT_Services
2020-03-16,98.0,107.41,95.0,99.08,76.383969485326,10564044,0.0000,1.0,IT_Services
2020-03-17,100.61,107.4,97.1,106.65,82.2199267824992,8887501,0.0000,1.0,IT_Services
2020-03-18,99.41,106.93,99.4,103.55,79.8300367400637,8751994,0.0000,1.0,IT_Services
2020-03-19,102.33,103.69,98.24,100.34,77.3553441477353,8391294,0.0000,1.0,IT_Services
2020-03-20,100.92,100.99,94.71,95.39,73.539229402556,10543213,0.0000,1.0,IT_Services
2020-03-23,94.6,97.74,90.56,94.77,73.0612513940689,9718602,0.0000,1.0,IT_Services
2020-03-24,99.99,106.04,99.26,105.48,81.3179360245477,7967768,0.0000,1.0,IT_Services
2020-03-25,105.48,112.48,102.83,105.85,81.6031809650965,8646557,0.0000,1.0,IT_Services
2020-03-26,106.91,113.15,105.57,112.89,87.0305441582404,7153135,0.0000,1.0,IT_Services
2020-03-27,108.58,111.5,107.65,108.03,83.2838133175189,6421470,0.0000,1.0,IT_Services
2020-03-30,108.09,113.46,107.81,112.93,87.0613814491105,5562501,0.0000,1.0,IT_Services
2020-03-31,112.0,113.81,110.17,110.93,85.5195169056037,6342167,0.0000,1.0,IT_Services
2020-04-01,106.36,109.92,104.52,105.14,81.0558190521516,6111890,0.0000,1.0,IT_Services
2020-04-02,105.37,110.32,105.14,110.0,84.8025498928731,6327540,0.0000,1.0,IT_Services
2020-04-03,108.92,110.07,104.92,106.34,81.9809377782557,4538113,0.0000,1.0,IT_Services
2020-04-06,110.35,115.63,110.13,114.82,88.5184434427244,7026457,0.0000,1.0,IT_Services
2020-04-07,118.8,119.57,114.87,114.94,88.6109553153348,5592463,0.0000,1.0,IT_Services
2020-04-08,116.31,119.96,115.07,119.29,91.9645106974621,5155987,0.0000,1.0,IT_Services
2020-04-09,120.48,122.92,120.17,121.5,93.6682710180371,5576210,0.0000,1.0,IT_Services
2020-04-13,121.63,121.8,118.04,121.15,93.3984447229234,5118777,0.0000,1.0,IT_Services
2020-04-14,123.46,125.18,122.62,123.91,95.5262177929627,5087292,0.0000,1.0,IT_Services
2020-04-15,119.12,120.19,116.76,118.69,91.50195133441,5632156,0.0000,1.0,IT_Services
2020-04-16,119.01,119.75,114.42,115.73,89.21999181002,6438128,0.0000,1.0,IT_Services
2020-04-17,119.3,120.39,117.92,120.12,92.6043844830174,4964018,0.0000,1.0,IT_Services
2020-04-20,119.15,122.86,118.14,120.41,92.8279548418259,7965530,0.0000,1.0,IT_Services
2020-04-21,114.0,117.15,112.06,116.76,90.014052049926,14341304,0.0000,1.0,IT_Services
2020-04-22,119.87,120.33,117.55,119.31,91.9799293428972,7085901,0.0000,1.0,IT_Services
2020-04-23,119.57,123.03,119.12,121.35,93.5526311772741,6873899,0.0000,1.0,IT_Services
2020-04-24,122.41,125.0,120.76,124.72,96.150672933083,4985575,0.0000,1.0,IT_Services
2020-04-27,125.56,126.99,125.47,125.92,97.0757916591871,4920443,0.0000,1.0,IT_Services
2020-04-28,128.03,128.2,125.38,126.27,97.3456179543007,4775867,0.0000,1.0,IT_Services
2020-04-29,128.88,129.31,127.53,128.69,99.211274051944,5252734,0.0000,1.0,IT_Services
2020-04-30,126.52,127.27,125.22,125.56,96.7982560413558,6630032,0.0000,1.0,IT_Services
2020-05-01,123.19,123.47,121.39,121.87,93.9535159585858,4923913,0.0000,1.0,IT_Services
2020-05-04,120.82,121.97,119.39,121.68,93.8070388269527,4016551,0.0000,1.0,IT_Services
2020-05-05,123.39,124.32,122.47,122.58,94.5008778715307,3897761,0.0000,1.0,IT_Services
2020-05-06,123.24,124.05,122.41,123.17,94.9557279118652,3861081,0.0000,1.0,IT_Services
2020-05-07,122.98,123.26,120.85,121.23,94.7167389076217,4412047,1.6300,1.0,IT_Services
2020-05-08,122.67,123.23,121.06,122.99,96.0918231316373,5002450,0.0000,1.0,IT_Services
2020-05-11,121.81,123.45,120.67,122.59,95.7793039898156,3533382,0.0000,1.0,IT_Services
2020-05-12,123.01,124.32,120.26,120.26,93.958879988704,4779635,0.0000,1.0,IT_Services
2020-05-13,119.95,119.99,114.85,115.73,90.4196007075729,5874676,0.0000,1.0,IT_Services
2020-05-14,114.57,117.09,111.81,116.95,91.3727840901291,5255607,0.0000,1.0,IT_Services
2020-05-15,115.93,117.39,115.25,116.98,91.3962230257658,4785773,0.0000,1.0,IT_Services
2020-05-18,119.88,122.36,119.75,121.56,94.9745671996246,4205425,0.0000,1.0,IT_Services
2020-05-19,121.19,122.17,120.14,120.29,93.9823189243406,3239964,0.0000,1.0,IT_Services
2020-05-20,120.93,122.47,120.6,121.38,94.8339335858048,3840563,0.0000,1.0,IT_Services
2020-05-21,120.99,121.72,118.97,119.12,93.068200434512,4018329,0.0000,1.0,IT_Services
2020-05-22,119.37,119.47,117.59,118.39,92.4978530006874,4179906,0.0000,1.0,IT_Services
2020-05-26,121.3,122.62,121.01,121.76,95.1308267705355,5467436,0.0000,1.0,IT_Services
2020-05-27,123.94,125.83,123.47,125.54,98.0841326607509,5725163,0.0000,1.0,IT_Services
2020-05-28,126.87,126.97,124.22,124.53,97.295021827651,3915224,0.0000,1.0,IT_Services
2020-05-29,123.67,125.13,122.24,124.9,97.5841020338361,7929905,0.0000,1.0,IT_Services
2020-06-01,124.64,125.75,124.03,124.89,97.5762890552905,2867306,0.0000,1.0,IT_Services
2020-06-02,125.67,126.0,124.66,126.0,98.4435296738458,2976908,0.0000,1.0,IT_Services
2020-06-03,127.15,129.6,127.0,129.05,100.826488130237,3913804,0.0000,1.0,IT_Services
2020-06-04,127.78,128.95,127.02,128.89,100.701480473508,3864131,0.0000,1.0,IT_Services
2020-06-05,133.89,134.23,131.75,132.06,103.178194672445,5892718,0.0000,1.0,IT_Services
2020-06-08,132.27,135.88,132.27,135.75,106.061183755751,5368387,0.0000,1.0,IT_Services
2020-06-09,133.52,133.6,131.02,131.87,103.02974808008,5391520,0.0000,1.0,IT_Services
2020-06-10,132.15,132.23,129.8,129.87,101.467152370971,4725055,0.0000,1.0,IT_Services
2020-06-11,126.03,126.1,117.84,118.01,92.2009598159567,11753674,0.0000,1.0,IT_Services
2020-06-12,121.25,123.12,119.28,121.91,95.2480214487186,6218003,0.0000,1.0,IT_Services
2020-06-15,119.19,122.37,118.29,121.65,95.0448840065345,5148756,0.0000,1.0,IT_Services
2020-06-16,125.0,127.5,123.16,125.15,97.7794264974747,5605791,0.0000,1.0,IT_Services
2020-06-17,125.83,126.25,123.4,124.15,96.9981286429203,3153862,0.0000,1.0,IT_Services
2020-06-18,123.0,124.4,122.33,124.16,97.0059416214659,2860286,0.0000,1.0,IT_Services
2020-06-19,126.17,126.82,122.25,122.47,95.685548247269,8098994,0.0000,1.0,IT_Services
2020-06-22,122.12,122.5,120.53,121.07,94.591731250893,4762601,0.0000,1.0,IT_Services
2020-06-23,122.01,122.9,119.23,119.41,93.2947768123328,6628278,0.0000,1.0,IT_Services
