,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,414.66,415.53,405.04,407.21,390.814625078082,2129954,0.0000,1.0,IT_Services
2022-01-04,408.81,411.37,403.2,404.3,388.021789541191,2516360,0.0000,1.0,IT_Services
2022-01-05,403.93,403.97,397.1,397.18,381.188459980139,2471434,0.0000,1.0,IT_Services
2022-01-06,384.69,392.195,375.76,378.0,362.780698606407,4386812,0.0000,1.0,IT_Services
2022-01-07,379.09,379.99,370.14,370.75,355.822603196628,3468954,0.0000,1.0,IT_Services
2022-01-10,363.42,373.37,360.22,373.0,357.982012116904,2952595,0.0000,1.0,IT_Services
2022-01-11,369.51,375.78,363.86,375.11,360.007057815474,2400093,0.0000,1.0,IT_Services
2022-01-12,377.85,383.44,376.615,377.19,362.934256574071,3143376,0.9700,1.0,IT_Services
2022-01-13,378.22,379.28,360.755,361.37,347.712167072754,2944219,0.0000,1.0,IT_Services
2022-01-14,357.04,359.375,349.72,353.36,340.004901781632,3949756,0.0000,1.0,IT_Services
2022-01-18,348.61,351.02,344.97,348.28,335.116898326089,3420482,0.0000,1.0,IT_Services
2022-01-19,351.0,356.07,343.5,343.74,330.748485789048,2984863,0.0000,1.0,IT_Services
2022-01-20,345.45,355.94,342.04,342.69,329.738170114182,2817368,0.0000,1.0,IT_Services
2022-01-21,341.39,344.08,335.25,335.63,322.944999957463,2830665,0.0000,1.0,IT_Services
2022-01-24,328.3,339.58,319.1,339.0,326.187632171081,4544635,0.0000,1.0,IT_Services
2022-01-25,331.91,339.685,327.21,334.95,322.290700282311,3625359,0.0000,1.0,IT_Services
2022-01-26,341.42,343.96,328.045,329.89,317.421940934861,4422198,0.0000,1.0,IT_Services
2022-01-27,337.53,341.73,331.01,333.36,320.760793688943,2778242,0.0000,1.0,IT_Services
2022-01-28,333.9,343.06,327.17,342.85,329.892122978924,2457439,0.0000,1.0,IT_Services
2022-01-31,345.0,353.7,343.535,353.58,340.216586970651,3159319,0.0000,1.0,IT_Services
2022-02-01,354.22,356.7,348.88,353.42,340.06263410591,2087227,0.0000,1.0,IT_Services
2022-02-02,354.4,360.1,353.51,359.47,345.883976803948,2603191,0.0000,1.0,IT_Services
2022-02-03,345.275,351.93,343.9754,345.55,332.490077571437,2706285,0.0000,1.0,IT_Services
2022-02-04,344.89,350.54,340.85,347.5,334.366378110474,2142780,0.0000,1.0,IT_Services
2022-02-07,346.18,348.27,343.01,343.96,330.960170978068,1265190,0.0000,1.0,IT_Services
2022-02-08,339.98,345.93,339.86,345.07,332.028218977212,2197696,0.0000,1.0,IT_Services
2022-02-09,351.63,356.53,351.515,355.53,342.092887509688,2430466,0.0000,1.0,IT_Services
2022-02-10,346.09,351.58,339.99,342.39,329.449508492792,2457672,0.0000,1.0,IT_Services
2022-02-11,343.94,344.98,327.29,329.18,316.738775097571,3091555,0.0000,1.0,IT_Services
2022-02-14,323.08,327.87,321.465,326.13,313.804048613435,2689862,0.0000,1.0,IT_Services
2022-02-15,332.72,333.33,327.35,329.41,316.960082340636,2395619,0.0000,1.0,IT_Services
2022-02-16,325.87,335.44,325.11,333.72,321.107187634611,2867517,0.0000,1.0,IT_Services
2022-02-17,332.92,332.92,322.246,322.91,310.705747210512,2148023,0.0000,1.0,IT_Services
2022-02-18,322.41,326.49,320.095,321.18,309.041131860495,2421930,0.0000,1.0,IT_Services
2022-02-22,320.01,327.975,317.79,321.11,308.97377748217,2455930,0.0000,1.0,IT_Services
2022-02-23,322.77,324.82,312.59,313.16,301.324244515327,2192190,0.0000,1.0,IT_Services
2022-02-24,302.35,316.58,300.71,316.17,304.220482783276,3785939,0.0000,1.0,IT_Services
2022-02-25,317.33,323.17,316.39,322.51,310.320865048659,2552653,0.0000,1.0,IT_Services
2022-02-28,318.69,319.45,311.91,316.02,304.076151972581,3419370,0.0000,1.0,IT_Services
2022-03-01,317.0,317.38,309.76,311.35,299.582652732938,2525416,0.0000,1.0,IT_Services
2022-03-02,315.42,320.26,312.55,318.33,306.298846457287,2220801,0.0000,1.0,IT_Services
2022-03-03,322.84,323.69,315.6,318.95,306.89541380816,2120865,0.0000,1.0,IT_Services
2022-03-04,314.55,316.315,310.0,314.16,302.286449919961,1917250,0.0000,1.0,IT_Services
2022-03-07,313.18,314.0,304.6,305.02,293.491892521602,2908214,0.0000,1.0,IT_Services
2022-03-08,303.71,309.01,297.36,301.62,290.220394145845,2902566,0.0000,1.0,IT_Services
2022-03-09,311.03,312.69,307.75,309.42,297.725596301994,2825956,0.0000,1.0,IT_Services
