,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,88.68,89.97,88.39,89.57,85.6399663206923,2673823,0.0000,1.0,IT_Services
2022-01-04,89.57,92.03,89.55,91.42,87.4087944740169,2702682,0.0000,1.0,IT_Services
2022-01-05,91.42,91.92,89.98,90.02,86.0702218174469,2523731,0.0000,1.0,IT_Services
2022-01-06,90.09,90.7,87.99,88.23,84.3587610636897,3207590,0.0000,1.0,IT_Services
2022-01-07,88.17,88.17,86.98,87.42,83.5843011695313,2755014,0.0000,1.0,IT_Services
2022-01-10,85.93,86.75,84.89,86.68,82.8767699082015,3504393,0.0000,1.0,IT_Services
2022-01-11,86.5,88.025,85.52,87.97,84.1101689988981,2675990,0.0000,1.0,IT_Services
2022-01-12,88.44,89.61,87.62,88.07,84.2057813315102,2854022,0.0000,1.0,IT_Services
2022-01-13,88.11,88.48,87.02,87.2,83.3739540377846,2556566,0.0000,1.0,IT_Services
2022-01-14,86.0,87.31,85.97,87.2,83.3739540377846,2327051,0.0000,1.0,IT_Services
2022-01-18,85.52,86.795,85.385,86.19,82.408269478402,2345088,0.0000,1.0,IT_Services
2022-01-19,86.26,87.03,85.9,86.04,82.2648509794838,2520495,0.0000,1.0,IT_Services
2022-01-20,86.28,87.56,85.62,85.69,81.9302078153413,2453414,0.0000,1.0,IT_Services
2022-01-21,86.17,86.925,84.13,84.26,80.5629514589878,4225740,0.0000,1.0,IT_Services
2022-01-24,84.9169,85.2,81.79,85.1,81.3660950529297,5057607,0.0000,1.0,IT_Services
2022-01-25,83.96,84.15,82.07,82.25,78.6411435734838,3805897,0.0000,1.0,IT_Services
2022-01-26,82.67,84.07,80.97,81.83,78.2395717765128,2866626,0.0000,1.0,IT_Services
2022-01-27,82.32,83.93,81.3,81.79,78.201326843468,2838914,0.0000,1.0,IT_Services
2022-01-28,81.79,84.47,81.23,84.44,80.7350536576896,2491440,0.0000,1.0,IT_Services
2022-01-31,84.18,85.59,83.69,85.42,81.6720545172886,4080855,0.0000,1.0,IT_Services
2022-02-01,85.38,86.54,84.79,86.42,82.62817784341,3224444,0.0000,1.0,IT_Services
2022-02-02,86.345,88.43,86.29,88.24,84.3683222969509,4075592,0.0000,1.0,IT_Services
2022-02-03,87.24,87.56,84.27,86.06,82.2839734460063,3680617,0.0000,1.0,IT_Services
2022-02-04,85.56,87.2,84.86,86.82,83.0106271738585,3105500,0.0000,1.0,IT_Services
2022-02-07,87.193,88.53,86.2119,87.74,83.8902606338902,3003399,0.0000,1.0,IT_Services
2022-02-08,87.74,89.44,87.54,89.17,85.2575169902438,2786347,0.0000,1.0,IT_Services
2022-02-09,90.05,91.87,89.85,91.69,87.6669477720696,3760628,0.0000,1.0,IT_Services
2022-02-10,90.0,92.44,89.65,90.25,86.2901301824549,3886226,0.0000,1.0,IT_Services
2022-02-11,90.24,90.515,87.04,87.34,83.5078113034416,3480464,0.0000,1.0,IT_Services
2022-02-14,87.4,87.54,84.98,86.24,82.4560756447081,3006686,0.0000,1.0,IT_Services
2022-02-15,87.15,89.15,86.83,89.06,85.1523434243704,3240808,0.0000,1.0,IT_Services
2022-02-16,88.54,89.68,87.96,89.42,85.4965478217741,3161193,0.0000,1.0,IT_Services
2022-02-17,88.4,88.62,85.7499,85.92,82.408269478402,2800465,0.2700,1.0,IT_Services
2022-02-18,85.74,87.02,85.73,86.36,82.8302857559916,2553124,0.0000,1.0,IT_Services
2022-02-22,86.17,86.79,84.35,85.27,81.7848363410538,2522814,0.0000,1.0,IT_Services
2022-02-23,85.68,86.52,84.44,84.65,81.1901770408139,2943634,0.0000,1.0,IT_Services
2022-02-24,82.675,86.4,82.36,86.08,82.5617299429801,3855858,0.0000,1.0,IT_Services
2022-02-25,86.29,88.08,85.95,88.04,84.4416206340609,2892522,0.0000,1.0,IT_Services
2022-02-28,86.5,87.02,84.98,86.13,82.6096863381607,3835623,0.0000,1.0,IT_Services
2022-03-01,85.58,86.54,84.41,85.8,82.2931741299685,3327480,0.0000,1.0,IT_Services
2022-03-02,86.51,88.77,86.28,88.19,84.5854898196028,4074067,0.0000,1.0,IT_Services
2022-03-03,88.74,89.67,86.82,87.93,84.3361165646635,4163924,0.0000,1.0,IT_Services
2022-03-04,87.22,89.02,86.465,88.88,85.2472880730956,3072322,0.0000,1.0,IT_Services
2022-03-07,88.62,89.09,86.59,86.6,83.0604764528587,4496265,0.0000,1.0,IT_Services
2022-03-08,85.792,88.85,85.792,87.48,83.9045090080378,4234781,0.0000,1.0,IT_Services
2022-03-09,88.97,90.3,87.64,87.96,84.3648904017719,4135694,0.0000,1.0,IT_Services
