,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,25.39,25.54,25.15,25.26,23.6112666673203,4526779,0.0000,1.0,IT_Services
2022-01-04,25.25,25.365,24.98,25.11,23.4710572453053,8180896,0.0000,1.0,IT_Services
2022-01-05,24.84,24.92,24.25,24.3,22.7139263664245,8881438,0.0000,1.0,IT_Services
2022-01-06,24.2,24.49,23.97,24.11,22.5363277652055,11523304,0.0000,1.0,IT_Services
2022-01-07,24.215,24.365,23.97,24.2,22.6204534184145,6596482,0.0000,1.0,IT_Services
2022-01-10,24.66,24.78,24.425,24.77,23.1532492220714,10032004,0.0000,1.0,IT_Services
2022-01-11,24.88,25.06,24.655,25.02,23.3869315920963,9854938,0.0000,1.0,IT_Services
2022-01-12,26.15,26.39,25.51,25.75,24.0692841125692,15578934,0.0000,1.0,IT_Services
2022-01-13,25.74,25.78,25.465,25.6,23.9290746905542,20147536,0.0000,1.0,IT_Services
2022-01-14,25.72,26.29,25.58,26.2,24.4899123786141,11294669,0.0000,1.0,IT_Services
2022-01-18,25.71,25.77,25.415,25.51,23.8449490373452,6903258,0.0000,1.0,IT_Services
2022-01-19,24.98,25.05,24.45,24.47,22.8728303780415,13752341,0.0000,1.0,IT_Services
2022-01-20,24.33,24.38,23.66,23.68,22.1343940887626,19417533,0.0000,1.0,IT_Services
2022-01-21,23.44,23.77,23.36,23.41,21.8820171291357,13813653,0.0000,1.0,IT_Services
2022-01-24,22.88,22.97,21.97,22.94,21.4426942734888,18127950,0.0000,1.0,IT_Services
2022-01-25,22.66,22.845,22.415,22.48,21.0127187126429,9588074,0.0000,1.0,IT_Services
2022-01-26,22.72,22.84,22.17,22.39,20.9285930594339,11662784,0.0000,1.0,IT_Services
2022-01-27,22.26,22.38,21.72,21.81,20.3864499609761,17087024,0.0000,1.0,IT_Services
2022-01-28,22.15,22.7,22.05,22.66,21.1809700190609,15420151,0.0000,1.0,IT_Services
2022-01-31,23.07,23.609,23.02,23.57,22.0315738459517,5686819,0.0000,1.0,IT_Services
2022-02-01,23.51,23.63,23.235,23.52,21.9848373719467,10309713,0.0000,1.0,IT_Services
2022-02-02,23.73,23.845,23.6,23.77,22.2185197419716,9033407,0.0000,1.0,IT_Services
2022-02-03,23.08,23.255,22.73,22.76,21.2744429670708,12135006,0.0000,1.0,IT_Services
2022-02-04,22.97,23.205,22.66,22.89,21.3959577994838,18253120,0.0000,1.0,IT_Services
2022-02-07,22.68,22.905,22.41,22.47,21.0033714178419,15889860,0.0000,1.0,IT_Services
2022-02-08,22.46,22.97,22.37,22.89,21.3959577994838,21190880,0.0000,1.0,IT_Services
2022-02-09,23.17,23.46,23.1,23.41,21.8820171291357,7472787,0.0000,1.0,IT_Services
2022-02-10,23.05,23.27,22.87,22.94,21.4426942734888,10600800,0.0000,1.0,IT_Services
2022-02-11,22.72,22.77,22.21,22.27,20.816425521822,7761481,0.0000,1.0,IT_Services
2022-02-14,21.995,22.255,21.89,22.19,20.741647163414,6502876,0.0000,1.0,IT_Services
2022-02-15,22.78,22.945,22.65,22.89,21.3959577994838,9976193,0.0000,1.0,IT_Services
2022-02-16,22.52,22.85,22.49,22.84,21.3492213254788,6604984,0.0000,1.0,IT_Services
2022-02-17,22.65,22.75,22.37,22.43,20.9659822386379,8470235,0.0000,1.0,IT_Services
2022-02-18,22.53,22.75,22.31,22.51,21.0407605970459,8932789,0.0000,1.0,IT_Services
