,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,153.01,155.15,147.1388,148.5,137.767477226833,9826976,0.0000,1.0,Semiconductors
2021-01-05,148.65,152.7,148.5,152.43,141.413444805967,8507227,0.0000,1.0,Semiconductors
2021-01-06,151.53,153.87,149.47,151.19,140.263063177945,7174615,0.0000,1.0,Semiconductors
2021-01-07,152.33,156.42,152.26,155.7,144.447112486316,8482308,0.0000,1.0,Semiconductors
2021-01-08,157.23,157.53,154.54,156.64,145.319175978526,6252391,0.0000,1.0,Semiconductors
2021-01-11,156.1,158.13,154.92,156.11,144.827480605259,5148685,0.0000,1.0,Semiconductors
2021-01-12,156.64,156.87,153.96,154.45,143.2874535871,4372477,0.0000,1.0,Semiconductors
2021-01-13,155.19,157.9281,153.65,157.42,146.042803131637,5479883,0.0000,1.0,Semiconductors
2021-01-14,159.3965,163.18,158.5,160.85,149.224907151085,10102399,0.0000,1.0,Semiconductors
2021-01-15,160.77,160.86,156.88,157.09,145.736653182244,8607363,0.0000,1.0,Semiconductors
2021-01-19,158.94,164.1,158.45,163.77,151.933870339653,8208973,0.0000,1.0,Semiconductors
2021-01-20,164.72,167.94,164.44,164.6,152.703883848732,7943314,0.0000,1.0,Semiconductors
2021-01-21,165.805,166.49,163.34,164.75,152.843042916638,6306238,0.0000,1.0,Semiconductors
2021-01-22,164.0,164.2744,161.52,162.42,150.6814387285,5062340,0.0000,1.0,Semiconductors
2021-01-25,164.32,167.045,161.73,164.4,152.518338424857,5370818,0.0000,1.0,Semiconductors
2021-01-26,164.2,164.65,160.91,162.55,150.802043254018,6554240,0.0000,1.0,Semiconductors
2021-01-27,158.49,160.73,152.69,153.67,142.563826433989,9854009,0.0000,1.0,Semiconductors
2021-01-28,156.28,158.97,153.11,155.55,144.30795341841,8087365,0.0000,1.0,Semiconductors
2021-01-29,160.2465,160.635,154.75,156.28,144.985194215552,9502087,0.0000,1.0,Semiconductors
2021-02-01,157.37,162.4,156.49,161.58,149.902147948227,8265129,0.0000,1.0,Semiconductors
