,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,666.317,671.7,661.22,663.32,62.3548463615675,2259950,0.0000,1.0,Semiconductors
2022-01-04,662.875,672.1862,657.225,670.92,63.0692780572014,2110277,0.0000,1.0,Semiconductors
2022-01-05,671.21,671.21,642.01,643.0,60.4446816174515,3496111,0.0000,1.0,Semiconductors
2022-01-06,640.16,648.65,634.43,637.03,59.8834767196969,2858130,0.0000,1.0,Semiconductors
2022-01-07,635.85,639.91,618.46,619.15,58.2026821515475,2783173,0.0000,1.0,Semiconductors
2022-01-10,608.86,622.04,603.57,621.16,58.3916305342086,2979338,0.0000,1.0,Semiconductors
2022-01-11,615.54,628.0,614.57,622.05,58.4752942459342,1902738,0.0000,1.0,Semiconductors
2022-01-12,627.51,630.99,619.74,622.0,58.4705940374103,1880639,0.0000,1.0,Semiconductors
2022-01-13,627.47,627.88,594.15,597.19,56.1383505678473,3004792,0.0000,1.0,Semiconductors
2022-01-14,595.78,600.38,592.0,596.37,56.0612671480552,2566283,0.0000,1.0,Semiconductors
2022-01-18,588.32,591.04,575.99,577.79,54.3146696605712,3569452,0.0000,1.0,Semiconductors
2022-01-19,581.58,584.73,563.33,563.97,53.0155320245631,2251167,0.0000,1.0,Semiconductors
2022-01-20,568.0,570.14,546.77,547.72,51.4879642542932,2522478,0.0000,1.0,Semiconductors
2022-01-21,546.64,555.4,531.34,533.23,50.1258438240648,3801047,0.0000,1.0,Semiconductors
2022-01-24,530.89,543.51,513.4,541.58,50.9107786475573,5426724,0.0000,1.0,Semiconductors
2022-01-25,528.0,545.4,524.22,534.14,50.2113876191999,3815824,0.0000,1.0,Semiconductors
2022-01-26,552.0,574.17,550.07,557.12,52.3716034567878,4971487,0.0000,1.0,Semiconductors
2022-01-27,569.72,570.255,541.025,542.31,50.9794016920064,3420955,0.0000,1.0,Semiconductors
2022-01-28,543.36,560.5,532.39,560.1,52.6517358848127,3025363,0.0000,1.0,Semiconductors
2022-01-31,559.4,586.37,556.0,585.88,55.0751633997394,4028846,0.0000,1.0,Semiconductors
2022-02-01,585.87,593.9,575.8228,592.72,55.71815192581,2571948,0.0000,1.0,Semiconductors
2022-02-02,599.0,604.8,593.631,603.43,56.724936591631,2444338,0.0000,1.0,Semiconductors
2022-02-03,595.67,599.02,580.12,580.85,54.6023224222343,3060176,0.0000,1.0,Semiconductors
2022-02-04,576.38,596.53,576.14,590.16,55.4775012493859,2054844,0.0000,1.0,Semiconductors
2022-02-07,590.16,601.58,584.16,587.63,55.2396706980762,1867302,0.0000,1.0,Semiconductors
2022-02-08,588.38,601.85,586.99,600.22,56.4231832043961,1457174,0.0000,1.0,Semiconductors
2022-02-09,607.3527,611.72,601.56,611.34,57.4685095801132,2200361,0.0000,1.0,Semiconductors
2022-02-10,595.3,614.64,588.57,591.36,55.5903062539597,2491954,0.0000,1.0,Semiconductors
