,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-01-02,492.44,492.95,475.95,481.68,48.1600978323377,41125422,0.0000,1.0,Semiconductors
2024-01-03,474.85,481.841,473.2,475.69,47.5611961008652,32089617,0.0000,1.0,Semiconductors
2024-01-04,477.67,485.0,475.08,479.98,47.9901257215692,30653489,0.0000,1.0,Semiconductors
2024-01-05,484.62,495.47,483.0601,490.97,49.0889454258904,41080455,0.0000,1.0,Semiconductors
2024-01-08,495.12,522.75,494.79,522.53,52.2444276705104,64250990,0.0000,1.0,Semiconductors
2024-01-09,524.01,543.25,516.9,531.4,53.1312821543437,77310006,0.0000,1.0,Semiconductors
2024-01-10,536.16,546.0,534.89,543.5,54.3410836486372,53379576,0.0000,1.0,Semiconductors
2024-01-11,549.99,553.46,535.6,548.22,54.8130062150062,59675877,0.0000,1.0,Semiconductors
2024-01-12,546.2,549.7,543.3008,547.1,54.7010245890882,35299360,0.0000,1.0,Semiconductors
2024-01-16,550.18,568.3499,549.0,563.82,56.3727502902937,44957973,0.0000,1.0,Semiconductors
2024-01-17,563.47,564.7068,547.4,560.53,56.0438042641593,47439444,0.0000,1.0,Semiconductors
2024-01-18,572.6,576.0,561.07,571.07,57.0976313509241,49165036,0.0000,1.0,Semiconductors
2024-01-19,579.89,595.0,572.25,594.91,59.481240245466,54350148,0.0000,1.0,Semiconductors
2024-01-22,600.49,603.31,590.7,596.54,59.6442135046146,45295463,0.0000,1.0,Semiconductors
2024-01-23,595.7,599.1,585.85,598.73,59.8631775767223,29465445,0.0000,1.0,Semiconductors
2024-01-24,603.04,628.49,599.38,613.62,61.3519332998652,55706870,0.0000,1.0,Semiconductors
2024-01-25,623.5,627.19,608.5,616.17,61.606891466018,48277684,0.0000,1.0,Semiconductors
2024-01-26,609.6,617.83,605.73,610.31,61.0209876018395,39030859,0.0000,1.0,Semiconductors
2024-01-29,612.32,624.89,609.07,624.65,62.4547523479691,34873298,0.0000,1.0,Semiconductors
2024-01-30,629.0,634.93,622.6,627.74,62.7637016551895,41073530,0.0000,1.0,Semiconductors
2024-01-31,614.4,622.6902,607.0,615.27,61.5169062309053,45379487,0.0000,1.0,Semiconductors
2024-02-01,621.0,631.91,616.5,630.27,63.0166601494509,36914579,0.0000,1.0,Semiconductors
2024-02-02,639.74,666.0,636.9,661.6,66.1491461673199,47657765,0.0000,1.0,Semiconductors
