,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,64.69,64.7,63.17,63.75,60.200726106674,11249924,0.0000,1.0,Software
2021-01-05,63.68,63.79,62.48,62.96,59.4547092655089,11005681,0.0000,1.0,Software
2021-01-06,62.27,63.35,61.905,62.57,59.3130604981991,8685354,0.2400,1.0,Software
2021-01-07,62.85,63.74,62.85,63.07,59.7870341317151,7383087,0.0000,1.0,Software
2021-01-08,63.18,63.54,62.905,63.38,60.0808977844951,7751661,0.0000,1.0,Software
2021-01-11,62.95,63.565,62.84,63.03,59.7491162410338,6286635,0.0000,1.0,Software
2021-01-12,63.0,63.02,62.18,62.42,59.1708684081443,7741543,0.0000,1.0,Software
2021-01-13,62.32,62.59,61.965,62.06,58.8296073920127,8298324,0.0000,1.0,Software
2021-01-14,62.07,62.17,61.505,61.6,58.3935516491779,10258642,0.0000,1.0,Software
2021-01-15,61.6,61.995,61.21,61.78,58.5641821572437,7532602,0.0000,1.0,Software
2021-01-19,62.1,62.29,61.1,61.29,58.099687996398,8903369,0.0000,1.0,Software
2021-01-20,61.37,62.025,61.145,61.56,58.3556337584966,7025010,0.0000,1.0,Software
2021-01-21,61.65,61.85,60.92,61.21,58.0238522150354,6951250,0.0000,1.0,Software
2021-01-22,60.94,61.15,59.74,60.36,57.2180970380581,9897003,0.0000,1.0,Software
2021-01-25,60.38,60.945,59.77,60.9,57.7299885622554,8524722,0.0000,1.0,Software
2021-01-26,61.06,62.04,60.84,61.8,58.5831411025843,8186548,0.0000,1.0,Software
2021-01-27,61.4,63.18,61.37,62.55,59.2941015528584,14789029,0.0000,1.0,Software
2021-01-28,62.55,63.24,61.17,61.22,58.0333316877057,11166414,0.0000,1.0,Software
2021-01-29,61.16,61.5,60.205,60.43,57.2844533467504,11451806,0.0000,1.0,Software
2021-02-01,60.92,62.01,60.74,61.51,58.308236395145,10553525,0.0000,1.0,Software
2021-02-02,61.88,62.92,61.795,62.37,59.1234710447927,10505806,0.0000,1.0,Software
2021-02-03,62.18,62.75,61.98,62.17,58.9338815913862,9933501,0.0000,1.0,Software
2021-02-04,62.48,63.39,62.25,63.35,60.0524593664841,9928668,0.0000,1.0,Software
2021-02-05,63.5,64.065,63.28,63.6,60.2894461832421,9170225,0.0000,1.0,Software
2021-02-08,63.79,63.87,62.835,63.11,59.8249520223964,7003488,0.0000,1.0,Software
2021-02-09,63.08,63.845,62.91,63.67,60.3558024919344,5433736,0.0000,1.0,Software
2021-02-10,63.84,63.9,62.93,63.27,59.9766235851216,9574591,0.0000,1.0,Software
2021-02-11,63.56,63.9666,62.28,62.7,59.4362936429132,7690915,0.0000,1.0,Software
2021-02-12,62.32,63.12,62.31,63.08,59.7965136043854,6663628,0.0000,1.0,Software
2021-02-16,63.11,63.26,62.1,62.14,58.9054431733753,7526113,0.0000,1.0,Software
2021-02-17,61.83,62.15,61.36,62.09,58.8580458100237,6234513,0.0000,1.0,Software
2021-02-18,61.81,62.205,61.66,62.07,58.839086864683,6262831,0.0000,1.0,Software
2021-02-19,62.26,62.36,61.075,61.13,57.9480164336728,10905120,0.0000,1.0,Software
2021-02-22,62.85,64.9697,62.28,64.45,61.0952013602194,20834464,0.0000,1.0,Software
2021-02-23,64.42,65.22,64.05,64.5,61.142598723571,18175420,0.0000,1.0,Software
2021-02-24,64.49,65.15,64.08,64.7,61.3321881769775,10609343,0.0000,1.0,Software
2021-02-25,64.64,66.36,64.585,65.3,61.9009565371967,15294618,0.0000,1.0,Software
2021-02-26,65.54,66.28,64.5,64.51,61.1520781962414,20357528,0.0000,1.0,Software
2021-03-01,64.95,66.73,64.77,66.17,62.7256706595147,11758868,0.0000,1.0,Software
2021-03-02,66.15,67.42,66.0,66.66,63.1901648203604,13282034,0.0000,1.0,Software
2021-03-03,66.25,67.54,66.2,66.91,63.4271516371184,15827615,0.0000,1.0,Software
2021-03-04,66.675,67.31,65.31,65.61,62.1948201899767,19951123,0.0000,1.0,Software
2021-03-05,67.3101,71.72,67.3101,69.97,66.3278702742367,34211451,0.0000,1.0,Software
