,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2022-01-03,640.03,645.61,621.28,631.47,620.410628616426,1360704,0.0000,1.0,Software
2022-01-04,631.47,631.47,606.13,618.32,607.490933672398,1998921,0.0000,1.0,Software
2022-01-05,609.43,614.69,593.175,593.7,583.302120780991,2296013,0.0000,1.0,Software
2022-01-06,586.8,595.845,580.21,586.39,576.120145872941,1789057,0.0000,1.0,Software
2022-01-07,586.44,588.99,563.77,567.56,558.288019391259,2275300,0.6800,1.0,Software
2022-01-10,553.52,570.89,543.855,570.19,560.875054226341,2956743,0.0000,1.0,Software
2022-01-11,566.2,579.61,558.52,578.72,569.265703330237,1678493,0.0000,1.0,Software
2022-01-12,584.8064,589.57,575.8,577.26,567.829554714564,1433704,0.0000,1.0,Software
2022-01-13,580.89,582.53,551.7,552.92,543.887186697115,1633371,0.0000,1.0,Software
2022-01-14,551.33,557.34,543.4,550.79,541.79198357973,1722603,0.0000,1.0,Software
2022-01-18,539.32,548.895,536.105,537.82,529.033868822692,1869523,0.0000,1.0,Software
2022-01-19,542.11,558.5699,540.81,545.35,536.440854491196,1782337,0.0000,1.0,Software
2022-01-20,552.1,566.48,543.77,544.62,535.722780183359,1923993,0.0000,1.0,Software
2022-01-21,546.99,552.76,527.82,528.55,519.915308776605,2574858,0.0000,1.0,Software
2022-01-24,526.0,535.73,500.36,534.68,525.94516563556,2850271,0.0000,1.0,Software
2022-01-25,516.91,528.85,509.02,515.99,507.560496028077,2418222,0.0000,1.0,Software
2022-01-26,532.04,536.85,499.75,507.48,499.189520192889,2503085,0.0000,1.0,Software
2022-01-27,516.4146,525.995,513.2901,517.22,508.77040205361,2486193,0.0000,1.0,Software
2022-01-28,520.16,536.23,506.17,534.82,526.082878516515,1760655,0.0000,1.0,Software
2022-01-31,535.85,556.64,532.04,555.23,546.159449232872,2209442,0.0000,1.0,Software
2022-02-01,556.4,561.85,548.19,560.83,551.667964471069,1706306,0.0000,1.0,Software
2022-02-02,562.7551,564.87,554.4,562.3,553.113949721095,1245498,0.0000,1.0,Software
2022-02-03,543.87,552.77,533.58,535.59,526.840299361767,1372588,0.0000,1.0,Software
2022-02-04,531.03,550.28,531.03,544.02,535.132582122124,1504542,0.0000,1.0,Software
2022-02-07,544.4,555.9,542.5,545.28,536.371998050718,1411634,0.0000,1.0,Software
2022-02-08,539.28,556.4014,538.41,554.23,545.175785797479,915575,0.0000,1.0,Software
2022-02-09,566.1,579.96,565.0,579.4,569.934594466304,1670914,0.0000,1.0,Software
2022-02-10,562.62,575.91,552.33,557.58,548.471058306044,1594277,0.0000,1.0,Software
2022-02-11,559.8,561.7,532.671,535.81,527.056705317553,1250525,0.0000,1.0,Software
2022-02-14,536.14,538.32,524.15,529.05,520.407140494301,1165436,0.0000,1.0,Software
