,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-01-02,260.54,260.56,253.77,256.13,255.389490285712,4741418,0.0000,1.0,Software
2024-01-03,253.5,254.16,251.77,251.84,251.111893310248,5097120,0.0000,1.0,Software
2024-01-04,251.83,252.64,249.84,251.24,250.513627998994,4489773,0.0000,1.0,Software
2024-01-05,251.21,253.91,250.17,251.12,250.393974936744,3575807,0.0000,1.0,Software
2024-01-08,252.21,261.56,251.39,260.87,260.115786244617,6626012,0.0000,1.0,Software
2024-01-09,259.5,263.93,258.78,261.34,260.584427405099,4571839,0.0000,1.0,Software
2024-01-10,263.27,266.46,262.75,264.13,263.366361102429,5128300,0.0000,1.0,Software
2024-01-11,268.0,272.96,265.1,271.38,270.595400280079,9012600,0.0000,1.0,Software
2024-01-12,271.23,275.24,271.06,271.93,271.143810148728,4847604,0.0000,1.0,Software
2024-01-16,269.7,271.565,267.72,269.19,268.411731894003,5858670,0.0000,1.0,Software
2024-01-17,268.29,271.9,264.13,271.44,270.655226811204,4706498,0.0000,1.0,Software
2024-01-18,273.0,275.69,272.14,274.46,273.666495544515,4752437,0.0000,1.0,Software
2024-01-19,276.51,282.0,275.5279,280.88,280.06793437493,7413577,0.0000,1.0,Software
2024-01-22,283.79,285.72,280.17,280.3,279.489611240718,6735912,0.0000,1.0,Software
2024-01-23,280.83,281.71,275.71,276.77,275.969816992842,6573810,0.0000,1.0,Software
2024-01-24,279.98,280.96,276.69,276.88,276.079498966572,7025634,0.0000,1.0,Software
2024-01-25,278.61,279.8528,276.86,279.03,278.223282998565,4178020,0.0000,1.0,Software
2024-01-26,279.28,283.34,278.685,279.94,279.130652053966,4877365,0.0000,1.0,Software
2024-01-29,281.4,288.15,281.0,287.86,287.027754162516,5762263,0.0000,1.0,Software
2024-01-30,287.63,289.29,286.5157,287.73,286.898130011744,4810928,0.0000,1.0,Software
2024-01-31,284.05,285.63,280.82,281.09,280.277327233869,4557283,0.0000,1.0,Software
2024-02-01,282.01,285.05,281.36,283.8,282.979492223032,3218346,0.0000,1.0,Software
2024-02-02,285.2,288.16,283.16,285.66,284.834114687919,3629843,0.0000,1.0,Software
2024-02-05,286.25,289.05,281.36,288.11,287.277031375538,5274790,0.0000,1.0,Software
2024-02-06,287.94,288.64,281.91,285.83,285.003623192774,4207846,0.0000,1.0,Software
2024-02-07,287.35,289.8,285.2,288.84,288.004920837564,3621376,0.0000,1.0,Software
2024-02-08,289.3,293.11,288.98,291.95,291.105929367562,4488432,0.0000,1.0,Software
2024-02-09,293.25,295.24,291.05,291.3,290.457808613704,4376347,0.0000,1.0,Software
2024-02-12,290.82,291.0,287.0,287.32,286.489315382387,3750035,0.0000,1.0,Software
2024-02-13,280.41,283.4299,276.4223,281.15,280.337153764995,4956553,0.0000,1.0,Software
2024-02-14,285.0,289.46,284.64,289.15,288.314024581711,3850721,0.0000,1.0,Software
