,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2024-01-02,373.86,375.9,366.771,370.87,368.879790350582,25258633,0.0000,1.0,Software
2024-01-03,369.01,373.2562,368.51,370.6,368.611239258839,23083465,0.0000,1.0,Software
2024-01-04,370.665,373.1,367.17,367.94,365.965513688335,20901502,0.0000,1.0,Software
2024-01-05,368.97,372.06,366.5,367.75,365.776533290442,20074451,0.0000,1.0,Software
2024-01-08,369.3,375.2,369.01,374.69,372.679290981906,23133967,0.0000,1.0,Software
2024-01-09,372.01,375.99,371.19,375.79,373.773388022339,20829953,0.0000,1.0,Software
2024-01-10,376.37,384.17,376.32,382.77,380.715931060728,25514245,0.0000,1.0,Software
2024-01-11,386.0,390.68,380.38,384.63,382.565949692734,27850846,0.0000,1.0,Software
2024-01-12,385.49,388.68,384.65,388.47,386.38534299752,21661153,0.0000,1.0,Software
2024-01-16,393.66,394.03,387.6229,390.27,388.175683609139,27202268,0.0000,1.0,Software
2024-01-17,387.98,390.11,384.81,389.47,387.379976670642,22234108,0.0000,1.0,Software
2024-01-18,391.72,393.99,390.12,393.87,391.756364832377,23392068,0.0000,1.0,Software
2024-01-19,395.76,398.67,393.5,398.67,396.53060646336,29331136,0.0000,1.0,Software
2024-01-22,400.02,400.62,393.59,396.51,394.382197729417,27016902,0.0000,1.0,Software
2024-01-23,395.75,399.38,393.93,398.9,396.759372208178,20525882,0.0000,1.0,Software
2024-01-24,401.54,405.63,400.45,402.56,400.399731451803,23281889,0.0000,1.0,Software
2024-01-25,404.32,407.01,402.5294,404.87,402.697335236714,21021155,0.0000,1.0,Software
2024-01-26,404.37,406.17,402.43,403.93,401.762379583979,17803271,0.0000,1.0,Software
2024-01-29,406.06,409.98,404.33,409.72,407.521308551353,24510236,0.0000,1.0,Software
2024-01-30,412.26,413.05,406.4501,408.59,406.397372500726,33477610,0.0000,1.0,Software
2024-01-31,406.96,415.32,397.21,397.58,395.446455759658,47871097,0.0000,1.0,Software
2024-02-01,401.83,408.0,401.8,403.78,401.613184533011,30657726,0.0000,1.0,Software
2024-02-02,403.81,412.65,403.56,411.22,409.013259061035,28256670,0.0000,1.0,Software
2024-02-05,409.9,411.16,403.99,405.65,403.473149501748,25352286,0.0000,1.0,Software
2024-02-06,405.88,407.97,402.91,405.49,403.314008114049,18382624,0.0000,1.0,Software
2024-02-07,407.44,414.3,407.4,414.05,411.828072355969,22340526,0.0000,1.0,Software
2024-02-08,414.05,415.56,412.53,414.11,411.887750376356,21225257,0.0000,1.0,Software
2024-02-09,415.25,420.82,415.09,420.55,418.293191231259,22032844,0.0000,1.0,Software
2024-02-12,420.555,420.74,414.75,415.26,413.031579100446,21202921,0.0000,1.0,Software
2024-02-13,404.94,410.071,403.39,406.32,404.13955406274,27824936,0.0000,1.0,Software
2024-02-14,408.07,409.84,404.57,409.49,408.038518061376,20401190,0.7500,1.0,Software
2024-02-15,408.14,409.13,404.29,406.56,405.118903765741,21825525,0.0000,1.0,Software
2024-02-16,407.96,408.29,403.44,404.06,402.627765288236,22296495,0.0000,1.0,Software
2024-02-20,403.24,404.49,398.01,402.79,401.362266941663,24307915,0.0000,1.0,Software
2024-02-21,400.17,402.29,397.22,402.18,400.754429153152,18631072,0.0000,1.0,Software
2024-02-22,410.19,412.83,408.57,411.65,410.19086170594,27009869,0.0000,1.0,Software
2024-02-23,415.67,415.86,408.97,410.34,408.885505143728,16295879,0.0000,1.0,Software
2024-02-26,411.455,412.16,407.36,407.54,406.095430048922,16193505,0.0000,1.0,Software
2024-02-27,407.99,408.32,403.85,407.48,406.035642725462,14835827,0.0000,1.0,Software
2024-02-28,408.175,409.3,405.3201,407.72,406.274792019303,13183125,0.0000,1.0,Software
2024-02-29,408.64,414.2,405.92,413.64,412.173807934034,31947263,0.0000,1.0,Software
2024-03-01,411.27,415.87,410.88,415.5,414.027214961298,17823445,0.0000,1.0,Software
2024-03-04,413.44,417.35,412.32,414.92,413.449270834517,17595956,0.0000,1.0,Software
2024-03-05,413.96,414.25,400.64,402.65,401.222763186923,26919177,0.0000,1.0,Software
2024-03-06,402.97,405.16,398.39,402.09,400.664748167962,22344149,0.0000,1.0,Software
2024-03-07,406.12,409.78,402.24,409.14,407.689758674525,18718479,0.0000,1.0,Software
2024-03-08,407.96,410.42,404.33,406.22,404.7801089328,18002186,0.0000,1.0,Software
2024-03-11,403.76,405.68,401.26,404.52,403.086134768097,15998511,0.0000,1.0,Software
2024-03-12,407.62,415.57,406.79,415.28,413.807994775277,21563656,0.0000,1.0,Software
2024-03-13,418.1,418.18,411.45,415.1,413.628632804897,16990048,0.0000,1.0,Software
2024-03-14,420.24,427.82,417.99,425.22,423.712761361836,33955263,0.0000,1.0,Software
2024-03-15,419.29,422.6,412.79,416.42,414.943953921019,45079903,0.0000,1.0,Software
2024-03-18,414.25,420.73,413.78,417.32,415.840763772921,20105977,0.0000,1.0,Software
2024-03-19,417.83,421.6656,415.55,421.41,419.916266322119,19837915,0.0000,1.0,Software
2024-03-20,422.0,425.96,420.66,425.23,423.722725915746,17860085,0.0000,1.0,Software
2024-03-21,429.83,430.82,427.16,429.37,427.848051234494,21296222,0.0000,1.0,Software
2024-03-22,429.7,429.86,426.07,428.74,427.220284338163,17648473,0.0000,1.0,Software
2024-03-25,425.24,427.41,421.61,422.86,421.361126639072,18060450,0.0000,1.0,Software
2024-03-26,425.61,425.99,421.35,421.65,420.155415615959,16725647,0.0000,1.0,Software
2024-03-27,424.44,424.45,419.01,421.43,419.936195429939,16704978,0.0000,1.0,Software
2024-03-28,420.96,421.87,419.12,420.72,419.228712102328,21871161,0.0000,1.0,Software
2024-04-01,423.95,427.89,422.22,424.57,423.065065357685,15602611,0.0000,1.0,Software
2024-04-02,420.11,422.38,417.84,421.44,419.946159983849,17861855,0.0000,1.0,Software
2024-04-03,419.73,423.26,419.085,420.45,418.959669146757,16462007,0.0000,1.0,Software
2024-04-04,424.99,428.67,417.57,417.88,416.398778791882,19290884,0.0000,1.0,Software
2024-04-05,420.01,426.51,418.32,425.52,424.011697979137,16526878,0.0000,1.0,Software
2024-04-08,425.17,427.28,423.3,424.59,423.084994465505,14248192,0.0000,1.0,Software
2024-04-09,426.44,427.74,421.62,426.28,424.769004076298,12468710,0.0000,1.0,Software
2024-04-10,422.19,424.03,419.7,423.26,421.759708795473,16216581,0.0000,1.0,Software
2024-04-11,425.82,429.37,422.36,427.93,426.413155471452,17966423,0.0000,1.0,Software
2024-04-12,424.05,425.1794,419.77,421.9,420.40452946371,19253750,0.0000,1.0,Software
2024-04-15,426.6,426.82,413.43,413.64,412.173807934034,20273538,0.0000,1.0,Software
2024-04-16,414.57,418.4,413.7301,414.58,413.110476001576,16765616,0.0000,1.0,Software
2024-04-17,417.25,418.88,410.33,411.84,410.380188230231,15855485,0.0000,1.0,Software
