,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2020-01-02,20.68,20.83,20.65,20.79,17.9572972467305,7194662,0.0000,1.0,Technology_Hardware
2020-01-03,20.48,20.68,20.45,20.53,17.7327230627887,5421811,0.0000,1.0,Technology_Hardware
2020-01-06,20.66,20.79,20.51,20.61,17.8018228116939,9302665,0.0000,1.0,Technology_Hardware
2020-01-07,20.56,20.78,20.51,20.66,17.8450101547596,6537188,0.0000,1.0,Technology_Hardware
2020-01-08,20.53,20.99,20.53,20.93,18.0782218073145,7780118,0.0000,1.0,Technology_Hardware
2020-01-09,21.0,21.26,20.97,21.24,18.3459833343221,9378670,0.0000,1.0,Technology_Hardware
2020-01-10,21.26,21.54,21.26,21.38,18.4669078949061,10012086,0.0000,1.0,Technology_Hardware
2020-01-13,21.46,21.55,21.34,21.46,18.5360076438113,7157660,0.0000,1.0,Technology_Hardware
2020-01-14,21.51,21.54,21.26,21.4,18.4841828321324,11997658,0.0000,1.0,Technology_Hardware
2020-01-15,21.35,21.61,21.31,21.42,18.5014577693587,13958135,0.0000,1.0,Technology_Hardware
2020-01-16,21.41,21.67,21.29,21.67,18.7173944846873,7860847,0.0000,1.0,Technology_Hardware
2020-01-17,21.63,21.98,21.53,21.97,18.9765185430817,13467812,0.0000,1.0,Technology_Hardware
2020-01-21,21.92,21.97,21.77,21.96,18.9678810744686,10312167,0.0000,1.0,Technology_Hardware
2020-01-22,21.96,21.96,21.53,21.93,18.9419686686291,9774272,0.0000,1.0,Technology_Hardware
2020-01-23,21.94,22.17,21.87,22.1,19.0888056350526,10814503,0.0000,1.0,Technology_Hardware
2020-01-24,22.18,22.2,21.8,21.98,18.9851560116949,10299864,0.0000,1.0,Technology_Hardware
2020-01-27,21.63,21.79,21.49,21.58,18.639657267169,10554429,0.0000,1.0,Technology_Hardware
2020-01-28,21.75,21.91,21.58,21.64,18.6914820788479,8610879,0.0000,1.0,Technology_Hardware
2020-01-29,21.75,21.8,21.4,21.43,18.5100952379718,8548038,0.0000,1.0,Technology_Hardware
2020-01-30,21.28,21.61,21.2,21.53,18.5964699241033,8308289,0.0000,1.0,Technology_Hardware
2020-01-31,21.45,21.53,21.16,21.32,18.4150830832272,11419323,0.0000,1.0,Technology_Hardware
2020-02-03,21.4,21.7,21.24,21.3,18.3978081460009,8202928,0.0000,1.0,Technology_Hardware
2020-02-04,21.66,21.74,21.42,21.55,18.6137448613296,10183088,0.0000,1.0,Technology_Hardware
