,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,73.89,73.89,71.69,72.49,34.4299645957538,3511241,0.0000,1.0,Technology_Hardware
2021-01-05,71.9,73.98,71.5,73.46,34.890677323825,2053537,0.0000,1.0,Technology_Hardware
2021-01-06,73.32,75.23,72.905,74.07,35.180403884777,2613184,0.0000,1.0,Technology_Hardware
2021-01-07,75.0,76.35,74.53,76.34,36.2585666607786,2302356,0.0000,1.0,Technology_Hardware
2021-01-08,76.6,77.41,75.75,77.22,36.67653284707,2688369,0.0000,1.0,Technology_Hardware
2021-01-11,76.27,76.84,75.63,75.63,35.9213439422935,1488872,0.0000,1.0,Technology_Hardware
2021-01-12,75.86,76.76,75.585,76.75,36.4533009066644,1382378,0.0000,1.0,Technology_Hardware
2021-01-13,74.75,74.98,70.18,71.23,33.8315130108365,7652823,0.0000,1.0,Technology_Hardware
2021-01-14,71.3,73.85,71.26,73.25,34.7909353930054,4386783,0.0000,1.0,Technology_Hardware
2021-01-15,73.15,74.9,72.8709,74.26,35.2706465840899,3309443,0.0000,1.0,Technology_Hardware
2021-01-19,74.57,75.03,74.3,74.86,35.5556235292886,2482662,0.0000,1.0,Technology_Hardware
2021-01-20,75.94,77.18,74.92,77.05,36.5957893792637,3526956,0.0000,1.0,Technology_Hardware
2021-01-21,77.56,77.72,75.9,76.9,36.5245451429641,2418662,0.0000,1.0,Technology_Hardware
2021-01-22,75.81,76.18,75.03,75.94,36.0685820306462,1140098,0.0000,1.0,Technology_Hardware
2021-01-25,76.34,76.375,73.51,75.68,35.9450920210601,1361614,0.0000,1.0,Technology_Hardware
2021-01-26,76.0,76.49,74.95,76.04,36.1160781881793,1277455,0.0000,1.0,Technology_Hardware
2021-01-27,74.61,75.74,73.21,73.86,35.0806619539574,2857668,0.0000,1.0,Technology_Hardware
2021-01-28,73.84,75.19,72.88,73.92,35.1091596484773,2649815,0.0000,1.0,Technology_Hardware
2021-01-29,73.44,74.58,72.37,72.89,34.6199492258862,1885844,0.0000,1.0,Technology_Hardware
2021-02-01,73.65,74.72,72.7,73.95,35.1234084957372,1637802,0.0000,1.0,Technology_Hardware
2021-02-02,76.98,77.73,76.42,77.17,36.6527847683035,3960975,0.0000,1.0,Technology_Hardware
2021-02-03,76.75,78.33,76.75,77.75,36.9282624819955,1379549,0.0000,1.0,Technology_Hardware
2021-02-04,78.17,79.34,78.0477,79.31,37.6692025395121,1492027,0.0000,1.0,Technology_Hardware
2021-02-05,79.5,80.08,79.19,79.61,37.8116910121114,1792215,0.0000,1.0,Technology_Hardware
2021-02-08,80.0,80.71,79.5,79.94,37.9684283319707,5005635,0.0000,1.0,Technology_Hardware
2021-02-09,79.3,79.93,78.8,79.59,37.8021917806048,4281804,0.0000,1.0,Technology_Hardware
2021-02-10,79.83,80.0,78.42,79.58,37.7974421648515,1965260,0.0000,1.0,Technology_Hardware
2021-02-11,79.84,80.12,77.851,79.5,37.759445238825,1559584,0.0000,1.0,Technology_Hardware
2021-02-12,79.54,80.06,78.85,80.05,38.0206741052571,1772625,0.0000,1.0,Technology_Hardware
2021-02-16,80.77,80.91,78.47,79.44,37.7309475443051,3127714,0.0000,1.0,Technology_Hardware
2021-02-17,78.84,79.97,78.605,79.26,37.6454544607455,1793360,0.0000,1.0,Technology_Hardware
2021-02-18,78.72,80.53,78.17,79.69,37.8496879381379,1534294,0.0000,1.0,Technology_Hardware
2021-02-19,80.66,81.32,80.04,80.77,38.3626464394955,1657406,0.0000,1.0,Technology_Hardware
2021-02-22,80.67,81.98,79.54,80.77,38.3626464394955,2911483,0.0000,1.0,Technology_Hardware
2021-02-23,80.0,80.875,77.031,80.56,38.262904508676,2556837,0.0000,1.0,Technology_Hardware
2021-02-24,80.79,81.92,80.41,81.69,38.7996110888002,2012021,0.0000,1.0,Technology_Hardware
2021-02-25,81.0,81.6,78.97,79.68,37.8449383223846,2803617,0.0000,1.0,Technology_Hardware
2021-02-26,80.68,83.19,80.0,81.07,38.5051349120949,3518879,0.0000,1.0,Technology_Hardware
2021-03-01,81.08,83.44,81.08,83.09,39.4645572942638,2342773,0.0000,1.0,Technology_Hardware
2021-03-02,83.0,83.57,82.14,82.71,39.2840718956379,1488700,0.0000,1.0,Technology_Hardware
2021-03-03,83.08,84.17,82.54,83.6,39.7067876976826,2964530,0.0000,1.0,Technology_Hardware
2021-03-04,83.42,84.4,81.44,82.8,39.3268184374177,2748458,0.0000,1.0,Technology_Hardware
2021-03-05,83.87,85.69,83.37,85.35,40.5379704545121,3512748,0.0000,1.0,Technology_Hardware
2021-03-08,85.92,86.69,84.94,85.11,40.4239796764327,3489641,0.0000,1.0,Technology_Hardware
2021-03-09,86.09,87.86,86.0,86.49,41.0794266503896,2189061,0.0000,1.0,Technology_Hardware
2021-03-10,86.93,88.11,86.75,87.68,41.6446309250337,2234609,0.0000,1.0,Technology_Hardware
2021-03-11,88.0,89.47,88.0,88.62,42.0910948058449,3774586,0.0000,1.0,Technology_Hardware
2021-03-12,88.52,88.84,87.66,88.82,42.1860871209112,1448611,0.0000,1.0,Technology_Hardware
2021-03-15,88.74,89.32,88.22,89.3,42.4140686770701,2861915,0.0000,1.0,Technology_Hardware
2021-03-16,89.5,89.79,88.26,89.08,42.3095771304973,2980427,0.0000,1.0,Technology_Hardware
2021-03-17,88.78,91.5101,88.13,91.28,43.3544925962257,3123407,0.0000,1.0,Technology_Hardware
2021-03-18,90.46,90.46,88.05,88.11,41.8488644024261,3143336,0.0000,1.0,Technology_Hardware
2021-03-19,87.72,88.76,87.55,87.63,41.6208828462671,3949227,0.0000,1.0,Technology_Hardware
2021-03-22,87.43,88.28,86.93,87.35,41.4878936051744,3148938,0.0000,1.0,Technology_Hardware
2021-03-23,87.08,87.945,84.805,85.75,40.7279550846446,2661326,0.0000,1.0,Technology_Hardware
2021-03-24,86.33,87.4,85.84,86.35,41.0129320298433,2760385,0.0000,1.0,Technology_Hardware
2021-03-25,85.16,86.9,84.9,85.99,40.8419458627241,1731901,0.0000,1.0,Technology_Hardware
2021-03-26,86.67,89.0,86.21,88.99,42.2668305887175,2619937,0.0000,1.0,Technology_Hardware
2021-03-29,88.67,89.63,87.77,88.21,41.8963605599592,2075320,0.0000,1.0,Technology_Hardware
2021-03-30,87.68,89.05,87.61,88.59,42.076845958585,2332021,0.0000,1.0,Technology_Hardware
2021-03-31,88.65,89.0,87.94,88.15,41.8678628654393,1641903,0.0000,1.0,Technology_Hardware
2021-04-01,88.28,89.33,88.09,89.08,42.3095771304973,1929029,0.0000,1.0,Technology_Hardware
2021-04-05,89.24,89.82,88.95,89.36,42.44256637159,2544237,0.0000,1.0,Technology_Hardware
2021-04-06,89.43,89.97,89.0,89.48,42.4995617606297,2505607,0.0000,1.0,Technology_Hardware
2021-04-07,89.62,92.41,89.62,91.51,43.4637337585519,2845522,0.0000,1.0,Technology_Hardware
2021-04-08,92.3,92.88,90.585,92.58,43.9719426441562,3529269,0.0000,1.0,Technology_Hardware
2021-04-09,92.3,94.01,92.14,93.88,44.5893926920867,2044825,0.0000,1.0,Technology_Hardware
