,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2021-01-04,54.95,55.32,52.04,52.23,52.23,7498225,0.0000,1.0,Technology_Hardware
2021-01-05,52.66,54.01,52.65,53.06,53.06,3869985,0.0000,1.0,Technology_Hardware
2021-01-06,53.045,54.6,52.64,53.41,53.41,4521080,0.0000,1.0,Technology_Hardware
2021-01-07,54.0965,55.39,53.91,54.74,54.74,4404521,0.0000,1.0,Technology_Hardware
2021-01-08,55.39,55.45,51.27,51.82,51.82,7544368,0.0000,1.0,Technology_Hardware
2021-01-11,50.85,52.1951,50.61,51.56,51.56,3540138,0.0000,1.0,Technology_Hardware
2021-01-12,51.49,51.73,49.75,49.9,49.9,4909360,0.0000,1.0,Technology_Hardware
2021-01-13,49.49,49.75,48.62,49.47,49.47,6435153,0.0000,1.0,Technology_Hardware
2021-01-14,49.56,51.13,48.94,50.37,50.37,4606717,0.0000,1.0,Technology_Hardware
2021-01-15,50.19,52.12,49.98,51.21,51.21,5866794,0.0000,1.0,Technology_Hardware
2021-01-19,51.48,52.16,50.7,51.99,51.99,3607320,0.0000,1.0,Technology_Hardware
2021-01-20,52.58,52.92,51.3762,51.82,51.82,2937487,0.0000,1.0,Technology_Hardware
2021-01-21,51.87,53.8398,51.83,53.51,53.51,4356402,0.0000,1.0,Technology_Hardware
2021-01-22,52.08,52.36,50.16,50.71,50.71,5237347,0.0000,1.0,Technology_Hardware
2021-01-25,50.7,51.36,50.1701,51.28,51.28,3260978,0.0000,1.0,Technology_Hardware
2021-01-26,51.79,52.6,51.485,52.06,52.06,3656701,0.0000,1.0,Technology_Hardware
2021-01-27,51.0,55.44,50.78,53.19,53.19,8690161,0.0000,1.0,Technology_Hardware
2021-01-28,53.55,53.88,52.074,52.65,52.65,6740324,0.0000,1.0,Technology_Hardware
2021-01-29,58.66,60.68,55.12,56.43,56.43,15496407,0.0000,1.0,Technology_Hardware
2021-02-01,56.99,57.96,56.43,57.59,57.59,4600306,0.0000,1.0,Technology_Hardware
