,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index
2023-01-03,130.28,130.9,124.17,125.07,123.908414502467,112117471,0.0000,1.0,Technology_Hardware
2023-01-04,126.89,128.6557,125.08,126.36,125.18643364941,89113633,0.0000,1.0,Technology_Hardware
2023-01-05,127.13,127.77,124.76,125.02,123.858878876617,80962708,0.0000,1.0,Technology_Hardware
2023-01-06,126.01,130.29,124.89,129.62,128.416156454864,87754715,0.0000,1.0,Technology_Hardware
2023-01-09,130.465,133.41,129.89,130.15,128.941234088879,70790813,0.0000,1.0,Technology_Hardware
2023-01-10,130.26,131.2636,128.12,130.73,129.515847348745,63896155,0.0000,1.0,Technology_Hardware
2023-01-11,131.25,133.51,130.46,133.49,132.250213895693,69458949,0.0000,1.0,Technology_Hardware
2023-01-12,133.88,134.26,131.44,133.41,132.170956894332,71379648,0.0000,1.0,Technology_Hardware
2023-01-13,132.03,134.92,131.66,134.76,133.508418792296,57809719,0.0000,1.0,Technology_Hardware
2023-01-17,134.83,137.29,134.13,135.94,134.677459562368,63646627,0.0000,1.0,Technology_Hardware
2023-01-18,136.815,138.61,135.03,135.21,133.954239424951,69672800,0.0000,1.0,Technology_Hardware
2023-01-19,134.08,136.25,133.77,135.27,134.013682175971,58280413,0.0000,1.0,Technology_Hardware
2023-01-20,135.28,138.02,134.22,137.87,136.589534720198,80223626,0.0000,1.0,Technology_Hardware
2023-01-23,138.12,143.315,137.9,141.11,139.799443275311,81760313,0.0000,1.0,Technology_Hardware
2023-01-24,140.305,143.16,140.3,142.53,141.206255049465,66435142,0.0000,1.0,Technology_Hardware
2023-01-25,140.89,142.43,138.81,141.86,140.542477663068,65799349,0.0000,1.0,Technology_Hardware
2023-01-26,143.17,144.25,141.9,143.96,142.62297394879,54105068,0.0000,1.0,Technology_Hardware
2023-01-27,143.155,147.23,143.08,145.93,144.5746776073,70555843,0.0000,1.0,Technology_Hardware
2023-01-30,144.955,145.55,142.85,143.0,141.67188993246,64015274,0.0000,1.0,Technology_Hardware
2023-01-31,142.7,144.34,142.28,144.29,142.949909079403,65874459,0.0000,1.0,Technology_Hardware
