,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2020-01-02,296.24,300.6,295.19,300.35,72.8774802487163,33911864,0.0000,1.0
2020-01-03,297.15,300.58,296.5,297.43,72.1689660408713,36633878,0.0000,1.0
2020-01-06,293.79,299.96,292.75,299.8,72.7440272301154,29644644,0.0000,1.0
2020-01-07,299.84,300.9,297.48,298.39,72.401902218793,27877655,0.0000,1.0
2020-01-08,297.16,304.44,297.16,303.19,73.5665831084012,33090946,0.0000,1.0
2020-01-09,307.24,310.43,306.2,309.63,75.1291966352923,42621542,0.0000,1.0
2020-01-10,310.6,312.67,308.25,310.33,75.2990459316935,35217272,0.0000,1.0
2020-01-13,311.64,317.07,311.15,316.96,76.9077614104649,30028742,0.0000,1.0
2020-01-14,316.7,317.57,312.17,312.68,75.8692542838975,40653457,0.0000,1.0
2020-01-15,311.85,315.5,309.55,311.34,75.5441142022152,30480882,0.0000,1.0
2020-01-16,313.59,315.7,312.09,315.24,76.4904174250219,27207254,0.0000,1.0
2020-01-17,316.27,318.74,315.0,318.73,77.3372374885079,34454117,0.0000,1.0
2020-01-21,317.19,319.02,316.0,316.57,76.8131310881842,27235039,0.0000,1.0
2020-01-22,318.58,319.99,317.31,317.7,77.0873163809461,25458115,0.0000,1.0
2020-01-23,317.92,319.56,315.65,319.23,77.4585584145088,26117993,0.0000,1.0
2020-01-24,320.25,323.33,317.52,318.31,77.2353279106672,36634380,0.0000,1.0
2020-01-27,310.06,311.77,304.88,308.95,74.9642001759311,40485005,0.0000,1.0
2020-01-28,312.6,318.4,312.19,317.69,77.0848899624261,40558486,0.0000,1.0
2020-01-29,324.45,327.85,321.38,324.34,78.6984582782376,54149928,0.0000,1.0
2020-01-30,320.54,324.09,318.75,323.87,78.5844166077968,31685808,0.0000,1.0
2020-01-31,320.93,322.68,308.29,309.51,75.1000796130521,49897096,0.0000,1.0
2020-02-03,304.3,313.49,302.22,308.66,74.8938340388506,43496401,0.0000,1.0
2020-02-04,315.31,319.64,313.63,318.85,77.3663545107481,34154134,0.0000,1.0
2020-02-05,323.52,324.76,318.95,321.45,77.9972233259526,29706718,0.0000,1.0
2020-02-06,322.57,325.22,320.26,325.21,78.9095566894791,26356385,0.0000,1.0
2020-02-07,322.37,323.4,318.0,320.03,77.8395061221515,29421012,0.7700,1.0
2020-02-10,314.18,321.55,313.85,321.55,78.209209116576,27337215,0.0000,1.0
2020-02-11,323.6,323.9,318.71,319.61,77.7373513473763,23580780,0.0000,1.0
2020-02-12,321.47,327.22,321.47,327.2,79.5834340629565,28432573,0.0000,1.0
2020-02-13,324.19,326.22,323.35,324.87,79.0167182886084,23686892,0.0000,1.0
2020-02-14,324.74,325.98,322.85,324.95,79.0361763409465,20028447,0.0000,1.0
2020-02-18,315.36,319.75,314.61,319.0,77.588983698298,38190545,0.0000,1.0
2020-02-19,320.0,324.57,320.0,323.62,78.7126862208251,23495991,0.0000,1.0
2020-02-20,322.63,324.65,318.21,320.3,77.9051770487927,25141489,0.0000,1.0
2020-02-21,318.62,320.45,310.5,313.05,76.1417910556495,32426415,0.0000,1.0
2020-02-24,297.26,304.18,289.23,298.18,72.5250255772994,55548828,0.0000,1.0
2020-02-25,300.95,302.53,286.13,288.08,70.0684464696103,57668364,0.0000,1.0
2020-02-26,286.53,297.88,286.5,292.65,71.1799877094261,49678431,0.0000,1.0
2020-02-27,281.1,286.0,272.96,273.52,66.5270809440705,80151381,0.0000,1.0
2020-02-28,257.26,278.41,256.37,273.36,66.4881648393942,106721230,0.0000,1.0
2020-03-02,282.28,301.44,277.72,298.81,72.6782577394622,85349339,0.0000,1.0
2020-03-03,303.67,304.0,285.8,289.32,70.3700462808514,79868852,0.0000,1.0
2020-03-04,296.44,303.4,293.13,302.74,73.6341345605729,54794568,0.0000,1.0
2020-03-05,295.52,299.55,291.41,292.92,71.2456586360673,46893219,0.0000,1.0
2020-03-06,282.0,290.82,281.23,289.03,70.2995108411256,56544246,0.0000,1.0
2020-03-09,263.75,278.09,263.0,266.17,64.7393723855047,71686208,0.0000,1.0
2020-03-10,277.14,286.44,269.37,285.34,69.4020081770293,71322520,0.0000,1.0
2020-03-11,277.39,281.22,271.86,275.43,66.9916419436433,64094970,0.0000,1.0
2020-03-12,255.94,270.0,248.0,248.23,60.3759041486787,104618517,0.0000,1.0
2020-03-13,264.89,279.92,252.95,277.97,67.609435105379,92683032,0.0000,1.0
2020-03-16,241.95,259.08,240.0,242.21,58.9116857102344,80605865,0.0000,1.0
2020-03-17,247.51,257.61,238.4,252.86,61.5020389277481,81013965,0.0000,1.0
2020-03-18,239.77,250.0,237.12,246.67,59.9964721280852,75058406,0.0000,1.0
2020-03-19,247.39,252.84,242.61,244.78,59.5367756415968,67964255,0.0000,1.0
2020-03-20,247.18,251.83,228.0,229.24,55.7570489749149,100423346,0.0000,1.0
2020-03-23,228.08,228.5,212.61,224.37,54.5725400388311,84188208,0.0000,1.0
2020-03-24,236.36,247.69,234.3,246.88,60.0475495154728,71882773,0.0000,1.0
2020-03-25,250.75,258.25,244.3,245.52,59.7167626257246,75900510,0.0000,1.0
2020-03-26,246.52,258.68,246.36,258.44,62.8592380783327,63140169,0.0000,1.0
2020-03-27,252.75,255.87,247.05,247.74,60.2567235781077,51054153,0.0000,1.0
2020-03-30,250.74,255.52,249.4,254.81,61.97632895349,41994110,0.0000,1.0
2020-03-31,255.6,262.49,252.0,254.29,61.8498516132922,49250501,0.0000,1.0
2020-04-01,246.5,248.72,239.13,240.91,58.5954923597398,44054638,0.0000,1.0
2020-04-02,240.34,245.15,236.9,244.93,59.5732594897308,41483493,0.0000,1.0
2020-04-03,242.8,245.7,238.97,241.41,58.7171051868531,32470017,0.0000,1.0
2020-04-06,250.9,263.11,249.38,262.47,63.8394374648661,50455071,0.0000,1.0
2020-04-07,270.8,271.7,259.0,259.43,63.1000314760171,50721831,0.0000,1.0
2020-04-08,262.74,267.37,261.23,266.07,64.715049820082,42223821,0.0000,1.0
2020-04-09,268.7,270.07,264.7,267.99,65.1820430761971,40529123,0.0000,1.0
2020-04-13,268.31,273.7,265.83,273.25,66.4614100174293,32755731,0.0000,1.0
2020-04-14,280.0,288.25,278.05,287.05,69.8179240457569,48748672,0.0000,1.0
2020-04-15,282.4,286.33,280.63,284.43,69.1806728316831,32788641,0.0000,1.0
2020-04-16,287.38,288.2,282.35,286.69,69.7303628102353,39281290,0.0000,1.0
2020-04-17,284.69,286.95,276.86,282.8,68.7842150152937,53812478,0.0000,1.0
2020-04-20,277.95,281.68,276.85,276.93,67.3564804249833,32503750,0.0000,1.0
2020-04-21,276.28,277.25,265.43,268.37,65.2744688248033,45247893,0.0000,1.0
2020-04-22,273.61,277.9,272.2,276.1,67.1546031319752,29264342,0.0000,1.0
2020-04-23,275.87,281.75,274.87,275.03,66.8943516819527,31203582,0.0000,1.0
2020-04-24,277.2,283.01,277.0,282.97,68.8255633765122,31627183,0.0000,1.0
2020-04-27,281.8,284.54,279.95,283.17,68.8742085073575,29271893,0.0000,1.0
2020-04-28,285.08,285.83,278.2,278.58,67.7578027544573,28001187,0.0000,1.0
2020-04-29,284.73,289.67,283.89,287.73,69.983317490631,34320204,0.0000,1.0
2020-04-30,289.96,294.53,288.35,293.8,71.4596972117867,45765968,0.0000,1.0
2020-05-01,286.25,299.0,285.85,289.07,70.3092398672947,60154175,0.0000,1.0
2020-05-04,289.17,293.69,286.32,293.16,71.3040327930817,33391986,0.0000,1.0
2020-05-05,295.06,301.0,294.46,297.56,72.3742256716789,36937795,0.0000,1.0
2020-05-06,300.46,303.24,298.87,300.63,73.1209284301547,35583438,0.0000,1.0
2020-05-07,303.22,305.17,301.97,303.74,73.8773602147995,28803764,0.0000,1.0
2020-05-08,305.64,310.35,304.29,310.13,75.6310171817736,33511985,0.8200,1.0
2020-05-11,308.1,317.05,307.24,315.01,76.8210967092203,36486561,0.0000,1.0
2020-05-12,317.83,319.69,310.91,311.41,75.9431691889727,40575263,0.0000,1.0
2020-05-13,312.15,315.95,303.21,307.65,75.0262226678253,50155639,0.0000,1.0
2020-05-14,304.51,309.79,301.53,309.54,75.4871346159552,39732269,0.0000,1.0
2020-05-15,300.35,307.9,300.21,307.71,75.0408547931627,41587094,0.0000,1.0
2020-05-18,313.17,316.5,310.32,314.96,76.8089032714391,33843125,0.0000,1.0
2020-05-19,315.03,318.52,313.01,313.14,76.3650621362028,25432385,0.0000,1.0
2020-05-20,316.68,319.52,316.52,319.23,77.850222857955,27876215,0.0000,1.0
2020-05-21,318.66,320.89,315.87,316.85,77.2698152195691,25672211,0.0000,1.0
2020-05-22,315.77,319.23,315.35,318.89,77.7673074810427,20450754,0.0000,1.0
2020-05-26,323.5,324.24,316.5,316.73,77.2405509688942,31380454,0.0000,1.0
2020-05-27,316.14,318.71,313.09,318.11,77.5770898516558,28236274,0.0000,1.0
2020-05-28,316.77,323.44,315.63,318.25,77.6112314774432,33449103,0.0000,1.0
2020-05-29,319.25,321.15,316.47,317.94,77.5356321631996,38399532,0.0000,1.0
2020-06-01,317.75,322.35,317.21,321.85,78.4891589976908,20254653,0.0000,1.0
2020-06-02,320.75,323.44,318.93,323.34,78.852523443571,21910704,0.0000,1.0
2020-06-03,324.66,326.2,322.3,325.12,79.2866098285823,26122804,0.0000,1.0
2020-06-04,324.39,325.62,320.78,322.32,78.6037773128342,21890091,0.0000,1.0
2020-06-05,323.35,331.75,323.23,331.5,80.8424924894655,34312550,0.0000,1.0
2020-06-08,330.25,333.6,327.32,333.46,81.3204752504892,23913634,0.0000,1.0
2020-06-09,332.14,345.61,332.01,343.99,83.8884132472134,36928091,0.0000,1.0
2020-06-10,347.9,354.77,346.09,352.84,86.0466517344887,41662938,0.0000,1.0
2020-06-11,349.31,351.06,335.48,335.9,81.9155150142126,50415613,0.0000,1.0
2020-06-12,344.72,347.8,334.22,338.8,82.6227344055231,50036513,0.0000,1.0
2020-06-15,333.25,345.68,332.58,342.99,83.6445444915891,34702230,0.0000,1.0
2020-06-16,351.46,353.2,344.72,352.08,85.8613114802143,41357182,0.0000,1.0
2020-06-17,355.15,355.4,351.09,351.59,85.7418157899583,28601626,0.0000,1.0
2020-06-18,351.41,353.45,349.22,351.73,85.7759574157457,24205096,0.0000,1.0
2020-06-19,354.64,356.56,345.15,349.72,85.2857812169408,66118952,0.0000,1.0
2020-06-22,351.34,359.46,351.15,358.87,87.5171803309035,33861316,0.0000,1.0
2020-06-23,364.0,372.38,362.27,366.53,89.3852149989858,53038869,0.0000,1.0
2020-06-24,365.0,368.79,358.52,360.06,87.8073841500964,48155849,0.0000,1.0
2020-06-25,360.7,365.0,357.57,364.84,88.9730768019807,34380628,0.0000,1.0
2020-06-26,364.41,365.32,353.02,353.63,86.239308051432,51314211,0.0000,1.0
2020-06-29,353.25,362.1736,351.28,361.78,88.2268384097703,32661519,0.0000,1.0
2020-06-30,360.08,365.98,360.0,364.8,88.9633220517557,35055821,0.0000,1.0
2020-07-01,365.12,367.36,363.91,364.11,88.795052610375,27690454,0.0000,1.0
2020-07-02,367.85,370.47,363.64,364.11,88.795052610375,28814516,0.0000,1.0
2020-07-06,370.0,375.78,369.87,373.85,91.1703342901559,29745936,0.0000,1.0
2020-07-07,375.41,378.62,372.23,372.69,90.8874465336317,28206999,0.0000,1.0
2020-07-08,376.72,381.5,376.36,381.37,93.0042273324509,29274479,0.0000,1.0
2020-07-09,385.05,385.27,378.69,383.01,93.4041720916748,31420357,0.0000,1.0
2020-07-10,381.34,383.92,378.82,383.68,93.5675641579431,22564330,0.0000,1.0
2020-07-13,389.06,399.82,381.03,381.91,93.135916460488,47913079,0.0000,1.0
2020-07-14,379.36,389.02,375.51,388.23,94.6771669960338,42748119,0.0000,1.0
2020-07-15,395.96,396.99,385.96,390.9,95.3282965735508,38306874,0.0000,1.0
2020-07-16,386.25,389.62,383.62,386.09,94.1552878589977,27645927,0.0000,1.0
2020-07-17,387.95,388.59,383.36,385.31,93.9650702296108,23046755,0.0000,1.0
2020-07-20,385.67,394.0,384.25,393.43,95.9452845252803,22397208,0.0000,1.0
2020-07-21,396.69,397.0,386.97,388.0,94.6210771822402,25627347,0.0000,1.0
2020-07-22,386.77,391.9,386.41,389.09,94.8868941258707,22250413,0.0000,1.0
2020-07-23,387.9935,388.31,368.039,371.38,90.5679784637638,49251108,0.0000,1.0
2020-07-24,363.95,371.88,356.58,370.46,90.3436192085894,46359716,0.0000,1.0
2020-07-27,374.84,379.62,373.92,379.24,92.4847868829711,30303548,0.0000,1.0
2020-07-28,377.47,378.1986,372.99,373.01,90.9654845354315,25906375,0.0000,1.0
2020-07-29,375.0,380.92,374.85,380.16,92.7091461381455,22582314,0.0000,1.0
2020-07-30,376.75,385.19,375.07,384.76,93.8309424140174,39532505,0.0000,1.0
2020-07-31,411.535,425.66,403.3,425.04,103.653975890565,93573867,0.0000,1.0
2020-08-03,432.8,446.5457,431.57,435.75,106.265810263302,77037847,0.0000,1.0
2020-08-04,436.53,443.16,433.55,438.66,106.975468342169,43198092,0.0000,1.0
2020-08-05,437.51,441.57,435.59,440.25,107.363219663611,30497988,0.0000,1.0
2020-08-06,441.62,457.65,439.19,455.61,111.109043750001,50607225,0.0000,1.0
2020-08-07,452.82,454.7,441.17,444.45,108.587440816846,49511403,0.8200,1.0
2020-08-10,450.4,455.1,440.0,450.91,110.165739540384,53100856,0.0000,1.0
2020-08-11,447.875,449.93,436.4267,437.5,106.889425936258,46975594,0.0000,1.0
2020-08-12,441.99,453.1,441.19,452.04,110.44181965766,41486205,0.0000,1.0
2020-08-13,457.72,464.17,455.71,460.04,112.396369160494,52520516,0.0000,1.0
2020-08-14,459.315,460.0,452.18,459.63,112.296198498474,41391302,0.0000,1.0
2020-08-17,464.25,464.35,455.8501,458.43,112.003016073049,29431414,0.0000,1.0
2020-08-18,457.41,464.0,456.03,462.25,112.936313460652,26408385,0.0000,1.0
2020-08-19,463.933,468.65,462.44,462.83,113.078018299608,36384502,0.0000,1.0
2020-08-20,463.0,473.568,462.9335,473.1,115.587171223871,31726797,0.0000,1.0
2020-08-21,477.05,499.472,477.0,497.48,121.543660833759,84513660,0.0000,1.0
2020-08-24,514.79,515.14,495.745,503.43,122.997357026492,86484442,0.0000,1.0
2020-08-25,498.79,500.7172,492.21,499.3,121.988320845654,52873947,0.0000,1.0
2020-08-26,504.7165,507.97,500.33,506.09,123.647244736185,40755567,0.0000,1.0
2020-08-27,508.57,509.94,495.33,500.04,122.169116674666,38888096,0.0000,1.0
2020-08-28,504.05,505.77,498.31,499.23,121.971218537504,46907479,0.0000,1.0
2020-08-31,127.58,131.0,126.0,129.04,126.107533922878,223505733,0.0000,4.0
2020-09-01,132.76,134.8,130.53,134.18,131.130726145162,152470142,0.0000,1.0
2020-09-02,137.59,137.98,127.0,131.4,128.413902336222,200118991,0.0000,1.0
2020-09-03,126.91,128.84,120.5,120.88,118.132971951313,257599640,0.0000,1.0
2020-09-04,120.07,123.7,110.89,120.96,118.211153931427,332607163,0.0000,1.0
2020-09-08,113.95,118.99,112.68,112.82,110.25613745489,231366563,0.0000,1.0
2020-09-09,117.26,119.14,115.26,117.32,114.653873836268,176940455,0.0000,1.0
2020-09-10,120.36,120.5,112.5,113.49,110.91091153834,182274391,0.0000,1.0
2020-09-11,114.57,115.23,110.0,112.0,109.454772158728,180860325,0.0000,1.0
2020-09-14,114.72,115.93,112.8,115.355,112.733528949733,140150087,0.0000,1.0
2020-09-15,118.33,118.829,113.61,115.54,112.914324778745,184642039,0.0000,1.0
2020-09-16,115.23,116.0,112.04,112.13,109.581817876413,155026675,0.0000,1.0
2020-09-17,109.72,112.2,108.71,110.34,107.832496071376,178010968,0.0000,1.0
2020-09-18,110.4,110.88,106.09,106.84,104.412034441416,287104882,0.0000,1.0
2020-09-21,104.54,110.19,103.1,110.08,107.578404636007,195713815,0.0000,1.0
2020-09-22,112.68,112.86,109.16,111.81,109.269089955959,183055373,0.0000,1.0
2020-09-23,111.62,112.11,106.77,107.12,104.685671371812,150718671,0.0000,1.0
2020-09-24,105.17,110.25,105.0,108.22,105.760673598371,167743349,0.0000,1.0
2020-09-25,108.43,112.44,107.67,112.28,109.728409089125,149981441,0.0000,1.0
2020-09-28,115.01,115.32,112.78,114.96,112.347505422923,137672403,0.0000,1.0
2020-09-29,114.55,115.31,113.57,114.09,111.49727638919,100060526,0.0000,1.0
2020-09-30,113.79,117.26,113.62,115.81,113.178188961628,142675184,0.0000,1.0
2020-10-01,117.64,117.72,115.83,116.79,114.135918218017,116120440,0.0000,1.0
2020-10-02,112.89,115.37,112.22,113.02,110.451592405174,144711986,0.0000,1.0
2020-10-05,113.91,116.65,113.55,116.5,113.852508540106,106243839,0.0000,1.0
2020-10-06,115.7,116.12,112.25,113.16,110.588410870372,161498212,0.0000,1.0
2020-10-07,114.62,115.55,114.13,115.08,112.464778393093,96848985,0.0000,1.0
2020-10-08,116.25,116.4,114.5901,114.97,112.357278170438,83477153,0.0000,1.0
2020-10-09,115.28,117.0,114.92,116.97,114.311827673272,100506865,0.0000,1.0
2020-10-12,120.06,125.18,119.2845,124.4,121.572979076302,240226769,0.0000,1.0
2020-10-13,125.27,125.39,119.65,121.1,118.347972396625,262330451,0.0000,1.0
2020-10-14,121.0,123.03,119.62,121.19,118.435927124253,151062308,0.0000,1.0
2020-10-15,118.72,121.2,118.15,120.71,117.966835243572,112559219,0.0000,1.0
2020-10-16,121.28,121.548,118.81,119.02,116.315240913677,115393808,0.0000,1.0
2020-10-19,119.96,120.419,115.66,115.98,113.344325669369,120639337,0.0000,1.0
2020-10-20,116.2,118.98,115.63,117.51,114.839556039037,124423728,0.0000,1.0
2020-10-21,116.67,118.705,116.45,116.87,114.21410019813,89945980,0.0000,1.0
2020-10-22,117.45,118.04,114.59,115.75,113.119552476543,101987954,0.0000,1.0
2020-10-23,116.39,116.55,114.28,115.04,112.425687403037,82572645,0.0000,1.0
2020-10-26,114.01,116.55,112.88,115.05,112.435460150551,111850657,0.0000,1.0
2020-10-27,115.49,117.28,114.5399,116.6,113.950236015248,92276772,0.0000,1.0
2020-10-28,115.05,115.43,111.1,111.2,108.672952357595,143937823,0.0000,1.0
2020-10-29,112.37,116.93,112.2,115.32,112.699324333434,146129173,0.0000,1.0
2020-10-30,111.06,111.99,107.72,108.86,106.386129439278,190573476,0.0000,1.0
2020-11-02,109.11,110.68,107.32,108.77,106.298174711651,122866899,0.0000,1.0
2020-11-03,109.66,111.49,108.73,110.44,107.930223546518,107624448,0.0000,1.0
2020-11-04,114.14,115.59,112.35,114.95,112.337732675409,138235482,0.0000,1.0
2020-11-05,117.95,119.62,116.8686,119.03,116.325013661191,126387074,0.0000,1.0
2020-11-06,118.32,119.2,116.13,118.69,116.19308156975,114457922,0.2050,1.0
2020-11-09,120.5,121.99,116.05,116.32,113.872939996574,154515315,0.0000,1.0
2020-11-10,115.55,117.59,114.13,115.97,113.530303055387,138023390,0.0000,1.0
2020-11-11,117.19,119.63,116.44,119.49,116.976251721033,112294954,0.0000,1.0
2020-11-12,119.62,120.53,118.57,119.21,116.702142168084,103350674,0.0000,1.0
2020-11-13,119.44,119.6717,117.87,119.26,116.751090302539,81688586,0.0000,1.0
2020-11-16,118.92,120.99,118.146,120.3,117.769211499208,91183018,0.0000,1.0
2020-11-17,119.55,120.6741,118.96,119.39,116.878355452123,74270973,0.0000,1.0
2020-11-18,118.61,119.82,118.0,118.03,115.546966194941,76322111,0.0000,1.0
2020-11-19,117.59,119.06,116.81,118.64,116.144133435295,74112972,0.0000,1.0
2020-11-20,118.64,118.77,117.29,117.34,114.87148193946,73604287,0.0000,1.0
2020-11-23,117.18,117.6202,113.75,113.85,111.454902154487,127959318,0.0000,1.0
2020-11-24,113.91,115.85,112.59,115.17,112.747132904104,113226248,0.0000,1.0
2020-11-25,115.55,116.75,115.17,116.03,113.589040816734,76499234,0.0000,1.0
2020-11-27,116.57,117.49,116.22,116.59,114.137259922632,46691331,0.0000,1.0
2020-11-30,116.97,120.97,116.81,119.05,116.545508137828,169410176,0.0000,1.0
2020-12-01,121.01,123.4693,120.01,122.72,120.138301206839,125920963,0.0000,1.0
2020-12-02,122.02,123.37,120.89,123.08,120.490727774917,89004195,0.0000,1.0
2020-12-03,123.52,123.78,122.21,122.94,120.353672998442,78967630,0.0000,1.0
2020-12-04,122.6,122.8608,121.52,122.25,119.67818874296,78260421,0.0000,1.0
2020-12-07,122.31,124.57,122.25,123.75,121.146632776616,86711990,0.0000,1.0
2020-12-08,124.37,124.98,123.09,124.38,121.763379270752,82225512,0.0000,1.0
2020-12-09,124.53,125.95,121.0,121.78,119.218076279081,115089193,0.0000,1.0
2020-12-10,120.5,123.87,120.15,123.24,120.647361805173,81312170,0.0000,1.0
2020-12-11,122.43,122.76,120.55,122.41,119.834822773217,86939786,0.0000,1.0
2020-12-14,122.6,123.35,121.54,121.78,119.218076279081,79075988,0.0000,1.0
2020-12-15,124.34,127.9,124.13,127.88,125.189748682616,157572262,0.0000,1.0
2020-12-16,127.41,128.37,126.56,127.81,125.121221294378,98208591,0.0000,1.0
2020-12-17,128.9,129.58,128.045,128.7,125.992498087681,94359811,0.0000,1.0
2020-12-18,128.96,129.1,126.12,126.655,123.990519388463,192541496,0.0000,1.0
2020-12-21,125.02,128.31,123.449,128.23,125.532385623802,121251553,0.0000,1.0
2020-12-22,131.61,134.405,129.65,131.88,129.105599439031,169351825,0.0000,1.0
2020-12-23,132.16,132.43,130.78,130.96,128.204953765056,88223692,0.0000,1.0
