,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2020-01-02,1348.41,1368.68,1346.49,1368.68,68.3558834541407,1364265,0.0000,1.0
2020-01-03,1348.0,1373.75,1347.32,1361.52,67.9982921066149,1170629,0.0000,1.0
2020-01-06,1351.63,1398.32,1351.0,1397.81,69.8107208778038,2339343,0.0000,1.0
2020-01-07,1400.46,1403.5,1391.56,1395.11,69.6758749785971,1726456,0.0000,1.0
2020-01-08,1394.82,1411.85,1392.63,1405.04,70.1718082301238,1766274,0.0000,1.0
2020-01-09,1421.93,1428.68,1410.21,1419.79,70.9084663831973,1661438,0.0000,1.0
2020-01-10,1429.47,1434.94,1419.6,1428.96,71.3664430112436,1313178,0.0000,1.0
2020-01-13,1435.25,1441.48,1425.37,1440.03,71.919311197991,1525568,0.0000,1.0
2020-01-14,1440.0,1442.63,1427.77,1430.59,71.447849980024,1305636,0.0000,1.0
2020-01-15,1433.02,1440.78,1431.66,1439.2,71.8778585697163,1077519,0.0000,1.0
2020-01-16,1445.45,1450.7,1440.0,1450.16,72.4252330346441,1304040,0.0000,1.0
2020-01-17,1462.54,1480.55,1456.55,1479.52,73.8915573312025,2621175,0.0000,1.0
2020-01-21,1479.0,1489.88,1470.21,1482.25,74.0279015181782,2387178,0.0000,1.0
2020-01-22,1489.73,1500.58,1482.66,1483.87,74.1088090577022,1422946,0.0000,1.0
2020-01-23,1487.55,1493.5,1480.32,1484.69,74.1497622567205,1332562,0.0000,1.0
2020-01-24,1492.82,1494.2,1463.18,1466.17,73.224819274014,1489280,0.0000,1.0
2020-01-27,1431.54,1436.58,1419.5,1431.73,71.5047849152446,1706566,0.0000,1.0
2020-01-28,1441.74,1454.8,1430.36,1450.5,72.442213629359,1486586,0.0000,1.0
2020-01-29,1458.46,1464.14,1445.39,1456.7,72.7518597682781,1081964,0.0000,1.0
2020-01-30,1438.1,1455.25,1435.0,1454.25,72.6294996004794,1355472,0.0000,1.0
2020-01-31,1467.86,1469.67,1427.06,1432.78,71.5572249871583,2191075,0.0000,1.0
2020-02-03,1461.65,1486.3,1456.61,1482.6,74.0453815421494,3608760,0.0000,1.0
2020-02-04,1454.49,1467.34,1422.03,1445.41,72.1880041378917,4793967,0.0000,1.0
2020-02-05,1463.61,1464.58,1429.68,1446.05,72.2199676102962,1818793,0.0000,1.0
2020-02-06,1451.98,1481.56,1450.48,1475.97,73.7142599452086,1891079,0.0000,1.0
2020-02-07,1467.39,1485.25,1465.41,1479.11,73.8710807316934,1418049,0.0000,1.0
2020-02-10,1477.23,1508.88,1475.2,1508.66,75.3468941841219,1915072,0.0000,1.0
2020-02-11,1513.27,1529.88,1505.45,1510.06,75.4168142800068,1742647,0.0000,1.0
2020-02-12,1515.86,1520.3,1508.67,1518.63,75.8448251526739,1552136,0.0000,1.0
2020-02-13,1510.0,1525.95,1504.0,1513.39,75.5831242223617,1145658,0.0000,1.0
2020-02-14,1514.53,1520.05,1505.55,1518.73,75.8498194452371,1159857,0.0000,1.0
2020-02-18,1514.34,1530.56,1511.01,1519.44,75.8852789224359,1284011,0.0000,1.0
2020-02-19,1527.2,1530.74,1520.98,1524.87,76.1564690086182,1137338,0.0000,1.0
2020-02-20,1519.01,1527.07,1504.26,1516.99,75.7629187546373,1298386,0.0000,1.0
2020-02-21,1504.58,1510.95,1478.49,1483.46,74.088332458193,2126843,0.0000,1.0
2020-02-24,1423.05,1436.38,1406.79,1419.86,70.9119623879915,2478039,0.0000,1.0
2020-02-25,1431.0,1436.85,1380.42,1386.32,69.236876662291,2578966,0.0000,1.0
2020-02-26,1394.98,1413.67,1376.55,1390.47,69.4441398036642,2490178,0.0000,1.0
2020-02-27,1359.14,1369.4,1314.24,1314.95,65.6724500599281,3114476,0.0000,1.0
2020-02-28,1274.31,1342.45,1268.21,1339.25,66.8860631527881,4010900,0.0000,1.0
2020-03-02,1351.39,1387.47,1325.2,1386.32,69.236876662291,2771463,0.0000,1.0
2020-03-03,1397.68,1408.19,1329.24,1337.72,66.809650476571,2830112,0.0000,1.0
2020-03-04,1358.96,1382.78,1337.0,1381.6,69.0011460533075,2379856,0.0000,1.0
2020-03-05,1345.55,1353.63,1301.64,1314.76,65.662960904058,2718982,0.0000,1.0
2020-03-06,1269.95,1302.75,1257.21,1295.74,64.7130464585355,3232315,0.0000,1.0
2020-03-09,1204.96,1252.73,1198.04,1215.79,60.7201095542492,3462578,0.0000,1.0
2020-03-10,1254.39,1275.85,1214.51,1275.17,63.6857204782832,2743566,0.0000,1.0
2020-03-11,1248.27,1256.93,1191.14,1210.9,60.4758886479082,2741694,0.0000,1.0
2020-03-12,1122.62,1188.75,1108.47,1111.55,55.5140589863592,4716293,0.0000,1.0
2020-03-13,1174.99,1214.4,1112.29,1214.27,60.6441963072884,3969973,0.0000,1.0
2020-03-16,1089.61,1145.47,1067.08,1073.0,53.5887592032418,4825981,0.0000,1.0
2020-03-17,1090.64,1126.0,1049.1,1118.06,55.8391874322242,4159686,0.0000,1.0
2020-03-18,1059.94,1104.99,1037.0,1091.19,54.4972210204897,4636840,0.0000,1.0
2020-03-19,1088.22,1152.61,1055.55,1111.67,55.5200521374351,3703248,0.0000,1.0
2020-03-20,1130.9,1138.48,1062.1,1068.21,53.3495325894641,4143897,0.0000,1.0
2020-03-23,1056.37,1066.91,1008.87,1054.13,52.6463361965641,4183629,0.0000,1.0
