Unnamed: 0,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Index,Symbol
2022-01-03,117.17,117.68,115.6,117.51,117.51,951885,0.0,1.0,Internet_Services,AKAM
2022-01-04,117.5,118.17,116.72,116.95,116.95,952255,0.0,1.0,Internet_Services,AKAM
2022-01-05,116.64,117.81,115.43,115.48,115.48,1105463,0.0,1.0,Internet_Services,AKAM
2022-01-06,112.45,113.89,111.0,111.88,111.88,2465365,0.0,1.0,Internet_Services,AKAM
2022-01-07,112.21,112.37,110.43,110.54,110.54,1320170,0.0,1.0,Internet_Services,AKAM
2022-01-10,109.5164,112.715,109.3,112.65,112.65,1678267,0.0,1.0,Internet_Services,AKAM
2022-01-11,112.8,114.01,111.75,113.42,113.42,1245285,0.0,1.0,Internet_Services,AKAM
2022-01-12,113.605,114.77,113.34,114.11,114.11,911654,0.0,1.0,Internet_Services,AKAM
2022-01-13,114.24,114.81,112.7,112.91,112.91,800736,0.0,1.0,Internet_Services,AKAM
2022-01-14,112.52,113.44,111.92,112.62,112.62,965474,0.0,1.0,Internet_Services,AKAM
2022-01-18,111.81,112.37,110.83,112.08,112.08,1481844,0.0,1.0,Internet_Services,AKAM
2022-01-19,113.36,116.13,112.92,113.17,113.17,1599594,0.0,1.0,Internet_Services,AKAM
2022-01-20,113.68,115.815,113.24,113.27,113.27,1923725,0.0,1.0,Internet_Services,AKAM
2022-01-21,113.32,115.17,112.58,112.61,112.61,1390746,0.0,1.0,Internet_Services,AKAM
2022-01-24,111.48,114.38,109.47,114.19,114.19,2223330,0.0,1.0,Internet_Services,AKAM
2022-01-25,113.34,113.82,111.0,112.56,112.56,1333646,0.0,1.0,Internet_Services,AKAM
2022-01-26,113.57,113.77,109.35,109.94,109.94,1608248,0.0,1.0,Internet_Services,AKAM
2022-01-27,111.0,112.42,109.64,110.19,110.19,1079539,0.0,1.0,Internet_Services,AKAM
2022-01-28,110.07,112.25,108.655,112.17,112.17,1056880,0.0,1.0,Internet_Services,AKAM
2022-01-31,111.94,114.64,111.73,114.55,114.55,1685264,0.0,1.0,Internet_Services,AKAM
2022-02-01,115.06,115.79,113.47,115.13,115.13,1109177,0.0,1.0,Internet_Services,AKAM
2022-02-02,114.91,116.16,114.33,115.82,115.82,1346026,0.0,1.0,Internet_Services,AKAM
2022-02-03,113.9,115.67,113.9,114.58,114.58,1526719,0.0,1.0,Internet_Services,AKAM
2022-02-04,114.19,115.145,112.85,114.12,114.12,1441282,0.0,1.0,Internet_Services,AKAM
2022-02-07,114.77,114.77,113.3,113.53,113.53,1087229,0.0,1.0,Internet_Services,AKAM
2022-02-08,113.46,114.145,112.99,113.63,113.63,1146312,0.0,1.0,Internet_Services,AKAM
2022-02-09,114.77,115.4,113.46,115.39,115.39,1312931,0.0,1.0,Internet_Services,AKAM
2022-02-10,113.63,115.12,112.58,112.84,112.84,1153550,0.0,1.0,Internet_Services,AKAM
2022-02-11,113.4,114.07,110.96,111.14,111.14,1474673,0.0,1.0,Internet_Services,AKAM
2022-02-14,111.15,111.545,109.47,110.65,110.65,2547216,0.0,1.0,Internet_Services,AKAM
2022-02-15,111.27,112.18,110.13,111.03,111.03,2327155,0.0,1.0,Internet_Services,AKAM
2022-02-16,105.35,108.1,102.8,104.86,104.86,5524299,0.0,1.0,Internet_Services,AKAM
2022-02-17,104.41,105.33,102.93,102.93,102.93,2367545,0.0,1.0,Internet_Services,AKAM
2022-02-18,102.9,102.9,100.02,100.33,100.33,1930999,0.0,1.0,Internet_Services,AKAM
2022-02-22,99.49,101.28,99.49,100.44,100.44,1714077,0.0,1.0,Internet_Services,AKAM
2022-02-23,100.485,101.02,98.53,98.88,98.88,1452648,0.0,1.0,Internet_Services,AKAM
2022-02-24,97.12,103.95,96.86,103.94,103.94,2732745,0.0,1.0,Internet_Services,AKAM
2022-02-25,103.65,105.4,102.3,105.33,105.33,1564115,0.0,1.0,Internet_Services,AKAM
2022-02-28,104.78,108.71,104.68,108.26,108.26,2624453,0.0,1.0,Internet_Services,AKAM
2022-03-01,108.23,109.77,107.93,108.83,108.83,1490215,0.0,1.0,Internet_Services,AKAM
2022-03-02,109.21,111.44,108.1434,110.45,110.45,1731015,0.0,1.0,Internet_Services,AKAM
2022-03-03,111.16,111.695,110.02,111.19,111.19,1477996,0.0,1.0,Internet_Services,AKAM
2022-03-04,111.01,113.02,110.09,112.55,112.55,1941112,0.0,1.0,Internet_Services,AKAM
2022-03-07,112.25,113.67,110.33,112.01,112.01,1846144,0.0,1.0,Internet_Services,AKAM
2022-03-08,111.27,112.45,106.94,107.07,107.07,2401558,0.0,1.0,Internet_Services,AKAM
2022-03-09,108.05,109.91,106.27,109.18,109.18,1729434,0.0,1.0,Internet_Services,AKAM
2022-03-10,108.26,109.93,106.84,109.53,109.53,1385963,0.0,1.0,Internet_Services,AKAM
2022-03-11,109.69,110.3,108.245,108.44,108.44,1242380,0.0,1.0,Internet_Services,AKAM
2022-03-14,107.96,110.06,107.5,108.08,108.08,1478953,0.0,1.0,Internet_Services,AKAM
2022-03-15,109.0,110.45,108.57,110.43,110.43,1522511,0.0,1.0,Internet_Services,AKAM
2022-03-16,110.93,112.75,110.5,112.63,112.63,2089155,0.0,1.0,Internet_Services,AKAM
